id,Status,Time,Amount,Price
1,good,60,800,846
2,good,60,1000,1658
3,bad,36,2000,2985
5,good,36,310,910
6,good,60,650,1645
7,good,60,1600,1800
8,good,12,200,1093
9,good,60,1200,1957
10,bad,48,1200,1468
11,good,48,1150,1577
12,good,36,650,915
14,good,36,600,940
15,bad,18,400,500
16,good,24,900,1186
17,good,24,1500,2201
18,good,24,600,1350
20,good,60,1250,1253
22,good,60,1100,1159
23,bad,60,600,1332
24,good,60,950,1497
25,good,60,1350,1357
28,good,36,1800,2557
31,bad,36,400,400
32,good,24,450,650
33,good,36,1000,1394
37,good,48,800,1200
39,good,60,1125,1300
41,good,60,900,1167
42,good,60,950,1150
43,bad,60,1250,1566
44,bad,60,1500,1552
45,good,60,1150,1300
46,good,60,2100,2104
47,good,36,1500,2154
48,bad,36,450,545
49,good,36,750,1778
50,good,60,1600,1718
51,good,60,900,1500
54,good,12,500,1701
55,bad,48,1000,1345
56,good,60,1000,1238
57,good,30,500,1048
58,good,24,600,1048
60,good,60,1830,2201
61,good,48,1100,1430
62,bad,42,600,926
63,good,24,1000,1500
64,good,36,1000,1542
65,good,60,1350,1360
67,good,60,1200,1564
68,good,60,850,1205
69,good,60,2000,2200
70,good,36,900,2214
71,good,60,1000,1137
72,good,48,600,1025
73,good,36,800,1593
74,good,24,700,1735
75,good,60,1000,1132
76,good,12,500,1338
77,good,36,900,1100
78,good,36,1750,2276
79,good,48,900,1360
81,good,36,550,612
82,bad,36,850,1100
84,good,60,1000,2089
85,good,24,500,2262
86,good,60,600,1054
87,good,60,1426,1426
88,bad,60,1040,1048
89,bad,60,1000,1292
91,bad,60,1490,1490
92,good,36,750,850
94,good,48,1400,1571
95,good,36,1000,1000
96,bad,36,250,270
97,good,60,950,1382
98,good,36,1500,1713
99,good,60,800,1086
100,good,48,1500,3262
101,good,60,1100,1610
102,good,60,600,1030
103,bad,36,650,650
104,bad,48,1950,2175
105,good,24,400,1780
107,bad,60,1200,1211
108,good,60,1600,1650
109,bad,36,350,350
110,good,60,950,1117
113,bad,36,1000,1210
114,good,48,670,963
115,bad,36,1200,1646
116,bad,36,800,800
117,good,36,460,470
118,good,24,950,1370
119,good,48,700,839
120,good,60,600,1346
121,good,60,900,1350
122,bad,60,1800,2100
123,good,60,1300,1307
124,good,60,1100,1126
125,good,48,2380,4786
126,bad,60,1400,1478
127,good,60,1550,1568
128,good,24,650,1056
129,good,18,1000,1608
130,good,60,950,1179
131,bad,60,1400,1524
132,good,60,1300,1730
133,good,30,600,823
134,good,60,700,800
135,good,60,1300,1482
136,good,60,900,1110
137,bad,60,1150,1555
138,good,60,1100,1170
139,good,12,500,886
140,bad,60,800,1395
141,good,36,1000,2084
142,good,24,3800,8800
143,good,36,1000,1160
144,good,60,900,1211
145,bad,60,1300,1300
146,bad,36,850,850
147,good,60,700,1204
150,good,18,300,600
151,bad,48,1000,1320
152,good,60,1100,1300
154,bad,60,1400,1426
155,good,24,1500,5200
157,good,48,1200,1449
158,good,60,700,1422
160,good,30,1550,1578
162,good,36,1500,2260
165,bad,48,930,945
166,good,12,900,1694
167,bad,36,600,700
168,good,48,600,1290
169,good,60,1300,1581
170,good,48,1000,1383
171,good,60,1350,1637
172,good,54,1275,1275
173,bad,60,1400,1400
174,good,24,600,832
175,good,36,1886,2886
176,bad,60,1200,1257
178,good,60,800,1138
179,good,12,300,1801
180,bad,48,900,1200
182,good,60,1400,1589
183,good,48,1200,1617
185,good,60,1400,2194
187,bad,60,1200,1423
188,good,12,600,1600
