id,Seniority,Home,Age,Marital,Records,Job,Expenses,Income,Assets,Debt
1,9,rent,30,married,no_rec,freelance,68,129,0,0
2,17,rent,58,widow,no_rec,fixed,52,131,0,0
3,10,owner,46,married,yes_rec,freelance,86,200,3000,0
5,0,rent,26,single,no_rec,fixed,51,107,0,0
6,1,owner,36,married,no_rec,fixed,60,214,3500,0
7,29,owner,44,married,no_rec,fixed,68,125,10000,0
8,9,parents,27,single,no_rec,fixed,34,80,0,0
9,0,owner,32,married,no_rec,freelance,78,107,15000,0
10,0,parents,41,married,no_rec,partime,99,80,0,0
11,6,owner,34,married,no_rec,freelance,65,125,4000,0
12,7,owner,29,married,no_rec,fixed,74,121,3000,0
14,19,priv,37,married,no_rec,fixed,77,170,3500,260
15,0,other,21,single,yes_rec,partime,30,50,0,0
16,0,owner,68,married,no_rec,fixed,75,131,4162,0
17,15,priv,52,single,no_rec,freelance,36,330,16500,0
18,33,rent,68,married,no_rec,freelance,65,200,5000,2000
20,1,parents,31,single,no_rec,fixed,32,137,0,0
22,5,owner,22,single,no_rec,fixed,53,324,10000,0
23,1,owner,45,married,no_rec,partime,90,112,2000,500
24,27,rent,41,married,no_rec,fixed,74,140,0,0
25,26,owner,51,married,no_rec,fixed,49,143,3500,0
28,15,owner,43,married,no_rec,fixed,79,251,4000,0
31,0,owner,23,single,no_rec,partime,50,122,2500,0
32,14,priv,51,married,no_rec,partime,82,198,1000,0
33,10,owner,39,married,no_rec,freelance,72,150,3000,0
37,7,owner,32,married,no_rec,fixed,64,115,3000,0
39,30,owner,64,married,no_rec,fixed,39,120,14000,0
41,24,owner,42,married,no_rec,fixed,73,137,4000,0
42,0,owner,61,widow,no_rec,others,37,230,50000,0
43,0,owner,32,married,yes_rec,fixed,42,142,7000,3000
44,2,owner,43,married,no_rec,partime,75,71,3000,0
45,1,parents,26,single,no_rec,partime,31,120,0,0
46,1,owner,49,widow,no_rec,freelance,30,233,15900,4500
47,15,owner,47,married,no_rec,fixed,72,289,3500,0
48,2,rent,27,separated,no_rec,fixed,55,128,0,0
49,25,owner,52,married,no_rec,freelance,60,150,15000,0
50,8,owner,28,married,no_rec,fixed,53,145,4000,1000
51,5,owner,31,married,no_rec,fixed,80,90,4000,0
54,3,parents,37,married,no_rec,freelance,65,150,500,0
55,1,rent,29,married,yes_rec,freelance,82,100,0,0
56,7,parents,26,single,no_rec,fixed,42,100,0,0
57,4,parents,27,single,no_rec,fixed,50,100,5000,0
58,6,owner,63,married,no_rec,fixed,64,155,4000,0
60,3,rent,28,married,no_rec,fixed,67,245,0,0
61,8,rent,31,married,no_rec,fixed,85,150,0,0
62,4,parents,27,single,no_rec,fixed,39,70,0,0
63,22,owner,40,married,no_rec,fixed,85,190,3000,0
64,2,owner,35,married,no_rec,fixed,89,152,3000,0
65,15,priv,43,married,no_rec,fixed,76,126,3000,0
67,4,owner,37,married,no_rec,fixed,63,185,3000,0
68,9,owner,53,married,no_rec,fixed,37,170,2500,0
69,22,rent,46,married,no_rec,fixed,100,176,7500,0
70,18,parents,36,married,no_rec,freelance,63,238,0,0
71,1,priv,46,married,no_rec,fixed,57,115,5500,800
72,14,owner,43,married,no_rec,fixed,47,200,9000,0
73,8,owner,31,married,yes_rec,freelance,67,411,9000,4000
74,5,owner,43,married,no_rec,fixed,84,93,3000,0
75,19,rent,38,married,no_rec,fixed,80,108,0,0
76,14,owner,37,married,no_rec,freelance,76,500,4000,0
77,0,other,46,married,yes_rec,others,47,45,0,0
78,9,rent,55,married,no_rec,fixed,68,250,30000,0
79,29,owner,56,married,no_rec,fixed,37,100,3000,0
