status,seniority,home,time,age,marital,records,job,expenses,income,assets,debt,amount,price,finrat,savings,id
good,9,rent,57,31,married,no_rec,freelance,70,126,0,0,789,813,91,4,1
good,17,rent,60,61,widow,no_rec,fixed,49,133,0,0,1036,1660,60,5,2
bad,10,owner,36,45,married,yes_rec,freelance,93,206,3019,0,2004,3117,70,2,3
good,0,rent,60,24,single,no_rec,fixed,63,181,2558,0,871,1308,67,8,4
good,0,rent,36,25,single,no_rec,fixed,48,108,0,0,294,907,33,7,5
good,1,owner,59,34,married,no_rec,fixed,71,216,3611,0,675,1650,42,14,6
good,28,owner,63,43,married,no_rec,fixed,79,125,10070,0,1573,1875,90,2,7
good,0,owner,63,34,married,no_rec,freelance,88,103,14865,0,1225,1882,60,1,8
bad,0,parents,50,42,married,no_rec,partime,93,76,0,0,1221,1502,80,0,9
good,6,owner,47,32,married,no_rec,freelance,58,122,4148,0,1167,1540,75,3,10
good,7,owner,36,30,married,no_rec,fixed,59,120,2925,0,658,912,74,3,11
good,8,owner,61,29,married,no_rec,fixed,78,205,5155,2466,1489,1586,94,4,12
good,18,priv,38,39,married,no_rec,fixed,72,173,3393,266,572,896,66,6,13
bad,0,other,18,22,single,yes_rec,partime,37,51,0,0,390,504,82,1,14
good,0,owner,25,68,married,no_rec,fixed,72,135,4028,0,855,1171,73,1,15
good,15,priv,23,53,single,no_rec,freelance,36,328,16997,0,1536,2291,68,5,16
bad,0,ignore,49,38,married,no_rec,partime,43,131,757,0,1088,1486,69,4,17
good,1,parents,61,32,single,no_rec,fixed,34,144,0,0,1217,1191,105,5,18
bad,2,rent,63,24,single,no_rec,fixed,44,107,0,0,1468,2173,69,2,19
good,5,owner,62,22,single,no_rec,fixed,46,318,10188,0,1141,1181,99,16,20
bad,1,owner,59,43,married,no_rec,partime,101,107,2014,488,595,1372,43,0,21
good,28,rent,57,40,married,no_rec,fixed,74,136,0,0,911,1490,64,4,22
good,26,owner,58,54,married,no_rec,fixed,45,141,3535,0,1316,1361,98,4,23
good,13,owner,38,55,married,no_rec,fixed,62,131,3996,0,693,2197,32,4,24
good,20,owner,59,45,single,no_rec,fixed,79,182,4038,0,958,1094,97,6,25
good,15,owner,35,41,married,no_rec,fixed,79,249,3880,0,1758,2654,71,4,26
bad,3,owner,24,24,married,no_rec,fixed,72,82,4926,0,624,1610,40,0,27
good,4,owner,49,28,married,no_rec,fixed,44,149,4871,3402,1139,1269,84,3,28
bad,0,owner,38,23,single,no_rec,partime,44,116,2393,0,420,388,104,7,29
good,10,owner,34,37,married,no_rec,freelance,78,158,2976,0,956,1336,74,3,30
good,12,parents,37,35,single,no_rec,fixed,37,166,0,0,1066,1570,71,4,31
good,32,owner,25,60,married,no_rec,freelance,46,117,8723,0,722,1155,58,3,32
good,10,owner,25,54,married,no_rec,freelance,43,205,13874,0,515,1599,30,8,33
good,7,owner,48,30,married,no_rec,fixed,71,119,3137,0,799,1160,68,2,34
bad,1,rent,53,36,married,no_rec,fixed,67,103,0,0,911,934,100,2,35
good,29,owner,62,65,married,no_rec,fixed,46,124,14103,0,1093,1243,87,4,36
bad,5,rent,48,33,single,no_rec,fixed,46,92,0,0,1295,1747,74,2,37
good,0,owner,63,63,widow,no_rec,others,34,232,48958,0,917,1199,83,12,38
bad,2,owner,59,45,married,no_rec,partime,72,72,3044,0,1539,1509,97,0,39
good,15,owner,34,48,married,no_rec,fixed,75,293,3375,0,1491,2057,69,5,40
bad,2,rent,36,27,separated,no_rec,fixed,50,125,0,0,468,548,80,6,41
good,25,owner,34,49,married,no_rec,freelance,62,152,15417,0,763,1726,44,4,42
good,8,owner,60,27,married,no_rec,fixed,59,143,4158,996,1632,1705,89,3,43
good,5,owner,59,33,married,no_rec,fixed,76,86,3824,0,921,1537,63,1,44
good,0,rent,62,31,married,no_rec,fixed,101,295,0,0,1214,1211,95,10,45
good,5,owner,34,50,married,no_rec,freelance,72,203,2182,1163,872,1041,89,5,46
good,3,parents,13,35,married,no_rec,freelance,62,147,525,0,504,1775,30,2,47
bad,1,rent,49,28,married,yes_rec,freelance,85,97,0,0,1017,1398,78,1,48
good,7,parents,61,25,single,no_rec,fixed,34,97,0,0,1037,1187,77,4,49
