status,seniority,home,time,age,marital,records,job,expenses,income,assets,debt,amount,price,finrat,savings,id
good,9,rent,60,30,married,no_rec,freelance,73,129,0,0,800,846,95,4,1
good,17,rent,60,58,widow,no_rec,fixed,48,131,0,0,1000,1658,60,5,2
bad,10,owner,36,46,married,yes_rec,freelance,90,200,3000,0,2000,2985,67,2,3
good,0,rent,60,24,single,no_rec,fixed,63,182,2500,0,900,1325,68,8,4
good,0,rent,36,26,single,no_rec,fixed,46,107,0,0,310,910,34,7,5
good,1,owner,60,36,married,no_rec,fixed,75,214,3500,0,650,1645,40,13,6
good,29,owner,60,44,married,no_rec,fixed,75,125,10000,0,1600,1800,89,2,7
good,9,parents,12,27,single,no_rec,fixed,35,80,0,0,200,1093,18,3,8
good,0,owner,60,32,married,no_rec,freelance,90,107,15000,0,1200,1957,61,1,9
bad,0,parents,48,41,married,no_rec,partime,90,80,0,0,1200,1468,82,-0,10
good,6,owner,48,34,married,no_rec,freelance,60,125,4000,0,1150,1577,73,3,11
good,7,owner,36,29,married,no_rec,fixed,60,121,3000,0,650,915,71,3,12
good,8,owner,60,30,married,no_rec,fixed,75,199,5000,2500,1500,1650,91,4,13
good,19,priv,36,37,married,no_rec,fixed,75,170,3500,260,600,940,64,6,14
bad,0,other,18,21,single,yes_rec,partime,35,50,0,0,400,500,80,1,15
good,0,owner,24,68,married,no_rec,fixed,75,131,4162,0,900,1186,76,1,16
good,15,priv,24,52,single,no_rec,freelance,35,330,16500,0,1500,2201,68,5,17
good,33,rent,24,68,married,no_rec,freelance,65,200,5000,2000,600,1350,44,5,18
bad,0,ignore,48,36,married,no_rec,partime,45,130,750,0,1100,1511,73,4,19
good,1,parents,60,31,single,no_rec,fixed,35,137,0,0,1250,1253,100,5,20
bad,2,rent,60,25,single,no_rec,fixed,46,107,0,0,1500,2189,69,2,21
good,5,owner,60,22,single,no_rec,fixed,45,324,10000,0,1100,1159,95,15,22
bad,1,owner,60,45,married,no_rec,partime,105,112,2000,500,600,1332,45,0,23
good,27,rent,60,41,married,no_rec,fixed,74,140,0,0,950,1497,63,4,24
good,26,owner,60,51,married,no_rec,fixed,45,143,3500,0,1350,1357,99,4,25
good,12,owner,36,54,married,no_rec,fixed,60,130,4000,0,700,2100,33,4,26
good,19,owner,60,43,single,no_rec,fixed,75,180,4000,0,1000,1070,93,6,27
good,15,owner,36,43,married,no_rec,fixed,75,251,4000,0,1800,2557,70,4,28
bad,3,owner,24,23,married,no_rec,fixed,75,85,5000,0,600,1600,38,0,29
good,4,owner,48,29,married,no_rec,fixed,45,150,5000,3300,1100,1312,84,3,30
bad,0,owner,36,23,single,no_rec,partime,45,122,2500,0,400,400,100,7,31
good,14,priv,24,51,married,no_rec,partime,75,198,1000,0,450,650,69,7,32
good,10,owner,36,39,married,no_rec,freelance,75,150,3000,0,1000,1394,72,3,33
good,12,parents,36,35,single,no_rec,fixed,35,170,0,0,1100,1542,71,4,34
good,32,owner,24,62,married,no_rec,freelance,45,119,8500,0,700,1200,58,3,35
good,10,owner,24,56,married,no_rec,freelance,45,208,13500,0,500,1560,32,8,36
good,7,owner,48,32,married,no_rec,fixed,75,115,3000,0,800,1200,67,2,37
bad,1,rent,54,36,married,no_rec,fixed,70,99,0,0,950,950,100,2,38
good,30,owner,60,64,married,no_rec,fixed,45,120,14000,0,1125,1300,87,4,39
bad,5,rent,48,31,single,no_rec,fixed,44,90,0,0,1300,1700,76,2,40
good,24,owner,60,42,married,no_rec,fixed,75,137,4000,0,900,1167,77,4,41
good,0,owner,60,61,widow,no_rec,others,35,230,50000,0,950,1150,83,12,42
bad,0,owner,60,32,married,yes_rec,fixed,45,142,7000,3000,1250,1566,80,3,43
bad,2,owner,60,43,married,no_rec,partime,75,71,3000,0,1500,1552,97,-0,44
good,1,parents,60,26,single,no_rec,partime,35,120,0,0,1150,1300,88,4,45
good,1,owner,60,49,widow,no_rec,freelance,35,233,15900,4500,2100,2104,100,4,46
good,15,owner,36,47,married,no_rec,fixed,75,289,3500,0,1500,2154,70,5,47
bad,2,rent,36,27,separated,no_rec,fixed,48,128,0,0,450,545,83,6,48
good,25,owner,36,52,married,no_rec,freelance,60,150,15000,0,750,1778,42,4,49
good,8,owner,60,28,married,no_rec,fixed,60,145,4000,1000,1600,1718,93,3,50
good,5,owner,60,31,married,no_rec,fixed,75,90,4000,0,900,1500,60,1,51
good,0,rent,60,32,married,no_rec,fixed,105,301,0,0,1200,1274,94,10,52
good,5,owner,36,51,married,no_rec,freelance,75,200,2100,1200,900,1015,89,5,53
good,3,parents,12,37,married,no_rec,freelance,60,150,500,0,500,1701,29,2,54
bad,1,rent,48,29,married,yes_rec,freelance,85,100,0,0,1000,1345,74,1,55
good,7,parents,60,26,single,no_rec,fixed,35,100,0,0,1000,1238,81,4,56
good,4,parents,30,27,single,no_rec,fixed,45,100,5000,0,500,1048,48,3,57
good,6,owner,24,63,married,no_rec,fixed,60,155,4000,0,600,1048,57,4,58
good,14,owner,24,55,married,no_rec,fixed,90,715,5000,0,800,1324,60,19,59
good,3,rent,60,28,married,no_rec,fixed,70,245,0,0,1830,2201,83,6,60
good,8,rent,48,31,married,no_rec,fixed,90,150,0,0,1100,1430,77,3,61
bad,4,parents,42,27,single,no_rec,fixed,35,70,0,0,600,926,65,2,62
good,22,owner,24,40,married,no_rec,fixed,75,190,3000,0,1000,1500,67,3,63
good,2,owner,36,35,married,no_rec,fixed,75,152,3000,0,1000,1542,65,3,64
good,15,priv,60,43,married,no_rec,fixed,75,126,3000,0,1350,1360,99,2,65
good,10,owner,18,34,married,no_rec,freelance,75,181,4000,0,600,1000,60,3,66
good,4,owner,60,37,married,no_rec,fixed,60,185,3000,0,1200,1564,77,6,67
good,9,owner,60,53,married,no_rec,fixed,45,170,2500,0,850,1205,71,9,68
good,22,rent,60,46,married,no_rec,fixed,93,176,7500,0,2000,2200,91,2,69
good,18,parents,36,36,married,no_rec,freelance,60,238,0,0,900,2214,41,7,70
good,1,priv,60,46,married,no_rec,fixed,60,115,5500,800,1000,1137,88,3,71
good,14,owner,48,43,married,no_rec,fixed,45,200,9000,0,600,1025,59,12,72
good,8,owner,36,31,married,yes_rec,freelance,75,411,9000,4000,800,1593,50,13,73
good,5,owner,24,43,married,no_rec,fixed,75,93,3000,0,700,1735,40,1,74
good,19,rent,60,38,married,no_rec,fixed,86,108,0,0,1000,1132,88,1,75
good,14,owner,12,37,married,no_rec,freelance,90,500,4000,0,500,1338,37,10,76
good,0,other,36,46,married,yes_rec,others,45,45,0,0,900,1100,82,0,77
good,9,rent,36,55,married,no_rec,fixed,70,250,30000,0,1750,2276,77,4,78
good,29,owner,48,56,married,no_rec,fixed,45,100,3000,0,900,1360,66,3,79
good,10,owner,36,55,married,no_rec,fixed,60,70,4000,0,1000,1436,70,0,80
good,10,parents,36,52,married,no_rec,fixed,60,150,0,0,550,612,90,6,81
bad,1,owner,36,29,married,no_rec,fixed,60,70,4500,0,850,1100,77,0,82
good,11,owner,60,39,divorced,yes_rec,fixed,35,263,2500,0,1000,1300,77,14,83
good,10,owner,60,38,married,no_rec,freelance,75,200,9000,0,1000,2089,48,8,84
good,5,owner,24,24,single,no_rec,fixed,35,78,6000,3000,500,2262,22,1,85
