airport_name,link,title,author,author_country,date,content,experience_airport,date_visit,type_traveller,overall_rating,queuing_rating,terminal_cleanliness_rating,terminal_seating_rating,terminal_signs_rating,food_beverages_rating,airport_shopping_rating,wifi_connectivity_rating,airport_staff_rating,recommended
aalborg-airport,/airport-reviews/aalborg-airport,Aalborg Airport customer review,Klaus Malling,Denmark,2014-02-11,"A small very effective airport with few flights. Check-in is notorious quick and staff friendly arrival very quick and busses to Aalborg frequent. Usually no problems getting taxis as well. There used to be a cafeteria but nowadays just a kiosk - but good cafeteria with reasonable prizes inside terminal. Security check quick and friendly as well. There is a nice viewing pavilion at one end of the airport. Outside note the famous ""kiss and goodbye signs"". Restrooms outside terminal however few.",NA,NA,NA,9,5,5,NA,NA,NA,4,NA,NA,1
aalborg-airport,/airport-reviews/aalborg-airport,Aalborg Airport customer review,Paul Van Alsten,France,2011-05-22,AMS-AAL and quite satisfied with this regional airport. Only a few flights per day so baggage reclaim understandably very quick. Bus line 2 connects with downtown Aalborg every 15 minutes weekdays but only hourly during the weekend - travel time is 15 mins and costs 18DKK. Check-in efficient and hassle-free using self-service kiosks. Free Internet computers are available landside - a nice touch. Security staff very friendly. Boarding area is rather cramped with limited seating - do not go airside too early.,NA,NA,NA,5,5,5,NA,NA,NA,3,NA,NA,0
aberdeen-airport,/airport-reviews/aberdeen-airport,Aberdeen Airport customer review,M Cristea,Romania,2015-06-24,"Small airport, our arrival was on Saturday, June 13, 10:30 PM. Unfortunately, there were three planes landed at the same time approx, and ours was the third, So we had to wait in lane in a crowded tiny corridor for frontier controls, but staff was efficient. Than we stayed in lane to get a taxi to reach city center for 45 mins. Departure was on Monday, June 22, at 12:10 PM, much better, smooth drop-off and security controls, no problem. Limited offer for eat/ drink and shopping, not overpriced, The Granite-City Restaurant in the main hall seemed to be OK!",Arrival and Departure,24-06-2015,FamilyLeisure,8,2,4,3,NA,2,3,2,NA,1
aberdeen-airport,/airport-reviews/aberdeen-airport,Aberdeen Airport customer review,M Ferguson,United Kingdom,2014-06-12,One luggage carousel poor quality and expensive food airside. What more can I say. On the plus side it is clean and there are tables in security to help you sort out shoes jacket liquids laptop but the area is very small. The seating in the gate area is not that comfortable most often you get on and off the plane by steps-rarely an airbridge as in many other airports. The addition of the multi storey carpark indicates extra footfall and the check in queues have been alleviated by the move of the BA desks round the corner but the airport has a long way to go!,NA,NA,NA,3,3,4,NA,NA,NA,2,NA,NA,0
aberdeen-airport,/airport-reviews/aberdeen-airport,Aberdeen Airport customer review,Alistair Peckham,United States,2012-04-22,Security efficient. Fire alarm went off just a few minutes before expected time of boarding. Meant exiting the terminal and going land-side. Fire service took 15 mins to arrive. Airport staff very professional and efficient once re-entry to the airport. Security was very fast efficient with passengers with flights boarding having priority and being called forward. Departure was delayed just over an hour.,NA,NA,NA,7,4,5,NA,NA,NA,4,NA,NA,1
aberdeen-airport,/airport-reviews/aberdeen-airport,Aberdeen Airport customer review,S Reid,NA,2010-04-02,Avoid this airport on outbound flights in the afternoon particularly on Friday. Allow up to 1hr for the security screening process. You can pay an additional £5 to jump to the top of the security queue. I have not seen this at any other airport. Staff are friendly but another one/two security screening stations are required to cope at peak times. The luggage arrivals belt is small and if three flights land at once you scramble for your bags. On exiting the airport the smokers are just outside the door with the discarded cigarette ends on the pavement. Not a very nice welcome to Aberdeen. If you have the option avoid this airport or use it out of peak hours - not easy due to the remote location. I have recently used Terminals 3/4 and 5 at Heathrow and Aberdeen Airport is worse than these.,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,0
aberdeen-airport,/airport-reviews/aberdeen-airport,Aberdeen Airport customer review,Iain Williamson,NA,2007-03-24,I've been using Aberdeen airport infrequently over the last ten years. The staff remain the friendliest and most polite I've seen in any airport and there is something exhilirating and about coming into this Northern city usually in a small aircraft bouncing in through high winds. The small airport usually allows for quick access to bus or taxi. Waiting for a bus can take some time though. The airport retains a nice atmosphere overall and is always clean.,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
aberdeen-airport,/airport-reviews/aberdeen-airport,Aberdeen Airport customer review,Rob Wallace,NA,2005-04-23,When will they do something about the taxi rank? Its a little hut that holds about 40 people - often the queue stretches well outside - and at Aberdeen that is not a good idea. They also have sold the concession to one company so that other firms having dropped people off cannot pick up so you are stuck waiting for the chosen people to arrive.,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
abu-dhabi-airport,/airport-reviews/abu-dhabi-airport,Abu Dhabi Airport customer review,Jay Sitlani,United States,2015-07-14,"Transiting through AUH is an ordeal, and lets down the very good inflight product of its dominant hub carrier Etihad. Herding transit passengers through a security line (and forcing premium pax into their own dedicated but much slower line) and requiring them to take their belts, shoes, watches, phones, plus anything else in their pockets off is absurd. And if you're connecting to the US, then you have to repeat this farcical performance. A new terminal is being constructed, and while I suspect it will be posh and modern and beautiful, it will still be burdened by these transit procedures. Etihad is a fabulous carrier, but the transit at AUH will make me think twice before I choose it for my long haul travel needs.",Transit,14-06-2015,Solo Leisure,4,2,2,2,NA,0,NA,NA,NA,0
abu-dhabi-airport,/airport-reviews/abu-dhabi-airport,Abu Dhabi Airport customer review,Nur Afiqah Rahmat,United Arab Emirates,2015-06-15,"I've lost count the amount of times I've traveled in and out of this airport, but I have been to all 3 terminals to review them here. Terminal 1: This is where all the other airlines (not low cost) flies out to and out from. Small considering its Abu Dhabi, where all the money is at. You are required to scan your luggage prior to check in and 'apparently' only passengers are allowed to go there, even if you're just there to buy flight tickets which is located inside. Only one small coffee shop before the immigration check for you to hang with your loved ones before you say goodbye. Inside the terminal past security, only few stores available, and all are tiny. Terminal 2: This is where the low costs airlines such as Rotana Jet flies in or out from. Terminal is tiny, looks like a ghost town with only one coffee shop that surprisingly has good food. Coming in to the terminal was another nightmare. I've flown in twice here and both times were jam packed. It's as if the queue is never ending. Terminal 3: This is where all the Etihad flights come in and out from. Much better than the other 2 terminals and you can actually check in at the counter with another person accompanying you. Shops inside the terminal passed immigration is better than Terminal 1, although still not as amazing as Dubai Terminal 3 or Doha airport. Still, not recommended for transit more than 3 hours. I had to give mix stars for this airport due to the different service quality that is displayed across different terminals. Oh and wifi was awful on all 3 terminals.",Arrival and Departure,14-06-2015,Solo Leisure,4,2,3,0,NA,0,1,0,NA,0
