Id,Tag
77434,vector
79709,memory
79709,function
79709,global-variables
79709,side-effects
95007,math
95007,statistics
103312,file
103312,file-io
103312,eof
255697,math
255697,statistics
255697,bayesian
255697,dirichlet
359438,mathematical-optimization
439526,vector
445059,vector
467110,language-features
476726,filtering
495744,time-series
498932,visual-studio
498932,setup-project
509595,time-series
520810,perl
551113,genetics
560329,statistics
582653,datetime
652136,list
652136,indexing
657440,statistics
659725,database
713878,matrix
713878,linear-algebra
713878,sparse-matrix
713878,eigenvalue
717747,edge
717747,dendrogram
717747,hclust
736514,statistics
736514,data-mining
736514,random-forest
736541,plot
736541,charts
736541,statistics
743622,matrix
750703,bash
750703,statistics
750703,charts
750786,bash
780796,emacs
780796,ess
789602,syntax
805027,svn
855798,statistics
855798,s-plus
876711,plot
936748,statistics
936748,const
936748,constants
937346,gcc
937346,compiler-construction
937346,static-libraries
952275,regex
952275,capture
952275,capture-group
1022649,python
1022649,prediction
1022649,recommendation-engine
1088639,closures
1088639,static-variables
1092506,graph
1092506,line
1098210,emacs23
1098210,ess
1105659,list
1107605,emacs
1107605,ess
1109017,printing
1109017,stderr
1110363,parsing
1110363,command-line
1110363,options
1110363,getopt
1114699,igraph
1125907,header
1125907,plot
1125907,label
1133172,osx
1133172,terminal
1133172,plot
1133172,command
1136709,java
1136709,scripting
1136709,plugins
1136709,jvm
1142294,graph
1142294,machine-learning
1142294,svm
1163640,postscript
1163640,eps
1166157,amazon-ec2
1167448,statistics
1167448,matrix
1167448,sparse-matrix
1169248,vector
1169248,r-faq
1169330,database
1169330,odbc
1169373,memory-management
1169376,average
1169376,time-series
1169376,moving-average
1169388,vector
1169388,r-faq
1169426,networking
1169426,social-networking
1169456,list
1169456,dataframe
1169456,extract
1169456,r-faq
1169534,scope
1169539,regression
1169539,linear-regression
1169539,lm
1169551,sql
1169551,sqldf
1169573,for-loop
1174799,animation
1174799,statistics
1177926,object
1181021,matrix
1181025,statistics
1181025,curve-fitting
1182932,grep
1182932,agrep
1188544,windows
1188544,batch-file
1188544,command-prompt
1191689,python
1191689,statistics
1195826,dataframe
1195826,r-factor
1195826,levels
1195826,r-faq
1197434,excel
1197434,octave
1197434,import-from-excel
1198116,sql
1198116,excel
1198116,sqlcommand
1198116,import-from-excel
1203662,java
1203662,eclipse
1208627,java
1208627,statistics
1208627,data-visualization
1219480,algorithm
1219480,statistics
1223904,excel
1223904,dcom
1231195,comments
1231195,r-faq
1233948,statistics
1233948,variable-assignment
1236620,global-variables
1238250,algorithm
1238250,statistics
1238933,loops
1238933,for-loop
1238933,while-loop
1241184,graphics
1241184,statistics
1245273,histogram
1245273,logarithm
1246244,loops
1246244,apply
1249548,visualization
1249548,ggplot2
1252546,missing-data
1252546,imputation
1252546,locf
1256347,time
1256347,statistics
1256347,plot
1259867,dataframe
1259867,median
1260965,map
1260965,geolocation
1260965,geospatial
1262911,read.table
1265129,export
1265129,structure
1265129,definition
1266279,package
1266279,conventions
1266279,code-organization
1266279,project-organization
1269624,indexing
1269624,dataframe
1274171,default-value
1274171,sparse-matrix
1274171,na
1279003,graphics
1279003,par
1296646,sorting
1296646,dataframe
1296646,r-faq
1297698,linear-regression
1297698,lme4
1299871,join
1299871,merge
1299871,dataframe
1299871,r-faq
1300575,formula
1301759,merge
1301759,subscript
1309263,c
1309263,algorithm
1309263,statistics
1309263,median
1310247,coding-style
1311920,time-series
1312865,plot
1312865,lattice
1313954,plot
1313954,ggplot2
1313954,lattice
1319698,syntax
1319698,operators
1325974,com
1325974,ole
1328903,operators
1329940,matrix
1329940,vector
1330989,ggplot2
1330989,labels
1331203,hash
1331203,r-factor
1335830,if-statement
1336271,curve-fitting
1336271,numerical-methods
1336271,topographical-lines
1343442,session
1343442,logging
1351937,installation
1352863,foreach
1352863,ggplot2
1355355,list
1355355,vector
1355355,strsplit
1358003,memory-management
1358238,octave
1358238,curve-fitting
1358238,nonlinear-optimization
1366853,statistics
1366853,plot
1374609,statistics
1374842,package
1376967,graph
1376967,ggplot2
1377003,perl
1377003,statistics
1377003,probability
1377130,python
1377130,numpy
1377130,data-analysis
1377248,vector
1377248,dataframe
1377248,writefile
1379549,emacs
1379549,latex
1379549,sweave
1379549,ess
1380694,model
1380694,statistics
1380694,modeling
1382288,plot
1384025,symbols
1389123,windows
1389123,64bit
1389123,32bit-64bit
1389428,posix
1389428,zoo
1392868,python
1392868,install
1395102,statistics
1395105,latex
1395105,plot
1395115,database
1395115,object
1395115,r-faq
1395118,random
1395136,loops
1395147,regression
1395147,interaction
1395156,function
1395156,append
1395156,dataframe
1395157,graph-theory
1395158,naming-conventions
1395174,apache
1395174,embedded-language
1395189,matrix
1395189,na
1395191,split
1395191,dataframe
1395229,memory-management
1395233,lazy-evaluation
1395266,clojure
1395267,applet
1395267,interactive
1395271,plyr
1395284,graphics
1395301,path
1395301,installation
1395301,working-directory
1395309,linux
1395309,windows
1395309,parallel-processing
1395309,packages
1395323,graphics
1395323,fonts
1395391,google-docs
1395410,graphics
1395410,plot
1395499,dst
1395499,posixct
1395504,binaryfiles
1395517,aop
1395528,html
1395528,xml
1395528,parsing
1395528,web-scraping
1395577,plot
1395945,ggplot2
1397823,image-processing
1397823,plot
1397823,scatter-plot
1399217,annotations
1399217,plot
1399217,time-series
1400937,regex
1400937,gsub
1401872,time-series
1401872,curve-fitting
1401894,statistics
1401904,upgrade
1401904,packages
1402001,sql
1402001,rodbc
1402634,dataframe
1402634,subset
1403355,plot
1405571,variable-assignment
1406202,lattice
1406202,wireframe
1407238,autohotkey
1407449,plyr
1407647,read.table
1407680,reporting
1407680,presentation
1407680,sweave
1408897,postgresql
1411599,ggplot2
1411599,plot
1412582,debugging
1413697,file-io
1413697,matrix
1413853,emacs
1413853,ess
1419526,statistics
1422247,probability
1422247,stochastic
1422987,emacs
1423472,statistics
1423902,statistics
1423902,parallel-processing
1424189,ggplot2
1424189,plot
1424351,long-filenames
1428174,matrix
1428174,cartesian
1428750,emacs
1428750,ess
1429476,string
1429907,statistics
1429907,data-visualization
1430557,survey
1431657,bar-chart
1432867,ggplot2
1432867,plot
1433523,java
1434411,aggregation
1434411,tapply
1434897,export
1434897,structure
1435937,encoding
1435937,utf-8
1439348,function
1439513,alphabet
1441717,python
1441717,graphics
1441717,zipcode
1444306,statistics
1444306,outliers
1445964,debugging
1449266,plot
1452235,c++
1452235,c
1452235,deployment
1452235,compiler-construction
1453505,flex
1453505,flash
1463444,windows
1463444,customization
1467201,garbage-collection
1467807,statistics
1467807,data-visualization
1468856,indexing
1468856,list
1468856,set
1468962,cluster-analysis
1468962,nlp
1474081,package
1474081,install
1474081,r-faq
1475360,time-series
1475360,apply
1475360,lag
1475631,plot
1476185,graphics
1476185,ggplot2
1476585,statistics
1478532,ggplot2
1478758,algorithm
1478758,recursion
1481032,mapping
1481032,gis
1481032,geospatial
1481032,esri
1484307,algorithm
1484307,graphics
1484307,statistics
1484472,algorithm
1484472,ggplot2
1484904,rename
1484904,rows
1487320,wordpress
1487320,blogs
1489199,statistics
1489788,string
1489788,split
1489788,substr
1491124,function
1496582,vector
1496582,row
1496647,function
1497539,histogram
1497539,curve-fitting
1497539,r-faq
1502910,count
