ПП 2016,ПП 2015,Наименование компании,Бренды,Сайт,Ключевые собственники,Регион,Отрасль,"Вырчука, 2016 г.","Выручка, 2015 г.",Чистая прибыль 2016 г.,Чистая прибыль 2015 г.,Налог на прибыль 2016 г.,Налог на прибыль 2015 г.,"Оплата труда, 2016 г.","Оплата труда, 2015 г.","Инвестиции в ОС, 2016 г.","Инвестиции в ОС, 2015 г."
1,1,Газпром Нефть,Газпром Нефть,gazpromNAneft.ru,ПАО Газпром,СПб,ТЭК,1695764,1655775,209725,116198,49814,29252,10537,12671,323854,314511
2,3,Дочерние газостранспортные общества ПАО Газпром,Газпром,gazprom.ru,ПАО Газпром,СЗФО,ТЭК,884803,853476,NA,NA,3816,7047,23208,21442,11361,20746
3,2,Банк ВТБ,ВТБ,vtb.ru,РФ (субъект РФ),СПб,Финансовые организации,774366,917723,69088,49140,12788,9594,NA,NA,NA,NA
4,10,Агроторг,Пятерочка,пятёрочка.рф,Холдинг X5,СПб,FMCG ритейл,481713,228909,10568,499,0,2139,50412,16858,40898,24084
5,4,Северсталь,Северсталь,severstal.com,Иностранные компании (Кипр),Вол. Обл.,Металлургия,366563,421235,102173,37044,6118,10542,22615,16083,41815,20006
6,9,Лента,Лента,lentainvestor.com,"Free float, TPG, ЕБРР",СПб,FMCG ритейл,306352,252763,11895,9402,3346,2580,15465,12738,54257,31379
7,8,Объединенная судостроительная корпорация,ОСК,oaoosk.ru,РФ (субъект РФ),СПб,Судостроение,301940,279226,3183,5373,5039,7764,1176,835,4250,NA13504
8,6,Ростелеком,Ростелеком,rt.ru,"РФ (субъект РФ), Мобител",СПб,Телекоммуникации,297446,297355,12249,14391,4692,2436,79983,79963,56950,65568
9,5,КИТ Финанс,КИТ Финанс,brokerkf.ru,NA,СПб,Финансовые организации,291773,336874,30,376,421,208,277,257,11,23
10,7,"Дочерние общества 
ПАО Лукойл",Лукойл,lukoil.com,ПАО Лукойл,СЗФО,ТЭК,285531,291728,40749,32181,6773,8533,15299,10570,83724,86827
11,12,О'Кей,О'кей,okeyinvestors.ru,"Иностранные компании, free float",СПб,FMCG ритейл,174083,161260,NA1282,897,53,337,14051,12638,5740,2309
12,40,Стройгазконсалтинг,¾,sgc.ru,Иностранные компании (Кипр),СПб,Промышленное строительство,153019,40121,NA6567,NA6422,0,NA,725,NA,0,NA
13,13,НоватэкNAУсть-Луга,Новатэк,novatek.ru,ПАО Новатэк,Лен. Обл.,ТЭК,152589,142714,11556,13387,2176,2548,698,647,4252,553
14,11,Стройтранснефтегаз,¾,stg.ru,"ALKOR HOLDINGS, Великобритания",СПб,Промышленное строительство,120844,188342,8103,10532,1094,4042,2810,2470,4099,1000
15,16,Дочерние компании международной корпорации Hyundai,"Hyundai 
Mobis 
Clovis","hyundai.ru
mobiscis.ru
glovis.net",Корпорация Hyundai,СПб,Автомобилестроение,116946,103250,8594,NA4052,77,87,3942,3421,12192,4290
16,19,Петербургская Сбытовая Компания,ПСК,pesc.ru,ПАО Интер РАО,СПб,Энергоснабжение,114804,96663,563,514,504,0,1325,931,223,187
17,17,Группа ИЛИМ,ИЛИМ,ilimgroup.ru,"Ilim Holding Sa, Швейцария",СПб,Деревообрабатывающая промышленность,111690,102526,26,14,2521,0,14841,12686,30137,10013
18,20,Филип Моррис Ижора,Philip Morris,pmintl.com,Корпорация Philip Morris,Лен. Обл.,Табачная промышленность,103312,88608,31906,30488,8085,7745,2075,1894,1701,1671
19,14,"Дочерние общества 
ПАО Фосагро","Фосагро 
Апатит 
Метахим",phosagro.ru,ПАО Фосагро,СЗФО,Химическая промышленность,102928,106737,50308,39733,13160,9354,10748,9237,32380,52455
20,22,Группа ЛСР,ЛСР,lsrgroup.ru,"Молчанов А.Ю., free float",СПб,Жилищное строительство,98072,86830,9163,10646,3435,3317,13134,12547,3140,3120
21,18,Ниссан Мэнуфэктуринг Рус,Nissan,nissan.ru,Корпорация Nissan,СПб,Автомобилестроение,96695,97038,NA13763,NA12125,0,41,2286,2509,1827,4564
22,23,Пивоваренная Компания Балтика,Балтика,baltika.ru,"Karlsberg, Швеция",СПб,АПК,90525,86608,14308,12031,3165,3954,6530,8000,3112,2600
23,15,Акрон,Акрон,acron.ru,Иностранные компании (Люксембург),Нов. Обл.,Химическая промышленность,89359,106055,27148,16706,5962,3854,4524,2830,6545,14818
