X1,X2,X3,X4,X5,X6
19951009,19951009,"Iowa City, IA",NA,NA,"Man repts. witnessing &quot;flash, followed by a classic UFO, w/ a tailfin at back.&quot; Red color on top half of tailfin. Became triangular."
19951010,19951011,"Milwaukee, WI",NA,2 min.,"Man  on Hwy 43 SW of Milwaukee sees large, bright blue light streak by his car, descend, turn, cross road ahead, strobe. Bizarre!"
19950101,19950103,"Shelton, WA",NA,NA,"Telephoned Report:CA woman visiting daughter witness discs and triangular ships over Squaxin Island in Puget Sound. Dramatic.  Written report, with illustrations, submitted to NUFORC."
19950510,19950510,"Columbia, MO",NA,2 min.,"Man repts. son&apos;s bizarre sighting of small humanoid creature in back yard.  Reptd. in Acteon Journal, St. Louis UFO newsletter."
19950611,19950614,"Seattle, WA",NA,NA,"Anonymous caller repts. sighting 4 ufo&apos;s in NNE sky, 45 deg. above horizon.  (No other facts reptd.  No return tel. #.)"
19951025,19951024,"Brunswick County, ND",NA,30 min.,"Sheriff&apos;s office calls to rept. that deputy, 20 mi. SSE of Wilmington,  is looking at peculiar, bright white, strobing light."
19950420,19950419,"Fargo, ND",NA,2 min.,"Female student w/ friend witness huge red light in sky.  2 others witness.  Obj pulsated, started to flicker.  Winked out."
19950911,19950911,"Las Vegas, NV",NA,NA,"Man repts. bright, multi-colored obj. in NW night sky. Disappeared while he was in house."
19950115,19950214,"Morton, WA",NA,NA,Woman reports 2 craft fly over house.  Strange events taking place in town w/ paramilitary activities.
19950915,19950915,"Redmond, WA",NA,6 min.,"Young man w/ 2 co-workers witness tiny, distinctly white round disc drifting slowly toward NE.  Flew in dir. 90 deg. to winds."
19940801,19950220,"Renton, WA",NA,NA,Man repts. seeing 2x large ships hovering in night sky while using Russian-made night binoculars.
19950722,19950724,"Springfield, IL",NA,1 min.,"Man &amp; mother report small, glowing, cigar-shaped obj. moving slowly across sky.  Accelerated suddenly, streaked off."
19950611,19950612,"Sharon, MA",NA,NA,"Man witnessed &quot;tablet shaped obj., like stubby aspirin,&quot; with dull, metallic surface, descend, follow military jets.  Good rept."
19950821,19950823,"Laporte, WA",NA,5 sec.,Several children report to their father that they witnessed &quot;red star&quot; streak across sky.
19950416,19950416,"Villa Rica, GA",NA,NA,GA Hwy. Patrol dispatch repts. trooper observed advertising blimp for video company in area of prior report.
19950207,19950207,"Raymond, WA",NA,NA,Woman witnesses object.  (Facts unclear.)
19951118,19951117,"Orlando, FL",NA,NA,Woman repts. bizarre &quot;half circle&quot; obj. in sky to SE.  Projects ray downward!  Something appeared to &quot;fall&quot; from the main object.
19950610,19950611,"Glade Spring, VA",NA,5 min.,"Woman, children, and grandmother witness 4 bizarre, bright green &quot;stars&quot; hovering nearby.  Suddenly got brighter, streak off."
19950514,19950514,"Silver Beach, NY",NA,25 min.,Woman repts. eight people observing very large obj.--1/2 diameter of full moon--visible in western sky.  Moves to south.
19950204,19950204,"Lewiston, MT",NA,NA,Man &amp; wife witness bright white light w/ red &amp; blue lights.  Moves slowly.
19950812,19950911,"Fort Myers Beach, FL",NA,NA,"Woman witnesses &quot;meteor shower&quot; over G. of Mex..  Minutes later, sees very bright light streak overhead at very low altitude."
