"","text","media"
"1",NA,"mediazona_post1"
"2","Друзья!<br> <br>К сожалению, мы оказались не готовы к тому, что некоторые игроки будут подделывать результаты в «Симуляторе протеста». Обнаружив эту уязвимость, мы были вынуждены изменить правила розыгрыша: с этого дня подарки из нашего магазина мы будем разыгрывать случайным образом среди всех победителей, которые оставили свои контактные данные.<br><br>Приносим свои извинения","mediazona_post2"
"3","«Ты смотришь телевизор? Ты видел, что творится на Украине?». Как школьнику Вадиму из Чувашии объясняли, что забастовка избирателей это экстремизм, а его голос ничего не значит","mediazona_post3"
"4","Из письма арестованного супруге: «Не пиши мне, не носи мне ничего, уезжай как можно дальше, не спрашивай про меня, со мной все кончено».<br><br>Арестованные в Пензе по делу о «террористическом сообществе» рассказали о подброшенном оружии, пытках током и «транквилизаторами». Именно с этим делом могут быть связаны аресты петербургских антифашистов, один из которых тоже рассказал о пытках электрошокером","mediazona_post4"
"5","Мы продолжаем следить за последствиями вчерашней акции «забастовки избирателей» <br> <br>За последние пару часов: <br> <br>— Тверской суд Москвы на 30 суток арестовал активиста Салтыкова, задержанного с Навальным (его потом избили в автозаке) <br> <br>— Симоновский суд дал 15 суток ареста координатору московского штаба Навального Сергею Бойко <br> <br>— Николая Ляскина арестовали на 15 суток <br> <br>— Журналиста и ведущего новостей на канале «Навальный LIVE» Дмитрия Низовцева арестовали на 10 суток за неповиновение полицейским. Он во время прерванного прямого эфира попросил ворвавшихся силовиков показать свои удостоверения <br> <br> <br>https://zona.media/chronicle/poslezabastovki <br>помочь «Медиазоне» (https://donate.zona.media/)","mediazona_post5"
"6","Геи, рассказавшие, что штамп об их браке проставили в российские паспорта, покинули страну. «Сотрудники полиции открытым текстом заявили, что они не смогут защитить их от посягательств со стороны гомофобно настроенных граждан и организаций»","mediazona_post6"
"7","Тверской суд Москвы в общей сложности на 30 суток арестовал активиста Константина Салтыкова, задержанного вместе с Навальным 28 января.<br><br>Накануне активиста избили в автозаке и попытались взять с него объяснения по 318 УК (применение насилия в отношении представителя власти)","mediazona_post7"
"8","Коротко о деле главы чеченского отделения «Мемориала» Оюба Титиева — видео от организации Front Line Defenders, помогающей правозащитникам, которые находятся в опасности","mediazona_post8"
"9","Задержанный с Навальным Константин Салтыков получил 15 суток по статье о неповиновении полицейскому","mediazona_post9"
"10","Это правозащитник Динар Идрисов. <br><br>Вчера в Петербурге его жестоко избили трое неизвестных. Ему сломали руку и скулу, он получил черепно-мозговую травму, сотрясение мозга, ушибы грудной клетки и поясницы.<br><br>Шёл 2018 год","mediazona_post10"
"11","Ведущую «Навальный Live» Елену Малаховскую оштрафовали на тысячу рублей.<br><br>Да, всё верно. Штраф в тысячу рублей за выпуск новостей","mediazona_post11"
"12","Силовики подбросили оружие жителю ингушского села Яндаре, потом его били током до потери сознания","mediazona_post12"
"13","Наш вчерашний победитель в «Симуляторе протеста» — очень настойчивый игрок по имени Петр с результатом в 65 минут 8 секунд. Поздравляем!<br><br>Сейчас игроков уже меньше, чем в первые дни, поэтому ваши шансы выиграть наш крутой мерч теперь гораздо выше ;) Попробуйте: https://goo.gl/LYangi<br><br>Понравилась игра? Поддержать Медиазону: donate.zona.media","mediazona_post13"
"14","Главного борца с наркотиками в Кыштыме подозревают в постановочной продаже наркотиков ради улучшения показателей:<br><br>https://goo.gl/4wgxzB","mediazona_post14"
"15","Курсант МВД знакомился с геями в соцсетях, предлагал им встретиться, а на встрече грабил, угрожая насилием. Он и его приятели рассчитывали, что пострадавшие не будут обращаться в полицию","mediazona_post15"
"16","Ни одна крупная акция протеста в России не проходит без последствий для её участников. Как всегда, собираем в сюжет всю информацию о преследованиях активистов — читайте и распространяйте: https://goo.gl/FsEPKT<br><br>Поддержать Медиазону: donate.zona.media","mediazona_post16"
"17","Кемеровские таможенники задержали более семи тысяч контрафактных кубиков Рубика из Китая","mediazona_post17"
"18","У координатора штаба Собчак в Псковской области Виктора Широбокова сожгли машину","mediazona_post18"
