"","title","director"
"1","The Avengers","""Jeremiah S Chechik"""
"2","Robin Hood","""Ridley Scott"""
"3","Titanic","""James Cameron"""
"4","The Great Gatsby","""Baz Luhrmann"""
"5","A Christmas Carol","""Robert Zemeckis"""
"6","Batman Begins","""Christopher Nolan"""
"7","Armageddon","""Michael Bay"""
"8","Men in Black II","""Barry Sonnenfeld"""
"9","Fun with Dick and Jane","""Dean Parisot"""
"10","The Last Samurai","""Edward Zwick"""
"11","Final Fantasy: The Spirits Within","[""Hironobu Sakaguchi"",""Moto Sakakibara"",""Motonori Sakakibara""]"
"12","Bad Boys II","""Michael Bay"""
"13","Dinosaur","[""Eric Leighton"",""Ralph Zondag""]"
"14","Pirates of the Caribbean: The Curse of the Black Pearl","""Gore Verbinski"""
"15","Clash of the Titans","""Louis Leterrier"""
"16","The Perfect Storm","""Wolfgang Petersen"""
"17","Stuart Little 2","""Rob Minkoff"""
"18","Speed Racer","[""Andy Wachowski"",""Lana Wachowski""]"
"19","Dante's Peak","""Roger Donaldson"""
"20","Fantastic Four","""Tim Story"""
"21","Around the World in 80 Days","""Frank Coraci"""
"22","Town & Country",NA
"23","Planet of the Apes","""Tim Burton"""
"24","The Hunchback of Notre Dame","[""Gary Trousdale"",""Kirk Wise""]"
"25","The Emperor's New Groove","""Mark Dindal"""
"26","End of Days","""Peter Hyams"""
"27","Hercules","""Brett Ratner"""
"28","The Spanish Prisoner","""David Mamet"""
"29","Jurassic Park III","""Joe Johnston"""
"30","The Alamo","""John Lee Hancock"""
"31","Rush Hour 2","""Brett Ratner"""
"32","Hollow Man","""Paul Verhoeven"""
"33","The Saint","""Phillip Noyce"""
"34","The Devil's Own","""Alan J. Pakula"""
"35","Conan the Barbarian","""John Milius"""
"36","The Bourne Supremacy","""Paul Greengrass"""
"37","The Three Musketeers","""Paul W.S. Anderson"""
"38","The Rundown","""Peter Berg"""
"39","Collateral Damage","""Andrew Davis"""
"40","Creepshow","""George A. Romero"""
"41","Bruce Almighty","""Tom Shadyac"""
"42","Charlotte's Web","""Gary Winick"""
"43","The Longest Yard","""Peter Segal"""
"44","Something's Gotta Give","""Nancy Meyers"""
"45","Road to Perdition","""Sam Mendes"""
"46","Fantasia 2000","[""Don Hahn"",""Eric Goldberg"",""Francis Glebas"",""Ga\u00ebtan Brizzi"",""Hendel Butoy"",""James Algar"",""Paul Brizzi"",""Pixote Hunt""]"
"47","Little Nicky","""Steven Brill"""
"48","Mars Attacks!",NA
"49","Evolution","""Ivan Reitman"""
"50","A Beautiful Mind","""Ron Howard"""
"51","2 Fast 2 Furious","""John Singleton"""
"52","50 First Dates","""Peter Segal"""
"53","First Knight",NA
"54","Hostage","""Florent Emilio Siri"""
"55","Titan A.E.","[""Art Vitello"",""Don Bluth"",""Gary Goldman""]"
"56","Monkeybone","""Henry Selick"""
"57","Sphere","""Barry Levinson"""
"58","Dr. Dolittle 2","""Steve Carr"""
"59","Braveheart","""Mel Gibson"""
"60","The Village","""M. Night Shyamalan"""
"61","Signs","""M. Night Shyamalan"""
"62","Shrek 2","[""Andrew Adamson"",""Conrad Vernon"",""Kelly Asbury""]"
"63","Hook","""Steven Spielberg"""
"64","S.W.A.T.","""Clark Johnson"""
"65","Wolf","""Jim Taihuttu"""
"66","I Spy","""Betty Thomas"""
"67","Rollerball",NA
"68","The Sum of All Fears",NA
"69","Mystery Men",NA
"70","What Women Want",NA
"71","The Santa Clause 2",NA
"72","Annie",NA
"73","Blade: Trinity",NA
"74","Hudson Hawk",NA
"75","Random Hearts",NA
"76","The American President",NA
"77","The Italian Job",NA
"78","The Family Man",NA
"79","The Scorpion King",NA
"80","Man on Fire",NA
"81","Jingle All the Way",NA
"82","Under Siege 2: Dark Territory",NA
"83","The Sentinel",NA
"84","Beyond Borders",NA
"85","The Flintstones in Viva Rock Vegas",NA
"86","Captain Corelli's Mandolin","""John Madden"""
"87","The Pacifier","""Adam Shankman"""
"88","Walking Tall","""Kevin Bray"""
"89","Pocahontas","[""Eric Goldberg"",""Mike Gabriel""]"
"90","American Wedding","""Jesse Dylan"""
"91","Casper","""Brad Silberling"""
"92","Disclosure","""Barry Levinson"""
"93","Kill Bill: Vol. 2","""Quentin Tarantino"""
"94","Death Becomes Her","""Robert Zemeckis"""
"95","Shanghai Noon","""Tom Dey"""
"96","The Ghost and the Darkness",NA
"97","Chain Reaction",NA
"98","The Fan","""Tony Scott"""
"99","Turbulence",NA
"100","Thunderbirds","""Jonathan Frakes"""
"101","Domestic Disturbance","""Harold Becker"""
"102","Beloved","""Jonathan Demme"""
"103","Man on the Moon","""Milos Forman"""
"104","Robin Hood: Prince of Thieves","""Kevin Reynolds"""
"105","Patch Adams","""Tom Shadyac"""
"106","Into the Woods",NA
