"","X1","title","movie_id","rating","genres","popularity","runtime","movie_year","production_companies","production_countries","keywords","cast","director"
"1",1,"The Avengers",289,2,"[{""id"": 878, ""name"": ""Science Fiction""}, {""id"": 28, ""name"": ""Action""}, {""id"": 12, ""name"": ""Adventure""}]",144.448633,143,1998,"[{""name"": ""Paramount Pictures"", ""id"": 4}, {""name"": ""Marvel Studios"", ""id"": 420}]","[{""iso_3166_1"": ""US"", ""name"": ""United States of America""}]","[{""id"": 242, ""name"": ""new york""}, {""id"": 5539, ""name"": ""shield""}, {""id"": 8828, ""name"": ""marvel comic""}, {""id"": 9715, ""name"": ""superhero""}, {""id"": 9717, ""name"": ""based on comic book""}, {""id"": 14909, ""name"": ""alien invasion""}, {""id"": 155030, ""name"": ""superhero team""}, {""id"": 179430, ""name"": ""aftercreditsstinger""}, {""id"": 179431, ""name"": ""duringcreditsstinger""}, {""id"": 180547, ""name"": ""marvel cinematic universe""}]","RalphFiennes SeanConnery UmaThurman","JeremiahSChechik"
"2",2,"Robin Hood",2021,5,"[{""id"": 28, ""name"": ""Action""}, {""id"": 12, ""name"": ""Adventure""}]",37.668301,140,1922,"[{""name"": ""Imagine Entertainment"", ""id"": 23}, {""name"": ""Universal Pictures"", ""id"": 33}, {""name"": ""Scott Free Productions"", ""id"": 1645}, {""name"": ""Relativity Media"", ""id"": 7295}]","[{""iso_3166_1"": ""GB"", ""name"": ""United Kingdom""}, {""iso_3166_1"": ""US"", ""name"": ""United States of America""}]","[{""id"": 4147, ""name"": ""robin hood""}, {""id"": 4393, ""name"": ""archer""}, {""id"": 10466, ""name"": ""knight""}, {""id"": 11525, ""name"": ""sherwood forest""}, {""id"": 18101, ""name"": ""bow and arrow""}, {""id"": 41406, ""name"": ""middle ages""}, {""id"": 161257, ""name"": ""medieval""}, {""id"": 186686, ""name"": ""king of england""}]","CateBlanchett MatthewMacFadyen RussellCrowe","RidleyScott"
"3",3,"Titanic",3124,4.14285714285714,"[{""id"": 18, ""name"": ""Drama""}, {""id"": 10749, ""name"": ""Romance""}, {""id"": 53, ""name"": ""Thriller""}]",100.025899,194,1953,"[{""name"": ""Paramount Pictures"", ""id"": 4}, {""name"": ""Twentieth Century Fox Film Corporation"", ""id"": 306}, {""name"": ""Lightstorm Entertainment"", ""id"": 574}]","[{""iso_3166_1"": ""US"", ""name"": ""United States of America""}]","[{""id"": 2580, ""name"": ""shipwreck""}, {""id"": 2984, ""name"": ""iceberg""}, {""id"": 3799, ""name"": ""ship""}, {""id"": 4210, ""name"": ""panic""}, {""id"": 4388, ""name"": ""titanic""}, {""id"": 4953, ""name"": ""ocean liner""}, {""id"": 6917, ""name"": ""epic""}, {""id"": 7579, ""name"": ""rich woman - poor man""}, {""id"": 9673, ""name"": ""love""}, {""id"": 10617, ""name"": ""disaster""}, {""id"": 10703, ""name"": ""tragic love""}, {""id"": 14514, ""name"": ""class differences""}, {""id"": 156395, ""name"": ""imax""}, {""id"": 165086, ""name"": ""star crossed lovers""}, {""id"": 182615, ""name"": ""steerage""}, {""id"": 182621, ""name"": ""salvage""}, {""id"": 182625, ""name"": ""rich snob""}, {""id"": 209714, ""name"": ""3d""}, {""id"": 210184, ""name"": ""1910s""}]","KateWinslet LeonardoDiCaprio","JamesCameron"
"4",4,"The Great Gatsby",1270,4.5,"[{""id"": 18, ""name"": ""Drama""}, {""id"": 10749, ""name"": ""Romance""}]",61.196071,143,2000,"[{""name"": ""Village Roadshow Pictures"", ""id"": 79}, {""name"": ""Bazmark Films"", ""id"": 240}, {""name"": ""Warner Bros."", ""id"": 6194}, {""name"": ""A&E Television Networks"", ""id"": 11858}, {""name"": ""Red Wagon Entertainment"", ""id"": 14440}, {""name"": ""Spectrum Films"", ""id"": 14604}]","[{""iso_3166_1"": ""US"", ""name"": ""United States of America""}, {""iso_3166_1"": ""AU"", ""name"": ""Australia""}]","[{""id"": 818, ""name"": ""based on novel""}, {""id"": 1326, ""name"": ""infidelity""}, {""id"": 1523, ""name"": ""obsession""}, {""id"": 3929, ""name"": ""hope""}, {""id"": 209714, ""name"": ""3d""}]","CareyMulligan JasonClarke JoelEdgerton LeonardoDiCaprio TobeyMaguire","BazLuhrmann"
"5",5,"A Christmas Carol",4179,3.85714285714286,"[{""id"": 16, ""name"": ""Animation""}, {""id"": 18, ""name"": ""Drama""}]",39.744242,96,1951,"[{""name"": ""Walt Disney"", ""id"": 5888}, {""name"": ""ImageMovers"", ""id"": 11395}]","[{""iso_3166_1"": ""US"", ""name"": ""United States of America""}]","[{""id"": 65, ""name"": ""holiday""}, {""id"": 818, ""name"": ""based on novel""}, {""id"": 8250, ""name"": ""victorian england""}, {""id"": 10594, ""name"": ""money""}, {""id"": 33965, ""name"": ""christmas eve""}, {""id"": 33966, ""name"": ""scrooge""}, {""id"": 161174, ""name"": ""christmas carol""}, {""id"": 162846, ""name"": ""ghost""}, {""id"": 170457, ""name"": ""lesson""}, {""id"": 180975, ""name"": ""charles dickens""}, {""id"": 207317, ""name"": ""christmas""}]","ColinFirth GaryOldman JimCarrey","RobertZemeckis"
"6",6,"Batman Begins",3864,4.27210884353742,"[{""id"": 28, ""name"": ""Action""}, {""id"": 80, ""name"": ""Crime""}, {""id"": 18, ""name"": ""Drama""}]",115.040024,140,2005,"[{""name"": ""DC Comics"", ""id"": 429}, {""name"": ""Legendary Pictures"", ""id"": 923}, {""name"": ""Warner Bros."", ""id"": 6194}, {""name"": ""DC Entertainment"", ""id"": 9993}, {""name"": ""Syncopy"", ""id"": 9996}, {""name"": ""Patalex III Productions Limited"", ""id"": 19231}]","[{""iso_3166_1"": ""GB"", ""name"": ""United Kingdom""}, {""iso_3166_1"": ""US"", ""name"": ""United States of America""}]","[{""id"": 486, ""name"": ""himalaya""}, {""id"": 779, ""name"": ""martial arts""}, {""id"": 849, ""name"": ""dc comics""}, {""id"": 853, ""name"": ""crime fighter""}, {""id"": 1308, ""name"": ""secret identity""}, {""id"": 1568, ""name"": ""undercover""}, {""id"": 1701, ""name"": ""hero""}, {""id"": 1872, ""name"": ""loss of father""}, {""id"": 3679, ""name"": ""society""}, {""id"": 6969, ""name"": ""gotham city""}, {""id"": 7002, ""name"": ""vigilante""}, {""id"": 9715, ""name"": ""superhero""}, {""id"": 9717, ""name"": ""based on comic book""}, {""id"": 9823, ""name"": ""rivalry""}, {""id"": 10044, ""name"": ""tragic hero""}, {""id"": 10278, ""name"": ""ninja""}, {""id"": 10842, ""name"": ""good vs evil""}, {""id"": 14536, ""name"": ""crime""}, {""id"": 163455, ""name"": ""super powers""}, {""id"": 173719, ""name"": ""haunted by the past""}, {""id"": 179095, ""name"": ""evil doctor""}, {""id"": 187710, ""name"": ""escapade""}, {""id"": 206694, ""name"": ""master villain""}, {""id"": 206700, ""name"": ""fighting crime""}, {""id"": 206709, ""name"": ""unfulfillment""}, {""id"": 206715, ""name"": ""love and romance""}, {""id"": 206716, ""name"": ""unfulfilled love""}]","ChristianBale KenWatanabe MichaelCaine","ChristopherNolan"
"7",7,"Armageddon",621,3.72222222222222,"[{""id"": 28, ""name"": ""Action""}, {""id"": 53, ""name"": ""Thriller""}, {""id"": 878, ""name"": ""Science Fiction""}, {""id"": 12, ""name"": ""Adventure""}]",58.485967,151,1997,"[{""name"": ""Jerry Bruckheimer Films"", ""id"": 130}, {""name"": ""Touchstone Pictures"", ""id"": 9195}, {""name"": ""Valhalla Motion Pictures"", ""id"": 11533}]","[{""iso_3166_1"": ""US"", ""name"": ""United States of America""}]","[{""id"": 83, ""name"": ""saving the world""}, {""id"": 90, ""name"": ""paris""}, {""id"": 305, ""name"": ""moon""}, {""id"": 843, ""name"": ""cataclysm""}, {""id"": 1423, ""name"": ""asteroid""}, {""id"": 1430, ""name"": ""self sacrifice""}, {""id"": 1432, ""name"": ""nasa""}, {""id"": 1826, ""name"": ""space marine""}, {""id"": 1872, ""name"": ""loss of father""}, {""id"": 5600, ""name"": ""daughter""}, {""id"": 9882, ""name"": ""space""}, {""id"": 13027, ""name"": ""wedding""}, {""id"": 14626, ""name"": ""astronaut""}, {""id"": 164889, ""name"": ""eiffel tower paris""}, {""id"": 179431, ""name"": ""duringcreditsstinger""}, {""id"": 199076, ""name"": ""disaster movie""}, {""id"": 211487, ""name"": ""space centre""}]","BenAffleck BillyBobThornton BruceWillis LivTyler","MichaelBay"
"8",8,"Men in Black II",3427,3.26178010471204,"[{""id"": 28, ""name"": ""Action""}, {""id"": 12, ""name"": ""Adventure""}, {""id"": 35, ""name"": ""Comedy""}, {""id"": 878, ""name"": ""Science Fiction""}]",91.332849,88,2002,"[{""name"": ""Columbia Pictures"", ""id"": 5}, {""name"": ""Amblin Entertainment"", ""id"": 56}, {""name"": ""Columbia Pictures Corporation"", ""id"": 441}, {""name"": ""Parkes+MacDonald Image Nation"", ""id"": 49325}]","[{""iso_3166_1"": ""US"", ""name"": ""United States of America""}]","[{""id"": 83, ""name"": ""saving the world""}, {""id"": 1308, ""name"": ""secret identity""}, {""id"": 1381, ""name"": ""sun glasses""}, {""id"": 1568, ""name"": ""undercover""}, {""id"": 1826, ""name"": ""space marine""}, {""id"": 2173, ""name"": ""illegal immigration""}, {""id"": 2428, ""name"": ""deportation""}, {""id"": 2547, ""name"": ""new identity""}, {""id"": 3243, ""name"": ""flying saucer""}, {""id"": 3760, ""name"": ""light""}, {""id"": 6112, ""name"": ""firearm""}, {""id"": 9951, ""name"": ""alien""}, {""id"": 174915, ""name"": ""fictional government agency""}]","TommyLeeJones WillSmith","BarrySonnenfeld"
"9",9,"Fun with Dick and Jane",1893,4.5,"[{""id"": 35, ""name"": ""Comedy""}]",25.159168,90,1977,"[{""name"": ""Imagine Entertainment"", ""id"": 23}, {""name"": ""Columbia Pictures Corporation"", ""id"": 441}, {""name"": ""JC 23 Entertainment"", ""id"": 76714}]","[{""iso_3166_1"": ""US"", ""name"": ""United States of America""}]","[{""id"": 818, ""name"": ""based on novel""}, {""id"": 1333, ""name"": ""desperation""}, {""id"": 1621, ""name"": ""robber""}, {""id"": 3607, ""name"": ""hold-up robbery""}, {""id"": 9714, ""name"": ""remake""}, {""id"": 10532, ""name"": ""suburbia""}, {""id"": 14549, ""name"": ""loss of job""}, {""id"": 33740, ""name"": ""humiliation""}, {""id"": 156052, ""name"": ""unemployment""}, {""id"": 157296, ""name"": ""bankruptcy""}, {""id"": 160510, ""name"": ""travel agent""}, {""id"": 211295, ""name"": ""riches to rags""}, {""id"": 227863, ""name"": ""bearer bonds""}, {""id"": 227864, ""name"": ""comeuppance""}]","JimCarrey T\u00e9aLeoni","DeanParisot"
"10",10,"The Last Samurai",3624,3.93318485523385,"[{""id"": 18, ""name"": ""Drama""}, {""id"": 28, ""name"": ""Action""}, {""id"": 10752, ""name"": ""War""}, {""id"": 36, ""name"": ""History""}]",52.341226,154,2003,"[{""name"": ""Cruise/Wagner Productions"", ""id"": 44}, {""name"": ""Warner Bros."", ""id"": 6194}, {""name"": ""Radar Pictures"", ""id"": 14718}, {""name"": ""Bedford Falls Company, The"", ""id"": 20634}]","[{""iso_3166_1"": ""JP"", ""name"": ""Japan""}, {""iso_3166_1"": ""US"", ""name"": ""United States of America""}, {""iso_3166_1"": ""NZ"", ""name"": ""New Zealand""}]","[{""id"": 233, ""name"": ""japan""}, {""id"": 1327, ""name"": ""war crimes""}, {""id"": 1335, ""name"": ""sense of guilt""}, {""id"": 1400, ""name"": ""swordplay""}, {""id"": 1402, ""name"": ""general""}, {""id"": 1462, ""name"": ""samurai""}, {""id"": 1543, ""name"": ""war veteran""}, {""id"": 1908, ""name"": ""katana""}, {""id"": 1938, ""name"": ""sword""}, {""id"": 2001, ""name"": ""arms deal""}, {""id"": 2156, ""name"": ""homeland""}, {""id"": 2280, ""name"": ""emperor""}, {""id"": 2568, ""name"": ""language barrier""}, {""id"": 2796, ""name"": ""self-discovery""}, {""id"": 2802, ""name"": ""mountain village""}, {""id"": 2905, ""name"": ""foreign legion""}, {""id"": 3070, ""name"": ""mercenary""}, {""id"": 3072, ""name"": ""campaign""}, {""id"": 3073, ""name"": ""commercial agreement""}, {""id"": 3074, ""name"": ""insurgence""}, {""id"": 3077, ""name"": ""leader""}, {""id"": 3078, ""name"": ""war strategy""}, {""id"": 3080, ""name"": ""gettysburg""}, {""id"": 4549, ""name"": ""loss of husband""}, {""id"": 10089, ""name"": ""slaughter""}, {""id"": 13065, ""name"": ""soldier""}, {""id"": 33457, ""name"": ""alcoholic""}, {""id"": 33564, ""name"": ""u.s. soldier""}, {""id"": 170007, ""name"": ""japanese army""}, {""id"": 207928, ""name"": ""19th century""}, {""id"": 220492, ""name"": ""war trauma""}]","BillyConnolly KenWatanabe TomCruise","EdwardZwick"
