agency_id,ori,legacy_ori,agency_name,short_name,agency_type_id,agency_type_name,tribe_id,campus_id,city_id,city_name,state_id,state_abbr,primary_county_id,primary_county,primary_county_fips,agency_status,submitting_agency_id,submitting_sai,submitting_name,submitting_state_abbr,start_year,dormant_year,current_year,revised_rape_start,current_nibrs_start_year,population,population_group_code,population_group_desc,population_source_flag,suburban_area_flag,core_city_flag,months_reported,nibrs_months_reported,past_10_years_reported,covered_by_id,covered_by_ori,covered_by_name,staffing_year,total_officers,total_civilians,icpsr_zip,icpsr_lat,icpsr_lng
19425,TX1350000,TX1350000,King County Sheriff's Office,King,2,County,,,,,48,TX,2749,King,48269,A,23393,TXUCR0001,Texas Department of Public Safety Crime Information Bureau Uniform Crime Reporting,TX,1960,,2016,,,257,8D,"Non-MSA counties under 10,000",L,N,N,12,0,10,,,,2013,2,0,79236,33.614159,-100.250548
19561,TX1730000,TX1730000,Motley County Sheriff's Office,Motley,2,County,,,,,48,TX,2787,Motley,48345,A,23393,TXUCR0001,Texas Department of Public Safety Crime Information Bureau Uniform Crime Reporting,TX,1960,,2016,,,1142,8D,"Non-MSA counties under 10,000",L,N,N,12,0,10,,,,2016,2,0,79244,34.057899,-100.793152
19209,TX0920500,TX0920500,Longview Police Department,Longview,1,City,,,10572,Longview,48,TX,2706,Gregg,48183,A,23393,TXUCR0001,Texas Department of Public Safety Crime Information Bureau Uniform Crime Reporting,TX,1960,,2016,2013,2016,81842,3,"Cities from 50,000 thru 99,000",L,N,Y,12,12,10,,,,2016,172,14,75606,32.486397,-94.816276
19639,TX1990300,TX1990300,Heath Police Department,Heath,1,City,,,10716,Rockwall,48,TX,2813,Rockwall,48397,A,23393,TXUCR0001,Texas Department of Public Safety Crime Information Bureau Uniform Crime Reporting,TX,1990,,2016,2013,2016,8176,6,"Cities from 2,500 thru 9,999",L,Y,N,12,12,9,,,,2016,19,1,75032,32.898054,-96.404396
19009,TX0570100,TX0570100,Addison Police Department,Addison,1,City,,,10212,Addison,48,TX,2671,Dallas,48113,A,23393,TXUCR0001,Texas Department of Public Safety Crime Information Bureau Uniform Crime Reporting,TX,1974,,2016,,,16125,5,"Cities from 10,000 thru 24,999",L,Y,N,12,0,10,,,,2016,59,9,75001,32.766987,-96.778424
19787,TX2340100,TX2340100,Canton Police Department,Canton,1,City,,,10297,Canton,48,TX,2848,Van Zandt,48467,A,23393,TXUCR0001,Texas Department of Public Safety Crime Information Bureau Uniform Crime Reporting,TX,1976,,2016,,,3579,6,"Cities from 2,500 thru 9,999",L,N,N,12,0,9,,,,2015,13,5,75103,32.558948,-95.836391
19103,TX0700600,TX0700600,Milford Police Department,Milford,1,City,,,10611,Milford,48,TX,2685,Ellis,48139,A,23393,TXUCR0001,Texas Department of Public Safety Crime Information Bureau Uniform Crime Reporting,TX,2005,,2016,,,730,7,"Cities under 2,500",L,Y,N,12,0,7,,,,2013,3,0,76670,32.347294,-96.798231
19051,TX0600100,TX0600100,Cooper Police Department,Cooper,1,City,,,10332,Cooper,48,TX,2674,Delta,48119,A,23393,TXUCR0001,Texas Department of Public Safety Crime Information Bureau Uniform Crime Reporting,TX,1982,,2016,2014,1985,1970,7,"Cities under 2,500",L,N,N,0,0,0,19050,TX0600000,Delta,1984,2,2,75432,33.385933,-95.67335
19058,TX0610800,TX0610800,Sanger Police Department,Sanger,1,City,,,10743,Sanger,48,TX,2675,Denton,48121,A,23393,TXUCR0001,Texas Department of Public Safety Crime Information Bureau Uniform Crime Reporting,TX,1991,,2016,,,7768,6,"Cities from 2,500 thru 9,999",L,Y,N,12,0,10,,,,2016,13,1,76266,33.205005,-97.119046
19620,TX1910300,TX1910300,West Texas A&M University,West Texas A&M University,3,University or College,,880,,,48,TX,2805,Randall,48381,A,23393,TXUCR0001,Texas Department of Public Safety Crime Information Bureau Uniform Crime Reporting,TX,1989,,2016,,,0,7,"Cities under 2,500",L,Y,N,12,0,10,,,,2016,15,6,79016,34.962529,-101.895547
