criminal_act_id,offense_id
9,79955416
9,79984016
1,79959308
1,79961367
6,79976146
6,79958439
6,79950263
6,79954079
9,79952520
6,79954080
9,79955342
9,79950267
6,79950340
6,79955346
6,79952523
6,79954340
9,79950269
9,79952524
9,79958446
6,79955348
9,79952525
6,79954343
9,79955349
9,79958448
6,79950275
6,79954344
9,79955350
9,79954345
6,79958452
6,79954347
9,79950277
9,79954086
6,79950370
9,79951061
9,79954117
9,79955387
9,79954118
9,79953311
9,79959237
9,79950372
9,79954384
9,79954385
9,79954124
9,79955395
9,79954087
9,79955353
6,79952527
6,79952529
9,79951037
9,79958455
9,79954352
9,79951040
6,79955355
6,79951042
6,79951043
6,79958456
6,79955356
6,79950342
6,79952531
6,79958459
9,79952532
9,79951045
8,79954353
9,79955357
6,79950343
6,79954356
6,79954357
9,79950344
6,79950345
6,79955359
6,79954358
6,79958460
6,79952535
9,79958461
9,79954360
6,79950348
6,79955361
9,79951047
6,79954091
6,79958465
6,79950252
6,79946121
9,79949258
9,79950253
9,79950326
6,79946122
8,79950327
9,79949259
6,79950329
9,79950256
9,79950330
9,79952514
9,79954072
9,79955333
9,79952515
6,79950331
6,79950332
9,79958433
9,79958434
6,79955335
9,79955336
9,79954331
9,79954332
9,79950258
9,79950359
9,79951053
9,79950360
6,79955375
9,79951054
6,79959228
6,79953303
9,79959229
9,79959232
9,79954111
9,79950363
9,79954380
6,79953305
9,79959233
9,79951056
9,79955378
9,79951057
2,79955382
9,79955383
9,79951059
6,79954382
9,79953307
9,79950367
9,79951060
6,79950368
6,79954383
6,79954115
6,79954067
9,79954068
9,79950322
9,79950249
9,79952509
9,79950323
9,79954069
9,79952510
9,79954330
9,79950251
9,79950325
6,79954093
9,79952537
6,79950349
6,79950350
9,79952538
9,79955362
6,79954096
6,79954097
6,79954363
6,79951049
9,79958467
9,79950354
9,79952542
9,79958469
9,79954100
6,79955364
6,79954101
6,79951050
9,79954103
6,79954104
9,79950355
9,79951051
9,79950356
9,79955367
9,79955368
9,79950358
9,79953301
6,79951052
6,79954107
9,79953302
9,79956416
6,79953360
6,79959277
9,79954436
2,79959278
9,79955440
6,79954438
6,79959280
9,79955442
6,79956418
9,79956419
6,79953364
6,79956421
6,79955445
9,79953365
6,79959281
9,79956422
6,79953366
6,79955201
6,79956424
6,79955202
6,79955446
9,79951078
9,79955408
6,79950398
9,79955411
6,79955412
6,79959263
9,79959264
9,79950400
6,79959265
6,79950401
6,79954411
6,79954147
6,79955414
9,79951080
9,79954412
6,79953344
6,79953345
9,79959255
9,79953331
9,79959256
