nibrs_month_id,agency_id,month_num,data_year,reported_status,report_date,prepared_date,update_flag,orig_format,ff_line_number,data_home,ddocname,did
6467107,18791,1,2014,U,,,N,F,,C,2014_01_TX0130100_NIBRS,
6489557,18791,2,2014,U,,,N,F,,C,2014_02_TX0130100_NIBRS,
6512007,18791,3,2014,U,,,N,F,,C,2014_03_TX0130100_NIBRS,
6534457,18791,4,2014,U,,,N,F,,C,2014_04_TX0130100_NIBRS,
6556907,18791,5,2014,U,,,N,F,,C,2014_05_TX0130100_NIBRS,
6579357,18791,6,2014,U,,,N,F,,C,2014_06_TX0130100_NIBRS,
6601807,18791,7,2014,U,,,N,F,,C,2014_07_TX0130100_NIBRS,
6624257,18791,8,2014,U,,,N,F,,C,2014_08_TX0130100_NIBRS,
6646707,18791,9,2014,U,,,N,F,,C,2014_09_TX0130100_NIBRS,
6669157,18791,10,2014,U,,,N,F,,C,2014_10_TX0130100_NIBRS,
6691607,18791,11,2014,U,,,N,F,,C,2014_11_TX0130100_NIBRS,
6714057,18791,12,2014,U,,,N,F,,C,2014_12_TX0130100_NIBRS,
6467108,18792,1,2014,U,,,N,F,,C,2014_01_TX0140000_NIBRS,
6489558,18792,2,2014,U,,,N,F,,C,2014_02_TX0140000_NIBRS,
6512008,18792,3,2014,U,,,N,F,,C,2014_03_TX0140000_NIBRS,
6534458,18792,4,2014,U,,,N,F,,C,2014_04_TX0140000_NIBRS,
6556908,18792,5,2014,U,,,N,F,,C,2014_05_TX0140000_NIBRS,
6579358,18792,6,2014,U,,,N,F,,C,2014_06_TX0140000_NIBRS,
6601808,18792,7,2014,U,,,N,F,,C,2014_07_TX0140000_NIBRS,
6624258,18792,8,2014,U,,,N,F,,C,2014_08_TX0140000_NIBRS,
6646708,18792,9,2014,U,,,N,F,,C,2014_09_TX0140000_NIBRS,
6669158,18792,10,2014,U,,,N,F,,C,2014_10_TX0140000_NIBRS,
6691608,18792,11,2014,U,,,N,F,,C,2014_11_TX0140000_NIBRS,
6714058,18792,12,2014,U,,,N,F,,C,2014_12_TX0140000_NIBRS,
6467109,18793,1,2014,U,,,N,F,,C,2014_01_TX0140100_NIBRS,
6489559,18793,2,2014,U,,,N,F,,C,2014_02_TX0140100_NIBRS,
6512009,18793,3,2014,U,,,N,F,,C,2014_03_TX0140100_NIBRS,
6534459,18793,4,2014,U,,,N,F,,C,2014_04_TX0140100_NIBRS,
6556909,18793,5,2014,U,,,N,F,,C,2014_05_TX0140100_NIBRS,
6579359,18793,6,2014,U,,,N,F,,C,2014_06_TX0140100_NIBRS,
6601809,18793,7,2014,U,,,N,F,,C,2014_07_TX0140100_NIBRS,
6624259,18793,8,2014,U,,,N,F,,C,2014_08_TX0140100_NIBRS,
6646709,18793,9,2014,U,,,N,F,,C,2014_09_TX0140100_NIBRS,
6669159,18793,10,2014,U,,,N,F,,C,2014_10_TX0140100_NIBRS,
6691609,18793,11,2014,U,,,N,F,,C,2014_11_TX0140100_NIBRS,
6714059,18793,12,2014,U,,,N,F,,C,2014_12_TX0140100_NIBRS,
6467110,18794,1,2014,U,,,N,F,,C,2014_01_TX0140200_NIBRS,
6489560,18794,2,2014,U,,,N,F,,C,2014_02_TX0140200_NIBRS,
6512010,18794,3,2014,U,,,N,F,,C,2014_03_TX0140200_NIBRS,
6534460,18794,4,2014,U,,,N,F,,C,2014_04_TX0140200_NIBRS,
6556910,18794,5,2014,U,,,N,F,,C,2014_05_TX0140200_NIBRS,
6579360,18794,6,2014,U,,,N,F,,C,2014_06_TX0140200_NIBRS,
6601810,18794,7,2014,U,,,N,F,,C,2014_07_TX0140200_NIBRS,
6624260,18794,8,2014,U,,,N,F,,C,2014_08_TX0140200_NIBRS,
6646710,18794,9,2014,U,,,N,F,,C,2014_09_TX0140200_NIBRS,
6669160,18794,10,2014,U,,,N,F,,C,2014_10_TX0140200_NIBRS,
6691610,18794,11,2014,U,,,N,F,,C,2014_11_TX0140200_NIBRS,
