N,DATA_YEAR,ARRESTEE_ID,INCIDENT_ID,ARREST_DATE,MULTIPLE_INDICATOR,AGE_NUM,SEX_CODE,ARREST_TYPE_NAME,OFFENSE_NAME,CRIME_AGAINST,OFFENSE_CATEGORY_NAME,OFFENSE_GROUP,RACE_DESC,AGENCY_ID,NIBRS_MONTH_ID,SUBMISSION_DATE,INCIDENT_DATE,INCIDENT_HOUR
1,2017,26263849,90114779,02-MAY-17,N,49,M,On View,Robbery,Property,Robbery,A,White,61,7588245,17-AUG-18,02-MAY-17,21
2,2017,25676963,88430665,01-JAN-17,N,29,M,On View,Stolen Property Offenses,Property,Stolen Property Offenses,A,White,61,7492636,17-AUG-18,01-JAN-17,16
3,2017,25677003,88430817,19-JAN-17,N,54,M,On View,Counterfeiting/Forgery,Property,Counterfeiting/Forgery,A,White,61,7492636,17-AUG-18,19-JAN-17,15
4,2017,25677016,88430864,26-JAN-17,N,17,F,Taken INTO Custody,Shoplifting,Property,Larceny/Theft Offenses,A,White,61,7492636,17-AUG-18,26-JAN-17,13
5,2017,26027448,89448478,08-MAR-17,N,43,F,On View,False Pretenses/Swindle/Confidence Game,Property,Fraud Offenses,A,White,61,7550698,17-AUG-18,08-MAR-17,16
6,2017,25677015,88430864,26-JAN-17,N,18,F,Taken INTO Custody,Shoplifting,Property,Larceny/Theft Offenses,A,White,61,7492636,17-AUG-18,26-JAN-17,13
7,2017,25676975,88430721,08-JAN-17,N,31,M,On View,Robbery,Property,Robbery,A,White,61,7492636,17-AUG-18,08-JAN-17,16
8,2017,25677008,88430825,21-JAN-17,N,42,F,On View,False Pretenses/Swindle/Confidence Game,Property,Fraud Offenses,A,Black or African American,61,7492636,17-AUG-18,21-JAN-17,16
9,2017,25676972,88430707,05-JAN-17,N,55,M,On View,Shoplifting,Property,Larceny/Theft Offenses,A,Black or African American,61,7492636,17-AUG-18,05-JAN-17,15
10,2017,26263935,90114993,20-MAY-17,N,30,F,On View,Shoplifting,Property,Larceny/Theft Offenses,A,Black or African American,61,7588245,17-AUG-18,20-MAY-17,20
11,2017,27740838,94738388,04-DEC-17,N,35,F,Taken INTO Custody,Stolen Property Offenses,Property,Stolen Property Offenses,A,Black or African American,61,7829046,20-AUG-18,04-DEC-17,15
12,2017,27740825,94738364,03-DEC-17,N,34,M,On View,Stolen Property Offenses,Property,Stolen Property Offenses,A,Black or African American,61,7829046,20-AUG-18,03-DEC-17,12
13,2017,27082630,92555209,19-OCT-17,N,28,F,On View,False Pretenses/Swindle/Confidence Game,Property,Fraud Offenses,A,White,61,7713473,17-AUG-18,19-OCT-17,18
14,2017,27082629,92555209,19-OCT-17,N,28,M,On View,False Pretenses/Swindle/Confidence Game,Property,Fraud Offenses,A,White,61,7713473,17-AUG-18,19-OCT-17,18
15,2017,26915766,92050814,25-SEP-17,N,22,F,Taken INTO Custody,False Pretenses/Swindle/Confidence Game,Property,Fraud Offenses,A,Black or African American,61,7686838,17-AUG-18,20-SEP-17,18
16,2017,27082609,92555143,11-OCT-17,N,22,M,Taken INTO Custody,Burglary/Breaking & Entering,Property,Burglary/Breaking & Entering,A,White,61,7713473,17-AUG-18,11-OCT-17,6
17,2017,27082654,92555272,27-OCT-17,N,25,F,On View,Shoplifting,Property,Larceny/Theft Offenses,A,White,61,7713473,17-AUG-18,27-OCT-17,18
18,2017,27211282,92963436,20-NOV-17,N,36,M,On View,Stolen Property Offenses,Property,Stolen Property Offenses,A,White,61,7739502,17-AUG-18,20-NOV-17,16
19,2017,26915692,92050606,03-SEP-17,N,20,M,On View,Robbery,Property,Robbery,A,Black or African American,61,7686838,17-AUG-18,02-SEP-17,22
20,2017,26915693,92050606,03-SEP-17,N,18,M,Taken INTO Custody,Robbery,Property,Robbery,A,Black or African American,61,7686838,17-AUG-18,02-SEP-17,22
21,2017,26915733,92050737,14-SEP-17,N,33,M,On View,Credit Card/Automated Teller Machine Fraud,Property,Fraud Offenses,A,White,61,7686838,17-AUG-18,14-SEP-17,9
22,2017,26915737,92050743,14-SEP-17,N,36,M,On View,Credit Card/Automated Teller Machine Fraud,Property,Fraud Offenses,A,Black or African American,61,7686838,17-AUG-18,14-SEP-17,14
23,2017,27082587,92555074,10-OCT-17,N,64,F,Taken INTO Custody,False Pretenses/Swindle/Confidence Game,Property,Fraud Offenses,A,White,61,7686838,17-AUG-18,16-SEP-17,9
24,2017,26915707,92050660,05-SEP-17,N,24,M,On View,Stolen Property Offenses,Property,Stolen Property Offenses,A,Black or African American,61,7686838,17-AUG-18,05-SEP-17,20
25,2017,26915732,92050731,14-SEP-17,N,18,M,On View,Stolen Property Offenses,Property,Stolen Property Offenses,A,Black or African American,61,7686838,17-AUG-18,14-SEP-17,13
26,2017,26915652,92050540,06-SEP-17,N,27,M,Taken INTO Custody,False Pretenses/Swindle/Confidence Game,Property,Fraud Offenses,A,White,61,7629964,17-AUG-18,16-JUL-17,10
27,2017,26915751,92050780,17-SEP-17,N,18,M,On View,Stolen Property Offenses,Property,Stolen Property Offenses,A,Black or African American,61,7686838,17-AUG-18,17-SEP-17,12
28,2017,27740892,94738574,22-DEC-17,N,25,M,Taken INTO Custody,Counterfeiting/Forgery,Property,Counterfeiting/Forgery,A,Black or African American,61,7829046,20-AUG-18,13-DEC-17,17
29,2017,27082589,92555080,25-OCT-17,N,22,M,Taken INTO Custody,Burglary/Breaking & Entering,Property,Burglary/Breaking & Entering,A,White,61,7686838,17-AUG-18,23-SEP-17,6
30,2017,27082635,92555228,21-OCT-17,N,58,F,On View,False Pretenses/Swindle/Confidence Game,Property,Fraud Offenses,A,Black or African American,61,7713473,17-AUG-18,21-OCT-17,17
31,2017,26263853,90114778,01-MAY-17,N,21,F,On View,Shoplifting,Property,Larceny/Theft Offenses,A,Black or African American,61,7573648,17-AUG-18,15-APR-17,17
32,2017,25840008,88884905,09-FEB-17,N,38,M,On View,Counterfeiting/Forgery,Property,Counterfeiting/Forgery,A,Black or African American,61,7522221,17-AUG-18,08-FEB-17,14
33,2017,26681720,91328630,27-AUG-17,N,30,F,On View,Shoplifting,Property,Larceny/Theft Offenses,A,White,61,7657598,17-AUG-18,27-AUG-17,15
34,2017,26178129,89854345,28-APR-17,N,28,M,On View,Stolen Property Offenses,Property,Stolen Property Offenses,A,Black or African American,61,7573648,17-AUG-18,28-APR-17,12
35,2017,26178016,89854040,03-APR-17,N,37,F,Taken INTO Custody,Shoplifting,Property,Larceny/Theft Offenses,A,Black or African American,61,7573648,17-AUG-18,03-APR-17,19
