N,DATA_YEAR,ARRESTEE_ID,INCIDENT_ID,ARREST_DATE,MULTIPLE_INDICATOR,AGE_NUM,SEX_CODE,ARREST_TYPE_NAME,OFFENSE_NAME,CRIME_AGAINST,OFFENSE_CATEGORY_NAME,OFFENSE_GROUP,RACE_DESC,AGENCY_ID,NIBRS_MONTH_ID,SUBMISSION_DATE,INCIDENT_DATE,INCIDENT_HOUR
1,2017,28723694,97543392,18-OCT-17,N,18,M,Taken INTO Custody,Motor Vehicle Theft,Property,Motor Vehicle Theft,A,White,506,7923619,20-AUG-18,05-OCT-17,10
2,2017,28723696,97543392,18-OCT-17,N,19,M,Taken INTO Custody,Motor Vehicle Theft,Property,Motor Vehicle Theft,A,White,506,7923619,20-AUG-18,05-OCT-17,10
3,2017,28723698,97543392,18-OCT-17,N,17,M,Taken INTO Custody,Motor Vehicle Theft,Property,Motor Vehicle Theft,A,White,506,7923619,20-AUG-18,05-OCT-17,10
4,2017,28431340,96719404,27-NOV-17,N,18,M,Taken INTO Custody,Motor Vehicle Theft,Property,Motor Vehicle Theft,A,Black or African American,728,7956132,20-AUG-18,25-NOV-17,3
5,2017,28252591,96202172,24-OCT-17,C,37,F,Summoned / Cited,Shoplifting,Property,Larceny/Theft Offenses,A,Black or African American,675,7924608,20-AUG-18,24-OCT-17,21
6,2017,28252790,96202684,08-OCT-17,N,36,M,Taken INTO Custody,Theft From Coin-Operated Machine or Device,Property,Larceny/Theft Offenses,A,White,692,7924630,20-AUG-18,08-OCT-17,23
7,2017,28252792,96202684,09-OCT-17,N,29,F,Taken INTO Custody,Theft From Coin-Operated Machine or Device,Property,Larceny/Theft Offenses,A,White,692,7924630,20-AUG-18,08-OCT-17,23
8,2017,28938094,98128510,21-MAR-18,N,24,M,Summoned / Cited,All Other Larceny,Property,Larceny/Theft Offenses,A,White,769,7975958,20-AUG-18,11-DEC-17,8
9,2017,28938097,98128534,05-FEB-18,N,32,M,Taken INTO Custody,Theft From Motor Vehicle,Property,Larceny/Theft Offenses,A,White,769,7956170,20-AUG-18,13-NOV-17,12
10,2017,28527099,96982721,10-DEC-17,N,50,M,Taken INTO Custody,All Other Larceny,Property,Larceny/Theft Offenses,A,White,604,7974332,20-AUG-18,10-DEC-17,15
11,2017,28527226,96982987,24-DEC-17,N,43,F,Taken INTO Custody,All Other Larceny,Property,Larceny/Theft Offenses,A,Black or African American,604,7974332,20-AUG-18,24-DEC-17,13
12,2017,28527805,96984276,15-DEC-17,N,27,M,On View,Theft of Motor Vehicle Parts or Accessories,Property,Larceny/Theft Offenses,A,White,715,7975109,20-AUG-18,15-DEC-17,20
13,2017,28528391,96985478,09-DEC-17,N,14,F,Summoned / Cited,Destruction/Damage/Vandalism of Property,Property,Destruction/Damage/Vandalism of Property,A,White,727,7975124,20-AUG-18,09-DEC-17,14
14,2017,28528398,96985478,09-DEC-17,N,10,F,Summoned / Cited,Destruction/Damage/Vandalism of Property,Property,Destruction/Damage/Vandalism of Property,A,White,727,7975124,20-AUG-18,09-DEC-17,14
15,2017,28528808,96986296,10-DEC-17,N,36,F,On View,Shoplifting,Property,Larceny/Theft Offenses,A,White,730,7975361,20-AUG-18,10-DEC-17,4
16,2017,28532186,96993660,12-DEC-17,N,22,F,Taken INTO Custody,Shoplifting,Property,Larceny/Theft Offenses,A,Black or African American,728,7956132,20-AUG-18,18-NOV-17,18
17,2017,28532358,96994311,02-DEC-17,N,32,F,Taken INTO Custody,All Other Larceny,Property,Larceny/Theft Offenses,A,Black or African American,728,7975991,20-AUG-18,02-DEC-17,16
18,2017,28533608,96997235,15-DEC-17,N,29,M,On View,Robbery,Property,Robbery,A,Black or African American,728,7975991,20-AUG-18,15-DEC-17,13
19,2017,28533845,96997633,18-DEC-17,N,31,M,Taken INTO Custody,Shoplifting,Property,Larceny/Theft Offenses,A,Black or African American,728,7975991,20-AUG-18,18-DEC-17,19
20,2017,28534262,96998351,24-DEC-17,N,14,M,Taken INTO Custody,Motor Vehicle Theft,Property,Motor Vehicle Theft,A,White,728,7975991,20-AUG-18,24-DEC-17,16
21,2017,28926294,98095925,16-MAR-18,C,24,F,On View,All Other Larceny,Property,Larceny/Theft Offenses,A,Black or African American,512,7923618,20-AUG-18,17-OCT-17,16
22,2017,28928264,98101422,07-JUN-17,N,42,M,On View,Burglary/Breaking & Entering,Property,Burglary/Breaking & Entering,A,White,560,7609345,20-AUG-18,24-MAY-17,11
23,2017,28430181,96715786,15-NOV-17,N,18,F,Taken INTO Custody,Theft From Building,Property,Larceny/Theft Offenses,A,White,728,7880886,20-AUG-18,12-SEP-17,8
24,2017,28430507,96716767,05-NOV-17,N,39,M,Taken INTO Custody,Theft From Motor Vehicle,Property,Larceny/Theft Offenses,A,Black or African American,728,7956132,20-AUG-18,05-NOV-17,8
25,2017,28725017,97546511,20-DEC-17,C,27,M,Taken INTO Custody,Shoplifting,Property,Larceny/Theft Offenses,A,White,512,7923618,20-AUG-18,18-OCT-17,11
26,2017,28725101,97546862,08-DEC-17,C,22,M,Taken INTO Custody,All Other Larceny,Property,Larceny/Theft Offenses,A,White,512,8005490,20-AUG-18,08-DEC-17,9
27,2017,28725381,97547904,15-MAR-17,N,28,F,Taken INTO Custody,All Other Larceny,Property,Larceny/Theft Offenses,A,White,517,7592786,20-AUG-18,15-MAR-17,17
28,2017,28725396,97547958,04-APR-17,N,14,M,On View,Destruction/Damage/Vandalism of Property,Property,Destruction/Damage/Vandalism of Property,A,White,517,7609267,20-AUG-18,04-APR-17,13
29,2017,28725441,97548099,20-JUN-17,N,45,F,On View,Impersonation,Property,Fraud Offenses,A,White,517,7663159,20-AUG-18,20-JUN-17,2
30,2017,28725440,97548099,20-JUN-17,N,45,M,On View,Impersonation,Property,Fraud Offenses,A,White,517,7663159,20-AUG-18,20-JUN-17,2
31,2017,28725470,97548199,09-OCT-17,N,53,F,Taken INTO Custody,Shoplifting,Property,Larceny/Theft Offenses,A,White,517,7848013,20-AUG-18,29-JUL-17,10
32,2017,28725494,97548273,02-OCT-17,N,29,F,On View,Shoplifting,Property,Larceny/Theft Offenses,A,White,517,8005514,20-AUG-18,02-OCT-17,20
33,2017,28725829,97549312,07-JUN-17,N,28,F,On View,Burglary/Breaking & Entering,Property,Burglary/Breaking & Entering,A,White,521,7848085,20-AUG-18,07-JUN-17,12
34,2017,28725832,97549312,07-JUN-17,N,32,M,On View,Burglary/Breaking & Entering,Property,Burglary/Breaking & Entering,A,White,521,7848085,20-AUG-18,07-JUN-17,12
35,2017,28725866,97549412,24-JUN-17,N,13,F,Summoned / Cited,Shoplifting,Property,Larceny/Theft Offenses,A,White,521,7848085,20-AUG-18,24-JUN-17,13
36,2017,28725864,97549412,24-JUN-17,N,11,F,Summoned / Cited,Shoplifting,Property,Larceny/Theft Offenses,A,White,521,7848085,20-AUG-18,24-JUN-17,13
