N,DATA_YEAR,ARRESTEE_ID,INCIDENT_ID,ARREST_DATE,MULTIPLE_INDICATOR,AGE_NUM,SEX_CODE,ARREST_TYPE_NAME,OFFENSE_NAME,CRIME_AGAINST,OFFENSE_CATEGORY_NAME,OFFENSE_GROUP,RACE_DESC,AGENCY_ID,NIBRS_MONTH_ID,SUBMISSION_DATE,INCIDENT_DATE,INCIDENT_HOUR
1,2017,27094843,92585080,06-OCT-17,N,29,F,Summoned / Cited,False Pretenses/Swindle/Confidence Game,Property,Fraud Offenses,A,White,9809,7714620,17-AUG-18,03-OCT-17,20
2,2017,27767483,94812052,09-NOV-17,C,16,M,On View,Stolen Property Offenses,Property,Stolen Property Offenses,A,Black or African American,10161,7716677,20-AUG-18,09-NOV-17,22
3,2017,27767486,94812052,09-NOV-17,C,15,M,On View,Stolen Property Offenses,Property,Stolen Property Offenses,A,Black or African American,10161,7716677,20-AUG-18,09-NOV-17,22
4,2017,27767482,94812052,09-NOV-17,C,16,M,On View,Stolen Property Offenses,Property,Stolen Property Offenses,A,Black or African American,10161,7716677,20-AUG-18,09-NOV-17,22
5,2017,27096059,92590604,14-MAR-17,N,27,M,On View,Theft From Building,Property,Larceny/Theft Offenses,A,White,9963,7495709,17-AUG-18,22-FEB-17,4
6,2017,27096237,92591120,23-SEP-17,N,27,M,On View,Shoplifting,Property,Larceny/Theft Offenses,A,White,9963,7688150,17-AUG-18,23-SEP-17,13
7,2017,27108958,92634808,21-SEP-17,N,19,F,Taken INTO Custody,All Other Larceny,Property,Larceny/Theft Offenses,A,Black or African American,10161,7576189,17-AUG-18,27-MAY-17,10
8,2017,27109486,92636061,11-JUL-17,C,30,M,Summoned / Cited,Destruction/Damage/Vandalism of Property,Property,Destruction/Damage/Vandalism of Property,A,Black or African American,10161,7606864,17-AUG-18,11-JUL-17,19
9,2017,27756457,94780166,17-NOV-17,N,53,M,On View,Shoplifting,Property,Larceny/Theft Offenses,A,Black or African American,9963,7740609,20-AUG-18,17-NOV-17,18
10,2017,27756455,94780166,17-NOV-17,N,50,F,On View,Shoplifting,Property,Larceny/Theft Offenses,A,Black or African American,9963,7740609,20-AUG-18,17-NOV-17,18
11,2017,27756503,94780306,24-NOV-17,N,33,F,On View,Shoplifting,Property,Larceny/Theft Offenses,A,White,9963,7740609,20-AUG-18,24-NOV-17,21
12,2017,27756504,94780306,24-NOV-17,N,30,M,On View,Shoplifting,Property,Larceny/Theft Offenses,A,Black or African American,9963,7740609,20-AUG-18,24-NOV-17,21
13,2017,27756555,94780411,02-DEC-17,N,39,F,On View,Shoplifting,Property,Larceny/Theft Offenses,A,White,9963,7743940,20-AUG-18,02-DEC-17,11
14,2017,27771675,94823502,06-DEC-17,N,24,M,On View,Burglary/Breaking & Entering,Property,Burglary/Breaking & Entering,A,White,10161,7716677,20-AUG-18,30-NOV-17,21
