N,DATA_YEAR,ARRESTEE_ID,INCIDENT_ID,ARREST_DATE,MULTIPLE_INDICATOR,AGE_NUM,SEX_CODE,ARREST_TYPE_NAME,OFFENSE_NAME,CRIME_AGAINST,OFFENSE_CATEGORY_NAME,OFFENSE_GROUP,RACE_DESC,AGENCY_ID,NIBRS_MONTH_ID,SUBMISSION_DATE,INCIDENT_DATE,INCIDENT_HOUR
1,2017,26913149,92042764,07-MAR-17,N,30,F,Summoned / Cited,Shoplifting,Property,Larceny/Theft Offenses,A,White,19793,7684562,17-AUG-18,07-MAR-17,20
2,2017,26913249,92043058,02-APR-17,N,59,M,On View,Shoplifting,Property,Larceny/Theft Offenses,A,White,19793,7684563,17-AUG-18,02-APR-17,12
3,2017,26913248,92043058,02-APR-17,N,45,M,On View,Shoplifting,Property,Larceny/Theft Offenses,A,White,19793,7684563,17-AUG-18,02-APR-17,12
4,2017,26913313,92043245,04-OCT-17,N,38,F,On View,All Other Larceny,Property,Larceny/Theft Offenses,A,Black or African American,19793,7684562,17-AUG-18,30-MAR-17,12
5,2017,26913337,92043352,23-APR-17,N,14,F,Summoned / Cited,Shoplifting,Property,Larceny/Theft Offenses,A,White,19793,7684563,17-AUG-18,23-APR-17,17
6,2017,26913336,92043352,23-APR-17,N,13,F,Summoned / Cited,Shoplifting,Property,Larceny/Theft Offenses,A,Black or African American,19793,7684563,17-AUG-18,23-APR-17,17
7,2017,26914271,92047053,29-AUG-17,N,22,M,Taken INTO Custody,Burglary/Breaking & Entering,Property,Burglary/Breaking & Entering,A,Black or African American,19813,7684589,17-AUG-18,29-AUG-17,6
8,2017,26915010,92048900,13-APR-17,N,17,M,On View,Motor Vehicle Theft,Property,Motor Vehicle Theft,A,White,19866,7684633,17-AUG-18,13-APR-17,1
9,2017,26902960,92010841,08-JUN-17,N,35,F,Summoned / Cited,Shoplifting,Property,Larceny/Theft Offenses,A,White,19638,7684360,17-AUG-18,08-JUN-17,14
10,2017,26909870,92032430,04-JAN-17,N,29,F,On View,All Other Larceny,Property,Larceny/Theft Offenses,A,White,19678,7574028,17-AUG-18,04-JAN-17,15
11,2017,26909869,92032430,04-JAN-17,N,28,M,On View,Shoplifting,Property,Larceny/Theft Offenses,A,White,19678,7574028,17-AUG-18,04-JAN-17,15
12,2017,26885984,91955981,21-JUN-17,N,29,M,Taken INTO Custody,All Other Larceny,Property,Larceny/Theft Offenses,A,White,19711,7681649,17-AUG-18,13-FEB-17,14
13,2017,26886411,91957315,24-FEB-17,N,24,F,On View,All Other Larceny,Property,Larceny/Theft Offenses,A,White,19711,7681649,17-AUG-18,24-FEB-17,16
14,2017,26886608,91957934,01-MAR-17,N,20,M,On View,Theft From Motor Vehicle,Property,Larceny/Theft Offenses,A,White,19711,7681709,17-AUG-18,01-MAR-17,20
15,2017,26886999,91958929,09-MAR-17,N,52,M,On View,Theft From Motor Vehicle,Property,Larceny/Theft Offenses,A,White,19711,7681709,17-AUG-18,09-MAR-17,NA
