"","group_age","American Indian or Alaska Native","Asian","Black or African American","Native Hawaiian or Other Pacific Islander","Unknown","White"
"1","1.5 - 6.5",0,0,3,0,0,0
"2","6.5 - 11.5",0,1,139,0,1,149
"3","11.5 - 16.5",11,91,3940,7,43,4178
"4","16.5 - 21.5",19,203,9217,9,102,9788
"5","21.5 - 26.5",11,114,6331,6,76,8061
"6","26.5 - 31.5",10,96,4300,0,64,8433
"7","31.5 - 36.5",26,88,3163,2,49,7240
"8","36.5 - 41.5",9,67,2226,4,29,5225
"9","41.5 - 46.5",4,49,1687,2,20,3711
"10","46.5 - 51.5",4,47,1690,0,12,2790
"11","51.5 - 56.5",2,48,1414,0,31,2004
"12","56.5 - 61.5",3,15,830,0,8,1151
"13","61.5 - 66.5",0,9,312,0,4,531
"14","66.5 - 71.5",0,10,111,0,1,214
"15","71.5 - 76.5",0,2,21,0,0,94
"16","76.5 - 81.5",0,1,5,0,0,45
"17","81.5 - 86.5",0,1,4,0,0,17
"18","86.5 - 91.5",0,0,1,0,0,6
"19","NA - NA",1,5,122,0,9,188
