"DATA_YEAR.x" "INCIDENT_ID" "PROP_LOSS_NAME" "PROP_LOSS_DESC" "PROPERTY_VALUE" "PROP_DESC_NAME"
"1" 2017 91328264 "None" "None" NA NA
"2" 2017 91328327 "Stolen/Etc" "Stolen/Etc. (includes bribed, defrauded, embezzled, extorted, ransomed, robbed, etc.)" 1129 "Other"
"3" 2017 91328360 "Seized" "Seized (to impound property that was not previously stolen)" 1 "Drug Equipment"
"4" 2017 91328380 "Seized" "Seized (to impound property that was not previously stolen)" NA "Drugs/ Narcotics"
"5" 2017 91328380 "Seized" "Seized (to impound property that was not previously stolen)" 700 "Firearms"
"6" 2017 91328406 "Stolen/Etc" "Stolen/Etc. (includes bribed, defrauded, embezzled, extorted, ransomed, robbed, etc.)" 550 "Other"
"7" 2017 91328497 "Destroyed/Damaged/Vandalized" "Destroyed/Damaged/Vandalized" 400 "Other"
"8" 2017 91328540 "Destroyed/Damaged/Vandalized" "Destroyed/Damaged/Vandalized" 500 "Vehicle Parts"
"9" 2017 91328559 "Seized" "Seized (to impound property that was not previously stolen)" 1 "Drug Equipment"
"10" 2017 91328559 "Seized" "Seized (to impound property that was not previously stolen)" NA "Drugs/ Narcotics"
"11" 2017 91328616 "Destroyed/Damaged/Vandalized" "Destroyed/Damaged/Vandalized" 1000 "Vehicle Parts"
"12" 2017 91328639 "Stolen/Etc" "Stolen/Etc. (includes bribed, defrauded, embezzled, extorted, ransomed, robbed, etc.)" 25000 "Other"
"13" 2017 89448312 "Stolen/Etc" "Stolen/Etc. (includes bribed, defrauded, embezzled, extorted, ransomed, robbed, etc.)" 220 "Other"
"14" 2017 89448398 "None" "None" NA NA
"15" 2017 89448423 "Seized" "Seized (to impound property that was not previously stolen)" NA "Drugs/ Narcotics"
"16" 2017 89448549 "Unknown" "Unknown" NA NA
"17" 2017 89448555 "Stolen/Etc" "Stolen/Etc. (includes bribed, defrauded, embezzled, extorted, ransomed, robbed, etc.)" 180 "Computer Hard/ Software"
"18" 2017 89448565 "Stolen/Etc" "Stolen/Etc. (includes bribed, defrauded, embezzled, extorted, ransomed, robbed, etc.)" 1 "Other"
"19" 2017 90414984 "Seized" "Seized (to impound property that was not previously stolen)" 1 "Drug Equipment"
"20" 2017 90415035 "Stolen/Etc" "Stolen/Etc. (includes bribed, defrauded, embezzled, extorted, ransomed, robbed, etc.)" 700 "Computer Hard/ Software"
"21" 2017 90415055 "Stolen/Etc" "Stolen/Etc. (includes bribed, defrauded, embezzled, extorted, ransomed, robbed, etc.)" 97 "Money"
"22" 2017 90415125 "Destroyed/Damaged/Vandalized" "Destroyed/Damaged/Vandalized" 10000 "Structure/ Single dwelling"
"23" 2017 90415125 "Destroyed/Damaged/Vandalized" "Destroyed/Damaged/Vandalized" 1500 "Automobile"
"24" 2017 90415214 "Counterfeited/Forged" "Counterfeited/Forged" 1900 "Negotiable Instruments"
"25" 2017 90415293 "Stolen/Etc" "Stolen/Etc. (includes bribed, defrauded, embezzled, extorted, ransomed, robbed, etc.)" 1000 "Computer Hard/ Software"
"26" 2017 91328323 "Seized" "Seized (to impound property that was not previously stolen)" NA "Drugs/ Narcotics"
"27" 2017 91328346 "Seized" "Seized (to impound property that was not previously stolen)" 1 "Drug Equipment"
"28" 2017 91328346 "Seized" "Seized (to impound property that was not previously stolen)" NA "Drugs/ Narcotics"
"29" 2017 91328388 "Stolen/Etc" "Stolen/Etc. (includes bribed, defrauded, embezzled, extorted, ransomed, robbed, etc.)" 1 "Other"
"30" 2017 91328388 "Stolen/Etc" "Stolen/Etc. (includes bribed, defrauded, embezzled, extorted, ransomed, robbed, etc.)" 25 "Purse/ Wallet"
"31" 2017 91328388 "Stolen/Etc" "Stolen/Etc. (includes bribed, defrauded, embezzled, extorted, ransomed, robbed, etc.)" 0 "Credit/ Debit cards"
"32" 2017 91328445 "Stolen/Etc" "Stolen/Etc. (includes bribed, defrauded, embezzled, extorted, ransomed, robbed, etc.)" 600 "Other"
"33" 2017 91328495 "Stolen/Etc" "Stolen/Etc. (includes bribed, defrauded, embezzled, extorted, ransomed, robbed, etc.)" 640 "Money"
"34" 2017 91328519 "Seized" "Seized (to impound property that was not previously stolen)" NA "Drugs/ Narcotics"
"35" 2017 91328519 "Seized" "Seized (to impound property that was not previously stolen)" 1 "Drug Equipment"
"36" 2017 91328595 "Stolen/Etc" "Stolen/Etc. (includes bribed, defrauded, embezzled, extorted, ransomed, robbed, etc.)" 500 "Firearms"
"37" 2017 91328617 "Stolen/Etc" "Stolen/Etc. (includes bribed, defrauded, embezzled, extorted, ransomed, robbed, etc.)" 26 "Consumable Goods"
"38" 2017 91328631 "Stolen/Etc" "Stolen/Etc. (includes bribed, defrauded, embezzled, extorted, ransomed, robbed, etc.)" 650 "Other"
"39" 2017 91328631 "Stolen/Etc" "Stolen/Etc. (includes bribed, defrauded, embezzled, extorted, ransomed, robbed, etc.)" 0 "Credit/ Debit cards"
"40" 2017 91328649 "Stolen/Etc" "Stolen/Etc. (includes bribed, defrauded, embezzled, extorted, ransomed, robbed, etc.)" 100 "Money"
"41" 2017 91328649 "Stolen/Etc" "Stolen/Etc. (includes bribed, defrauded, embezzled, extorted, ransomed, robbed, etc.)" 0 "Credit/ Debit cards"
