"DATA_YEAR","ARRESTEE_ID","INCIDENT_ID","ARRESTEE_SEQ_NUM","ARREST_DATE","ARREST_TYPE_ID","MULTIPLE_INDICATOR","OFFENSE_TYPE_ID","AGE_ID","AGE_NUM","SEX_CODE","RACE_ID","ETHNICITY_ID","RESIDENT_CODE","UNDER_18_DISPOSITION_CODE","CLEARANCE_IND","AGE_RANGE_LOW_NUM","AGE_RANGE_HIGH_NUM"
2017,26263849,90114779,1,02-MAY-17,1,"N",40,5,49,"M",1,2,"N","","",49,0
2017,25839968,88884818,1,01-FEB-17,1,"N",51,5,38,"M",2,2,"R","","",38,0
2017,25839990,88884876,2,04-FEB-17,1,"N",16,5,17,"M",1,2,"R","H","",17,0
2017,25839988,88884876,1,04-FEB-17,1,"N",16,5,16,"M",1,2,"R","H","",16,0
2017,25839992,88884880,1,05-FEB-17,3,"N",51,5,22,"F",1,2,"R","","",22,0
2017,25840015,88884936,1,12-FEB-17,1,"N",51,5,28,"M",2,2,"R","","",28,0
2017,25840022,88884946,1,13-FEB-17,1,"N",35,5,42,"M",1,2,"R","","",42,0
2017,25840027,88884958,1,15-FEB-17,1,"N",16,5,39,"M",2,2,"N","","",39,0
2017,25840039,88884997,1,19-FEB-17,1,"N",35,5,18,"M",1,2,"R","","",18,0
2017,25840053,88885037,1,25-FEB-17,1,"N",16,5,18,"M",2,2,"N","","",18,0
2017,25676992,88430780,1,18-JAN-17,3,"N",51,5,29,"M",1,2,"R","","",29,0
2017,25676960,88430667,1,01-JAN-17,1,"N",51,5,16,"M",1,2,"R","R","",16,0
2017,25676963,88430665,1,01-JAN-17,1,"N",28,5,29,"M",1,1,"R","","",29,0
2017,25676971,88430702,1,03-JAN-17,1,"N",16,5,54,"M",1,2,"R","","",54,0
2017,25676974,88430712,1,06-JAN-17,1,"N",51,5,43,"M",1,2,"R","","",43,0
2017,25676977,88430733,1,10-JAN-17,1,"N",16,5,24,"M",1,2,"N","","",24,0
2017,25676986,88430759,1,13-JAN-17,1,"N",35,5,33,"M",1,2,"R","","",33,0
2017,25676990,88430775,1,14-JAN-17,1,"N",16,5,34,"F",1,2,"N","","",34,0
2017,25676996,88430800,1,17-JAN-17,1,"N",16,5,30,"M",1,2,"N","","",30,0
2017,25676997,88430804,1,19-JAN-17,1,"N",16,5,31,"M",2,2,"R","","",31,0
2017,25677001,88430814,1,18-JAN-17,1,"N",16,5,24,"M",1,2,"N","","",24,0
2017,25677002,88430815,1,19-JAN-17,1,"N",16,5,33,"F",1,2,"N","","",33,0
2017,25677003,88430817,1,19-JAN-17,1,"N",11,5,54,"M",1,2,"N","","",54,0
2017,25677007,88430826,1,21-JAN-17,1,"N",16,5,33,"M",2,2,"N","","",33,0
2017,25677009,88430827,1,20-JAN-17,1,"N",16,5,36,"F",1,2,"N","","",36,0
2017,25677011,88430842,1,23-JAN-17,1,"N",27,5,18,"M",1,3,"R","","",18,0
2017,25677016,88430864,2,26-JAN-17,3,"N",23,5,17,"F",1,2,"N","R","",17,0
2017,26027386,89448296,1,02-MAR-17,1,"N",35,5,36,"M",1,2,"N","","",36,0
2017,26027448,89448478,1,08-MAR-17,1,"N",2,5,43,"F",1,2,"N","","",43,0
2017,26027461,89448521,1,09-MAR-17,1,"N",16,5,17,"F",2,2,"N","H","",17,0
2017,26027507,89448642,1,16-MAR-17,1,"N",16,5,29,"M",2,2,"R","","",29,0
2017,26027521,89448676,1,20-MAR-17,1,"N",16,5,18,"M",2,3,"R","","",18,0
2017,25677015,88430864,1,26-JAN-17,3,"N",23,5,18,"F",1,2,"N","","",18,0
2017,25677019,88430879,1,27-JAN-17,1,"N",16,5,18,"M",2,3,"R","","",18,0
2017,25677021,88430887,1,30-JAN-17,1,"N",16,5,19,"M",2,2,"N","","",19,0
2017,25677023,88430898,1,31-JAN-17,1,"N",16,5,27,"M",2,2,"N","","",27,0
2017,25676975,88430721,1,08-JAN-17,1,"N",40,5,31,"M",1,2,"N","","",31,0
2017,25676983,88430757,2,12-JAN-17,1,"N",16,5,24,"F",1,2,"N","","",24,0
2017,25676982,88430757,1,12-JAN-17,1,"N",16,5,28,"M",2,2,"R","","",28,0
2017,25677008,88430825,1,21-JAN-17,1,"N",2,5,42,"F",2,2,"N","","",42,0
2017,25677020,88430882,1,29-JAN-17,1,"N",16,5,19,"M",2,2,"R","","",19,0
2017,25676993,88430790,1,17-JAN-17,1,"N",16,5,19,"M",1,2,"N","","",19,0
2017,25676989,88430769,1,14-JAN-17,1,"N",16,5,19,"F",2,2,"N","","",19,0
2017,27999505,95483222,1,06-JAN-18,3,"N",51,5,30,"M",1,2,"R","","",30,0
2017,25676964,88430668,1,01-JAN-17,1,"N",35,5,18,"M",1,2,"N","","",18,0
2017,25677018,88430871,1,27-JAN-17,1,"N",16,5,41,"M",1,2,"N","","",41,0
2017,25676973,88430711,1,04-JAN-17,1,"N",35,5,25,"M",1,2,"N","","",25,0
2017,25676979,88430741,1,25-JAN-17,3,"N",56,5,52,"M",2,2,"N","","",52,0
2017,25677013,88430856,1,24-JAN-17,1,"N",16,5,24,"M",2,2,"N","","",24,0
2017,25676961,88430664,1,01-JAN-17,1,"N",51,5,36,"M",2,2,"N","","",36,0
