"DATA_YEAR","SUSPECTED_DRUG_TYPE_ID","PROPERTY_ID","EST_DRUG_QTY","DRUG_MEASURE_TYPE_ID","NIBRS_SUSPECTED_DRUG_ID"
2017,5,95330347,1,11,7809951
2017,5,95330425,1,11,7809984
2017,16,95330425,1,11,7809986
2017,5,97733139,1,11,8166005
2017,5,97074410,1,11,8069633
2017,16,97074690,1,11,8069704
2017,5,95330126,1,11,7809915
2017,4,95330299,1,11,7809939
2017,16,94819091,1,11,7736828
2017,16,94819130,1,11,7736839
2017,5,94819130,1,11,7736840
2017,16,94819150,1,11,7736846
2017,5,96637192,1,11,8002871
2017,4,96637211,1,11,8002876
2017,5,96637257,1,11,8002890
2017,4,96637278,1,11,8002896
2017,16,96637295,1,11,8002898
2017,16,96637309,1,11,8002902
2017,5,96637315,1,11,8002904
2017,16,96637337,1,11,8002907
2017,16,96637388,1,11,8002916
2017,16,96637424,1,11,8002919
2017,5,105819777,1,11,9513458
2017,16,100159211,1,11,8509139
2017,4,100159297,1,11,8509160
2017,16,100159331,1,11,8509168
2017,5,100159374,1,11,8509183
2017,5,100159347,1,11,8509171
2017,5,100159334,1,11,8509169
2017,12,100159220,1,11,8509142
2017,5,100159432,1,11,8509195
2017,5,100159223,1,11,8509141
2017,5,100159242,1,11,8509149
2017,5,100159474,1,11,8509206
2017,16,100159230,1,11,8509145
2017,2,100159230,1,11,8509144
2017,16,100159385,1,11,8509187
2017,5,100159302,1,11,8509163
2017,4,100159291,1,11,8509159
2017,12,100159368,1,11,8509178
2017,5,100159430,1,11,8509194
2017,5,100159282,1,11,8509157
2017,16,100159398,1,11,8509191
2017,5,100159462,1,11,8509200
2017,5,100159239,1,11,8509150
2017,16,100159350,1,11,8509172
2017,12,100159363,1,11,8509176
2017,5,100159235,1,11,8509148
2017,16,96240068,1,11,7944743
2017,5,95707495,1,11,7868981
2017,4,95707583,1,11,7869012
2017,5,96239897,1,11,7944702
2017,5,96239907,1,11,7944703
2017,16,96239964,1,9,7944717
2017,5,96239964,1,11,7944718
2017,16,96239971,1,11,7944719
2017,5,96240023,1,11,7944731
2017,5,96240027,1,11,7944732
2017,16,96240073,1,11,7944746
2017,4,96240087,1,11,7944751
2017,16,96240096,1,11,7944755
2017,16,95956594,1,11,7905051
2017,16,97732991,1,11,8165964
2017,16,97733113,1,11,8165996
2017,16,97733167,4,9,8166012
2017,5,97733201,1,11,8166020
2017,16,96637225,1,11,8002880
2017,4,96637267,1,11,8002893
2017,12,96637267,1,11,8002894
2017,5,95707392,1,11,7868961
2017,16,95707502,1,11,7868985
2017,5,95707553,1,11,7869000
2017,16,95707571,1,11,7869006
2017,5,95956519,1,11,7905032
2017,5,95956548,1,11,7905040
2017,5,96239947,1,11,7944711
2017,5,96240033,1,11,7944734
2017,16,95956422,1,11,7905005
2017,4,95956422,1,11,7905006
2017,5,95956567,1,11,7905046
2017,5,95330407,1,11,7809978
2017,5,96239865,1,11,7944697
2017,16,96239956,1,11,7944714
2017,5,96240016,1,11,7944728
2017,16,96240057,1,11,7944740
2017,5,95330323,1,11,7809947
2017,5,95330377,1,11,7809965
2017,16,95330399,1,11,7809975
2017,16,95956412,22,9,7905001
2017,5,95956565,1,11,7905045
2017,5,95956708,1,11,7905071
2017,5,97733098,1,11,8165989
2017,16,97733108,1,11,8165993
2017,16,96637231,1,11,8002882
2017,16,94819004,1,11,7736809
2017,5,94819033,1,11,7736815
2017,5,94819042,1,11,7736818
2017,16,94819042,1,11,7736819
2017,5,94819156,1,11,7736851
2017,5,94819155,1,11,7736850
2017,5,97074515,1,11,8069671
2017,16,94819103,2,9,7736833
2017,5,94819158,1,11,7736852
2017,5,96239930,1,11,7944706
2017,16,96240014,1,11,7944727
2017,16,96240088,1,11,7944752
2017,16,96637432,1,11,8002921
2017,16,96637241,3,9,8002887
2017,5,96637256,1,11,8002889
2017,5,96637263,1,11,8002891
2017,4,96637299,1,11,8002899
2017,5,96637428,1,11,8002920
2017,5,95707440,1,11,7868970
2017,16,95707462,1,11,7868976
2017,5,95707484,1,11,7868980
2017,5,95956490,1,11,7905018
2017,16,95956651,1,11,7905062
2017,5,97074628,1,11,8069687
2017,5,98561183,1,11,8288528
2017,16,98192143,1,11,8236477
2017,5,98192143,1,11,8236478
2017,2,98192186,1,11,8236487
2017,16,98192186,1,11,8236486
2017,5,98192203,1,11,8236491
2017,5,98192255,1,11,8236508
2017,5,98192273,1,11,8236514
2017,5,98561136,1,11,8288517
2017,5,98561171,1,11,8288521
2017,16,98561171,1,11,8288522
2017,5,97074516,1,11,8069672
2017,5,97074702,1,11,8069707
2017,16,98192137,1,11,8236474
2017,16,98192145,1,11,8236479
2017,5,97074504,1,11,8069670
2017,5,97074642,1,11,8069691
