"DATA_YEAR","VICTIM_ID","OFFENDER_ID","RELATIONSHIP_ID","NIBRS_VICTIM_OFFENDER_ID"
2017,97704421,100810735,21,29453004
2017,97704447,100810761,3,29453016
2017,97704624,100810924,3,29453048
2017,97704861,100811163,14,29453108
2017,97704986,100811297,3,29453130
2017,100670190,103813709,18,30356142
2017,98166989,101280848,21,29592300
2017,98166995,101280853,3,29592302
2017,98167098,101280957,3,29592327
2017,98167213,101281079,26,29592361
2017,97063084,100158349,24,29251829
2017,97063174,100158443,1,29251867
2017,100670297,103813817,21,30356169
2017,100670078,103813583,24,30356106
2017,101242982,104398437,21,30539984
2017,101243004,104398460,25,30539993
2017,101243004,104398458,3,30539992
2017,101243006,104398458,25,30539994
2017,101243006,104398460,3,30539995
2017,101243023,104398483,3,30540002
2017,101243027,104398488,3,30540005
2017,101243042,104398499,1,30540014
2017,101243045,104398498,3,30540016
2017,101243053,104398508,24,30540020
2017,101243056,104398516,1,30540021
2017,101243072,104398528,3,30540027
2017,101243074,104398531,26,30540028
2017,101243085,104398545,1,30540031
2017,97704428,100810741,3,29453007
2017,100670246,103813766,3,30356158
2017,100670329,103813852,3,30356179
2017,97704469,100810778,21,29453020
2017,97704521,100810839,24,29453033
2017,97704704,100811001,24,29453070
2017,97704758,100811058,3,29453078
2017,97704820,100811117,1,29453095
2017,97704818,100811117,1,29453093
2017,97704955,100811251,3,29453126
2017,100670363,103813887,3,30356188
2017,100670407,103813930,3,30356199
2017,100670452,103813987,1,30356224
2017,100670361,103813889,9,30356187
2017,100670398,103813921,19,30356196
2017,100670439,103813966,24,30356216
2017,100670439,103813965,24,30356215
2017,99304710,102426025,1,29935600
2017,99304932,102426263,3,29935690
2017,99851825,102979479,21,30107732
2017,97704757,100811057,21,29453077
2017,97704954,100811254,1,29453125
2017,97704648,100810949,24,29453055
2017,97704734,100811032,24,29453074
2017,97704814,100811113,3,29453092
2017,98463825,101578514,21,29673292
2017,98463939,101578636,21,29673330
2017,98464110,101578807,24,29673386
2017,99304729,102426041,1,29935607
2017,99304805,102426128,17,29935642
2017,99851598,102979266,24,30107682
2017,99304955,102426294,24,29935696
2017,98463853,101578543,3,29673298
2017,98464153,101578846,3,29673398
2017,98463807,101578495,24,29673289
2017,98464109,101578811,3,29673387
2017,98167006,101280865,24,29592303
2017,99304907,102426235,1,29935680
2017,100670102,103813607,5,30356116
2017,100670200,103813716,24,30356145
2017,100670458,103813998,25,30356228
2017,100670458,103813997,26,30356227
2017,100670461,103813998,26,30356231
2017,100670461,103813997,25,30356229
2017,99304708,102426022,1,29935599
2017,99304708,102426018,1,29935597
2017,99304760,102426083,8,29935620
2017,99305053,102426327,1,29935719
2017,99305074,102426345,12,29935726
2017,99305071,102426343,12,29935722
2017,99305071,102426345,25,29935723
2017,99305074,102426343,25,29935725
2017,99851682,102979337,24,30107701
2017,99851740,102979398,3,30107714
2017,104542482,107758584,21,31568522
2017,99304781,102426108,21,29935632
2017,99304843,102426172,1,29935650
2017,99304868,102426191,24,29935662
2017,99304868,102426185,24,29935660
2017,99304868,102426193,24,29935663
2017,99304868,102426188,24,29935661
2017,99304915,102426245,21,29935684
2017,98463784,101578468,3,29673277
2017,98463872,101578563,9,29673309
2017,98463950,101578649,3,29673333
2017,98464086,101578783,24,29673372
2017,98464150,101578840,1,29673394
2017,98464152,101578840,25,29673396
2017,98464150,101578841,25,29673395
2017,98464152,101578841,1,29673397
2017,98463774,101578462,5,29673272
2017,98463842,101578535,1,29673295
2017,98464015,101578704,24,29673340
2017,98464015,101578705,24,29673341
2017,98464061,101578753,19,29673355
2017,98166887,101280740,6,29592271
2017,98166954,101280819,3,29592290
2017,98167276,101281146,24,29592374
2017,98167276,101281148,24,29592375
2017,98167131,101280996,24,29592334
2017,98167179,101281042,3,29592357
2017,98809901,101925785,21,29779422
2017,98809946,101925834,24,29779432
2017,98809994,101925887,3,29779452
2017,98810035,101925928,24,29779461
2017,98166909,101280765,1,29592282
2017,98166962,101280818,3,29592293
2017,98167089,101280946,9,29592324
2017,98167221,101281088,1,29592362
2017,98167283,101281157,3,29592378
2017,100670072,103813575,1,30356105
2017,100670191,103813711,1,30356144
2017,100670224,103813739,24,30356150
2017,99304749,102426067,21,29935615
2017,99304847,102426154,24,29935652
2017,99304847,102426153,24,29935648
2017,99304847,102426152,24,29935647
2017,99304903,102426230,21,29935678
2017,99304937,102426271,12,29935692
2017,99304921,102426251,1,29935686
2017,99305057,102426328,3,29935721
2017,99304711,102426008,5,29935601
2017,99304871,102426199,3,29935665
2017,99304962,102426296,24,29935701
2017,98809740,101925626,24,29779378
2017,98809838,101925713,3,29779404
2017,98809884,101925765,5,29779417
2017,98809898,101925778,3,29779421
2017,99304706,102426024,24,29935598
2017,99304900,102426227,21,29935676
2017,99304724,102426034,3,29935604
2017,99851466,102979117,5,30107641
2017,99851559,102979219,1,30107670
2017,99851627,102979288,10,30107694
