"DATA_YEAR","AGENCY_ID","INCIDENT_ID","NIBRS_MONTH_ID","CARGO_THEFT_FLAG","SUBMISSION_DATE","INCIDENT_DATE","REPORT_DATE_FLAG","INCIDENT_HOUR","CLEARED_EXCEPT_ID","CLEARED_EXCEPT_DATE","INCIDENT_STATUS","DATA_HOME","ORIG_FORMAT","DID"
2017,61,91328323,7657598,"",17-AUG-18,03-AUG-17,"",20,6,,0,"C","F",8473409
2017,61,91328346,7657598,"",17-AUG-18,04-AUG-17,"",20,6,,0,"C","F",8473442
2017,61,91328367,7657598,"",17-AUG-18,07-AUG-17,"",7,6,,0,"C","F",8473475
2017,61,91328388,7657598,"",17-AUG-18,05-AUG-17,"",16,6,,0,"C","F",8473507
2017,61,91328445,7657598,"",17-AUG-18,12-AUG-17,"",20,6,,0,"C","F",8473592
2017,61,91328495,7657598,"",17-AUG-18,16-AUG-17,"R",,6,,0,"C","F",8473649
2017,61,91328303,7629964,"",17-AUG-18,15-JUL-17,"",12,3,09-AUG-17,0,"C","F",8473396
2017,61,91328286,7605006,"",17-AUG-18,28-JUN-17,"",19,4,31-AUG-17,0,"C","F",8473385
2017,61,91328411,7657598,"",17-AUG-18,10-AUG-17,"R",,6,,0,"C","F",8473543
2017,61,91328593,7657598,"",17-AUG-18,22-AUG-17,"",22,6,,0,"C","F",8473777
2017,61,91328605,7657598,"",17-AUG-18,23-AUG-17,"",21,6,,0,"C","F",8473797
2017,61,89448434,7550698,"",17-AUG-18,03-MAR-17,"",13,6,,0,"C","F",4692695
2017,61,89448439,7550698,"",17-AUG-18,06-MAR-17,"",15,6,,0,"C","F",4692701
2017,61,89448296,7550698,"",17-AUG-18,02-MAR-17,"",15,6,,0,"C","F",4692469
2017,61,89448303,7550698,"",17-AUG-18,02-MAR-17,"",19,6,,0,"C","F",4692474
2017,61,89448309,7550698,"",17-AUG-18,01-MAR-17,"",7,6,,0,"C","F",4692473
2017,61,89448478,7550698,"",17-AUG-18,08-MAR-17,"",16,6,,0,"C","F",4692757
2017,61,92050571,7686838,"",17-AUG-18,01-SEP-17,"",2,6,,0,"C","F",9671485
