"DATA_YEAR","NIBRS_MONTH_ID","AGENCY_ID","MONTH_NUM","DATA_YEAR","REPORTED_STATUS","REPORT_DATE","UPDATE_FLAG","ORIG_FORMAT","DATA_HOME","DDOCNAME","DID","MONTH_PUB_STATUS"
2017,7492636,61,1,2017,"I",01-JAN-01,"Y","F","C","2017_01_AL0011200_NIBRS",16679375,0
2017,7522221,61,2,2017,"I",01-FEB-02,"Y","F","C","2017_02_AL0011200_NIBRS",6702790,0
2017,7550698,61,3,2017,"I",01-MAR-03,"Y","F","C","2017_03_AL0011200_NIBRS",20660330,0
2017,7573648,61,4,2017,"I",01-APR-04,"Y","F","C","2017_04_AL0011200_NIBRS",26991371,0
2017,7588245,61,5,2017,"I",01-MAY-05,"Y","F","C","2017_05_AL0011200_NIBRS",27711436,0
2017,7605006,61,6,2017,"I",01-JUN-06,"Y","F","C","2017_06_AL0011200_NIBRS",20660324,0
2017,7629964,61,7,2017,"I",01-JUL-07,"Y","F","C","2017_07_AL0011200_NIBRS",27711430,0
2017,7657598,61,8,2017,"I",01-AUG-08,"Y","F","C","2017_08_AL0011200_NIBRS",27711431,0
2017,7686838,61,9,2017,"I",01-SEP-09,"Y","F","C","2017_09_AL0011200_NIBRS",27711440,0
2017,7713473,61,10,2017,"I",01-OCT-10,"Y","F","C","2017_10_AL0011200_NIBRS",26991373,0
2017,7739502,61,11,2017,"I",01-NOV-11,"Y","F","C","2017_11_AL0011200_NIBRS",27711438,0
2017,7829046,61,12,2017,"I",01-DEC-12,"Y","F","C","2017_12_AL0011200_NIBRS",27711439,0
