"DATA_YEAR","NIBRS_MONTH_ID","AGENCY_ID","MONTH_NUM","DATA_YEAR","REPORTED_STATUS","REPORT_DATE","UPDATE_FLAG","ORIG_FORMAT","DATA_HOME","DDOCNAME","DID","MONTH_PUB_STATUS"
2017,7515680,769,1,2017,"I",01-JAN-01,"Y","F","C","2017_01_AR0720000_NIBRS",18870318,0
2017,7530156,769,2,2017,"I",01-FEB-02,"Y","F","C","2017_02_AR0720000_NIBRS",21572284,0
2017,7552618,769,3,2017,"I",01-MAR-03,"Y","F","C","2017_03_AR0720000_NIBRS",21572354,0
2017,7596327,769,4,2017,"I",01-APR-04,"Y","F","C","2017_04_AR0720000_NIBRS",22362806,0
2017,7611710,769,5,2017,"I",01-MAY-05,"Y","F","C","2017_05_AR0720000_NIBRS",21572739,0
2017,7667766,769,6,2017,"I",01-JUN-06,"Y","F","C","2017_06_AR0720000_NIBRS",24354481,0
2017,7688770,769,7,2017,"I",01-JUL-07,"Y","F","C","2017_07_AR0720000_NIBRS",24356514,0
2017,7851321,769,8,2017,"I",01-AUG-08,"Y","F","C","2017_08_AR0720000_NIBRS",27639481,0
2017,7881000,769,9,2017,"I",01-SEP-09,"Y","F","C","2017_09_AR0720000_NIBRS",27635347,0
2017,7925678,769,10,2017,"I",01-OCT-10,"Y","F","C","2017_10_AR0720000_NIBRS",27641653,0
2017,7956170,769,11,2017,"I",01-NOV-11,"Y","F","C","2017_11_AR0720000_NIBRS",27635362,0
2017,7975958,769,12,2017,"I",01-DEC-12,"Y","F","C","2017_12_AR0720000_NIBRS",27639506,0
2017,7593296,571,1,2017,"I",01-JAN-01,"Y","F","C","2017_01_AR0170100_NIBRS",22277255,0
2017,7593297,571,2,2017,"I",01-FEB-02,"Y","F","C","2017_02_AR0170100_NIBRS",24257522,0
2017,7609387,571,3,2017,"I",01-MAR-03,"Y","F","C","2017_03_AR0170100_NIBRS",22278706,0
2017,7609389,571,4,2017,"I",01-APR-04,"Y","F","C","2017_04_AR0170100_NIBRS",24261950,0
2017,7666323,571,5,2017,"I",01-MAY-05,"Y","F","C","2017_05_AR0170100_NIBRS",24257326,0
2017,7666325,571,6,2017,"I",01-JUN-06,"Y","F","C","2017_06_AR0170100_NIBRS",22277970,0
2017,7688262,571,7,2017,"I",01-JUL-07,"Y","F","C","2017_07_AR0170100_NIBRS",24261901,0
2017,7848259,571,8,2017,"I",01-AUG-08,"Y","F","C","2017_08_AR0170100_NIBRS",27612527,0
