"DATA_YEAR","ARRESTEE_ID","INCIDENT_ID","ARRESTEE_SEQ_NUM","ARREST_DATE","ARREST_TYPE_ID","MULTIPLE_INDICATOR","OFFENSE_TYPE_ID","AGE_ID","AGE_NUM","SEX_CODE","RACE_ID","ETHNICITY_ID","RESIDENT_CODE","UNDER_18_DISPOSITION_CODE","CLEARANCE_IND","AGE_RANGE_LOW_NUM","AGE_RANGE_HIGH_NUM"
2017,27094843,92585080,1,06-OCT-17,2,"N",2,5,29,"F",1,2,"","","",29,0
2017,27752151,94770384,1,02-DEC-17,1,"C",39,5,26,"M",1,2,"","","",26,0
2017,27752620,94771404,1,18-NOV-17,1,"C",51,5,15,"M",2,2,"","R","",15,0
2017,27753255,94772843,1,04-DEC-17,2,"N",35,5,28,"F",1,2,"","","",28,0
2017,27753747,94773989,1,24-DEC-17,3,"N",51,5,45,"M",2,2,"","","",45,0
2017,27767483,94812052,2,09-NOV-17,1,"C",28,5,16,"M",2,2,"","R","",16,0
2017,27767486,94812052,3,09-NOV-17,1,"C",28,5,15,"M",2,2,"","R","",15,0
2017,27767482,94812052,1,09-NOV-17,1,"C",28,5,16,"M",2,2,"","R","",16,0
2017,27770222,94819194,1,26-NOV-17,1,"N",51,5,55,"M",1,2,"","","",55,0
2017,27095242,92586417,1,15-SEP-17,3,"N",35,5,36,"M",1,2,"","","",36,0
2017,27095595,92588103,1,22-OCT-17,2,"N",35,5,17,"M",1,2,"","H","",17,0
2017,27095687,92588642,1,31-OCT-17,3,"N",51,5,22,"F",1,2,"","","",22,0
2017,27095866,92589445,1,15-AUG-17,3,"N",16,5,29,"F",1,2,"","","",29,0
2017,27096059,92590604,2,14-MAR-17,1,"N",47,5,27,"M",1,2,"","","",27,0
2017,27096237,92591120,1,23-SEP-17,1,"N",23,5,27,"M",1,2,"","","",27,0
2017,27107267,92629690,1,19-JAN-17,2,"C",51,5,56,"M",2,2,"","","",56,0
2017,27107691,92630952,1,01-MAR-17,1,"C",27,5,40,"M",1,2,"","","",40,0
2017,27107967,92631780,1,24-JUL-17,3,"N",16,5,21,"M",2,2,"","","",21,0
2017,27108133,92632301,1,18-APR-17,3,"N",51,5,24,"M",2,2,"","","",24,0
2017,27108958,92634808,1,21-SEP-17,3,"N",45,5,19,"F",2,2,"","","",19,0
2017,27109207,92635175,1,04-JUN-17,1,"C",51,5,20,"M",1,2,"","","",20,0
2017,27109318,92635445,1,03-OCT-17,3,"N",51,5,18,"M",1,2,"","","",18,0
2017,27109343,92635523,1,25-SEP-17,3,"N",56,5,39,"M",1,3,"","","",39,0
2017,27109486,92636061,1,11-JUL-17,2,"C",5,5,30,"M",2,2,"","","",30,0
2017,27756457,94780166,2,17-NOV-17,1,"N",23,5,53,"M",2,2,"","","",53,0
2017,27756455,94780166,1,17-NOV-17,1,"N",23,5,50,"F",2,2,"","","",50,0
2017,27756503,94780306,1,24-NOV-17,1,"N",23,5,33,"F",1,2,"","","",33,0
2017,27756504,94780306,2,24-NOV-17,1,"N",23,5,30,"M",2,2,"","","",30,0
2017,27756555,94780411,1,02-DEC-17,1,"N",23,5,39,"F",1,2,"","","",39,0
2017,27771675,94823502,1,06-DEC-17,1,"N",49,5,24,"M",1,2,"","","",24,0
2017,27771810,94823934,1,02-DEC-17,2,"C",51,5,25,"M",2,2,"","","",25,0
2017,27771973,94824569,1,05-DEC-17,1,"C",51,5,15,"M",2,2,"","R","",15,0
2017,27771984,94824642,1,05-DEC-17,2,"C",45,5,47,"F",1,2,"","","",47,0
2017,27772670,94827180,1,16-DEC-17,2,"C",45,5,53,"F",2,2,"","","",53,0
2017,27772701,94827348,1,17-DEC-17,3,"C",23,5,25,"M",2,3,"","","",25,0
2017,27112019,92644989,1,29-SEP-17,2,"C",51,5,28,"M",1,1,"","","",28,0
2017,27112096,92645134,1,29-SEP-17,2,"N",45,5,25,"F",1,2,"","","",25,0
2017,27112124,92645257,1,29-SEP-17,2,"N",45,5,17,"F",1,1,"","H","",17,0
2017,27112126,92645257,3,29-SEP-17,1,"N",45,5,12,"F",1,1,"","R","",12,0
2017,27112125,92645257,2,29-SEP-17,2,"N",45,5,17,"F",1,1,"","H","",17,0
2017,27112476,92646468,1,01-OCT-17,1,"N",51,5,28,"M",1,2,"","","",28,0
2017,27112651,92647431,1,03-OCT-17,1,"N",51,5,14,"M",1,1,"","R","",14,0
2017,27113008,92649026,1,07-OCT-17,3,"C",45,5,17,"M",1,2,"","H","",17,0
2017,27113009,92649026,2,07-OCT-17,1,"N",45,5,16,"M",2,2,"","R","",16,0
2017,27756635,94780618,1,12-DEC-17,1,"N",23,5,19,"M",2,2,"","","",19,0
2017,27756664,94780680,1,16-DEC-17,1,"N",2,5,26,"M",1,2,"","","",26,0
2017,27763513,94800967,1,13-NOV-17,3,"N",40,5,44,"M",2,2,"","","",44,0
2017,27764896,94805279,1,02-SEP-17,1,"N",51,5,34,"M",2,2,"","","",34,0
2017,27764897,94805287,1,02-SEP-17,2,"N",51,5,31,"M",1,1,"","","",31,0
2017,27765085,94805700,1,10-SEP-17,2,"N",27,5,30,"M",1,1,"","","",30,0
2017,27765178,94806008,1,10-SEP-17,1,"N",27,5,22,"M",2,2,"","","",22,0
2017,27766398,94809371,1,15-OCT-17,2,"N",45,5,34,"M",1,2,"","","",34,0
2017,27094176,92582942,1,22-OCT-17,3,"N",51,5,24,"M",1,2,"","","",24,0
2017,27094260,92583251,1,30-OCT-17,3,"C",32,5,21,"M",1,3,"","","",21,0
2017,27094657,92584528,1,11-OCT-17,2,"N",45,5,32,"M",1,3,"","","",32,0
2017,27094702,92584639,1,19-OCT-17,3,"N",49,5,16,"M",1,2,"","R","",16,0
2017,27094705,92584639,2,19-OCT-17,3,"N",49,5,16,"M",1,2,"","R","",16,0
2017,27095285,92586602,1,23-SEP-17,3,"N",35,5,47,"M",1,2,"","","",47,0
2017,27095354,92586926,1,01-OCT-17,3,"N",35,5,44,"M",1,2,"","","",44,0
2017,27095361,92586965,1,02-OCT-17,3,"N",5,5,49,"F",2,2,"","","",49,0
2017,27095367,92587007,1,02-OCT-17,3,"N",45,5,53,"M",1,2,"","","",53,0
2017,27095390,92587075,2,03-OCT-17,3,"N",35,5,55,"M",2,2,"","","",55,0
