"DATA_YEAR","OFFENDER_ID","INCIDENT_ID","OFFENDER_SEQ_NUM","AGE_ID","AGE_NUM","SEX_CODE","RACE_ID","ETHNICITY_ID","AGE_RANGE_LOW_NUM","AGE_RANGE_HIGH_NUM"
2017,106937855,94768684,1,5,25,"M",1,2,25,0
2017,106937892,94768708,1,5,44,"M",1,2,44,0
2017,106938006,94768806,0,,,"",,,,
2017,106938276,94769034,0,,,"",,,,
2017,106938812,94769510,1,5,22,"F",1,2,22,0
2017,106938858,94769541,1,5,47,"M",1,2,47,0
2017,106938926,94769596,1,5,23,"M",1,2,23,0
2017,106938955,94769634,0,,,"",,,,
2017,106939043,94769718,1,5,19,"F",1,1,19,0
2017,106939315,94769946,1,5,35,"M",1,3,35,0
2017,106939463,94770070,1,5,34,"F",1,2,34,0
2017,106939726,94770291,1,4,,"U",0,2,,
2017,106939733,94770291,3,5,23,"M",1,2,23,0
2017,106939729,94770291,2,5,31,"M",1,2,31,0
2017,106940444,94770854,1,5,42,"M",1,2,42,0
2017,106940774,94771104,0,,,"",,,,
2017,106941214,94771439,1,5,56,"M",1,1,56,0
2017,106942144,94772212,0,,,"",,,,
2017,106942259,94772311,0,,,"",,,,
2017,106942705,94772683,0,,,"",,,,
2017,106937904,94768724,1,5,45,"M",1,2,45,0
2017,106937981,94768789,0,,,"",,,,
2017,106938199,94768979,1,5,33,"F",4,2,33,0
2017,106938234,94769001,0,,,"",,,,
2017,106938289,94769037,1,5,31,"M",1,2,31,0
2017,106938407,94769167,1,5,38,"F",1,2,38,0
2017,106938409,94769167,2,5,35,"M",1,2,35,0
2017,106938469,94769200,1,5,16,"M",1,2,16,0
2017,106938517,94769238,1,5,21,"M",1,2,21,0
2017,106938578,94769301,1,5,35,"M",1,2,35,0
2017,106938580,94769301,2,5,28,"F",1,2,28,0
2017,106938666,94769372,1,4,,"U",0,3,,
2017,106938940,94769620,2,5,35,"F",1,2,35,0
2017,106938938,94769620,1,5,35,"M",1,2,35,0
2017,106939037,94769708,1,5,17,"F",1,2,17,0
2017,106939340,94769964,1,5,45,"M",1,2,45,0
2017,106939467,94770069,2,5,51,"F",0,3,51,0
2017,106939462,94770069,1,5,54,"M",1,3,54,0
2017,106939605,94770175,1,4,,"U",0,3,,
2017,106939680,94770256,1,5,46,"M",1,2,46,0
2017,106939779,94770320,1,4,,"U",0,3,,
2017,106939809,94770351,1,5,31,"M",1,2,31,0
2017,106939815,94770351,2,5,22,"F",1,2,22,0
2017,106940480,94770868,1,5,45,"M",1,2,45,0
2017,106940750,94771088,0,,,"",,,,
2017,106940846,94771165,0,,,"",,,,
