"DATA_YEAR","PROPERTY_ID","PROP_DESC_ID","PROPERTY_VALUE","DATE_RECOVERED","NIBRS_PROP_DESC_ID"
2017,101455526,38,15,,107799816
2017,101489381,10,,,107841375
2017,101489566,10,,,107841598
2017,101489943,59,50,,107842091
2017,101489959,51,0,,107842106
2017,101489959,25,100,,107842103
2017,101489959,52,0,,107842111
2017,101489959,20,100,,107842100
2017,101489992,35,400,,107842154
2017,101490114,13,1,,107842326
2017,101490245,36,200,,107842469
2017,101490300,20,600,,107842530
2017,101490320,36,1180,,107842557
2017,101490320,38,25,,107842559
2017,101490345,63,115,,107842585
2017,101490383,63,100,,107842629
2017,101490433,26,12,,107842683
2017,101490433,8,10,,107842696
2017,101490433,63,12,,107842690
2017,101490440,26,12,18-DEC-17,107842706
2017,101490440,63,12,18-DEC-17,107842711
2017,101490440,8,1,18-DEC-17,107842712
2017,101490520,3,1,22-DEC-17,107842815
2017,101490518,63,1,,107842813
2017,101490518,3,1,,107842807
2017,101490546,62,1,,107842840
2017,101490588,7,600,,107842886
2017,101490609,25,50,,107842908
2017,101490609,63,1,,107842913
2017,101490609,51,0,,107842916
2017,101490661,64,1,,107842977
2017,101490680,63,226,,107843001
2017,101490682,63,226,19-DEC-17,107843003
2017,101490720,63,100,,107843046
2017,101490874,20,20,,107843214
2017,101490912,8,177,,107843261
2017,101490912,20,3000,,107843248
2017,101490912,6,400,,107843243
2017,101490912,25,508,,107843258
2017,101490912,63,3447,,107843260
2017,101490946,63,150,,107843299
2017,101490978,62,850,,107843335
2017,101490978,63,1152,,107843330
2017,101490978,36,1018,,107843319
2017,101491139,64,5000,,107843517
2017,101491340,37,1000,,107843735
2017,101491366,15,12000,,107843781
2017,101491495,3,1,,107843935
2017,101491584,63,700,,107844055
2017,101491624,22,0,,107844097
2017,101491624,20,1800,,107844093
2017,101492062,3,1,,107844649
2017,101492369,3,10000,,107845032
2017,101492369,9,0,,107845034
2017,101492442,3,1,,107845113
2017,101492915,3,5000,25-DEC-17,107845705
2017,101492906,3,5000,,107845698
2017,101493956,3,1,,107846969
2017,101493956,37,1,,107846979
2017,101494117,13,1,,107847166
2017,101494117,20,100,,107847164
2017,101494787,31,1,,107848072
2017,101494844,3,200,,107848141
2017,101494973,3,1,,107848285
2017,101495002,61,800,,107848310
2017,101495181,63,4000,,107848541
2017,101495329,3,2,,107848729
2017,101495574,38,550,,107849023
2017,101495642,3,1,29-DEC-17,107849116
2017,101495636,3,1,,107849113
2017,101495678,3,1,,107849158
2017,101495781,13,100,,107849286
2017,101495820,63,2,,107849320
2017,101495856,20,154,,107849402
2017,101495936,13,1200,,107849494
2017,101496064,36,1,,107849646
2017,101496065,37,1000,04-JAN-18,107849652
2017,101496064,37,1000,,107849645
2017,101496064,47,0,,107849649
2017,101496064,38,1,,107849648
