"DATA_YEAR","SUSPECTED_DRUG_TYPE_ID","PROPERTY_ID","EST_DRUG_QTY","DRUG_MEASURE_TYPE_ID","NIBRS_SUSPECTED_DRUG_ID"
2017,12,96249481,0.003,1,7946478
2017,5,94831227,1,10,7739069
2017,6,94831232,1.075,9,7739070
2017,5,94831523,5,10,7739117
2017,8,94834378,17,9,7739556
2017,17,94857201,,,7743265
2017,5,94859156,0.5,1,7743534
2017,5,94859289,8.5,1,7743556
2017,5,94860714,2.1,1,7743876
2017,12,94861534,1,1,7743989
2017,5,94864652,3.81,3,7744562
2017,5,94867736,206,1,7745110
2017,5,94868771,1,1,7745258
2017,5,98575362,1,1,8291659
2017,5,98575452,1,1,8291673
2017,8,98575580,14,9,8291692
2017,5,98575664,23,1,8291698
2017,16,98577257,10,9,8291952
2017,4,98577869,0.033,7,8291994
2017,12,98578087,0.5,1,8292017
2017,5,98578910,5,1,8292117
2017,12,98579236,2.6,1,8292168
2017,5,98579442,1,1,8292244
2017,8,98581636,2,9,8292638
2017,5,98581759,9,1,8292682
2017,5,98582193,10,1,8292773
2017,5,98582640,1,11,8292871
2017,5,98583385,1,11,8293023
2017,5,98270291,2.17,1,8248275
2017,2,98270291,4.03,1,8248278
2017,5,98270431,1.74,1,8248301
2017,17,98270431,0.33,1,8248300
2017,12,98270826,1.08,1,8248335
2017,5,98270826,4.3,1,8248336
2017,5,98270841,1.73,1,8248340
2017,5,95735111,0.011,1,7873897
2017,5,95735337,1.004,1,7873922
2017,16,95736559,5,9,7874157
2017,5,95372320,6.4,1,7817624
2017,5,95372618,2.7,1,7817663
2017,5,95373722,0.16,1,7817842
2017,5,95375520,4.5,1,7818182
2017,15,95375631,2,1,7818201
2017,5,95406941,7.9,1,7823170
2017,5,95407283,7.8,1,7823234
2017,5,95408021,7,1,7823305
2017,5,95409346,3,1,7823461
2017,16,95410217,2,9,7823541
2017,5,95410854,3.51,1,7823595
2017,16,95986191,10,9,7910214
2017,5,95986191,42,1,7910215
2017,5,95990643,5.77,1,7910812
2017,5,95991200,7,1,7910907
2017,16,96657735,10,9,8006124
2017,12,96657735,0.1,1,8006123
2017,5,96658133,0.001,1,8006165
2017,16,96660241,8,9,8006466
2017,4,96665166,1,11,8006957
2017,12,96665166,1,11,8006958
2017,17,96665166,1,11,8006959
2017,5,96665929,1,1,8007018
2017,16,96666001,50,5,8007024
2017,5,96666085,17,1,8007031
2017,5,96667672,2,1,8007188
2017,5,96668164,0.4,1,8007240
2017,5,96702222,10,1,8011204
2017,12,96706968,6.9,1,8011926
2017,12,96657229,2,1,8006044
2017,8,96657229,1,9,8006042
2017,5,96659729,4.005,1,8006405
2017,5,95970665,1.62,1,7907643
2017,12,95970878,1,9,7907686
2017,12,95972484,5.008,1,7907959
2017,8,95972690,1,9,7907993
2017,7,95972690,9,9,7907994
2017,5,95974709,1,1,7908335
2017,17,95974709,1,9,7908337
2017,12,95974709,1,1,7908336
2017,17,95974992,0.02,1,7908376
2017,9,95975743,1,1,7908494
2017,5,95985506,42.11,1,7910173
2017,10,95987048,2,9,7910283
2017,5,95988515,25.63,1,7910491
2017,5,95990862,26,1,7910845
2017,5,95993936,0.6,1,7911446
2017,5,95994408,5.44,1,7911549
2017,5,95997548,10,1,7911906
2017,5,95998127,3.75,1,7911977
2017,5,95999725,1.48,1,7912161
2017,2,95970818,1,1,7907676
2017,5,95970847,3,1,7907682
2017,5,95974971,1,11,7908371
2017,5,95975949,34,1,7908546
2017,5,95976643,2.201,1,7908675
2017,5,95993200,2.23,1,7911325
2017,5,95994126,19,1,7911479
2017,16,95994358,22,9,7911535
2017,12,95994358,10,9,7911536
2017,2,95994358,15.25,1,7911534
