"DATA_YEAR","VICTIM_ID","CIRCUMSTANCES_ID","JUSTIFIABLE_FORCE_ID"
2017,106284891,9,
2017,109354465,1,
2017,105954967,9,
2017,105919985,1,
2017,105322857,10,
2017,105320253,10,
2017,106683322,10,
2017,99883178,9,
2017,97121605,10,
2017,103791974,1,
2017,103730645,9,
2017,97111354,1,
2017,99363966,10,
2017,99369788,10,
2017,97124036,10,
2017,100761356,10,
2017,98206313,9,
2017,97123772,10,
2017,97122291,10,
2017,103791099,1,
2017,103778287,10,
2017,96592562,1,
2017,96593960,10,
2017,98239944,10,
2017,96598586,10,
2017,103777187,1,
2017,105332458,2,
2017,105916189,1,
2017,106683574,10,
2017,106682755,1,
2017,106682763,1,
2017,105953645,1,
2017,106316159,10,
2017,111291636,10,
2017,99911228,10,
2017,99390566,10,
2017,99919290,10,
2017,99378206,10,
2017,99922439,10,
2017,99389141,1,
2017,99390146,10,
2017,99907691,10,
2017,99922365,10,
2017,99390444,10,
2017,105345235,10,
2017,105345869,9,
2017,100755260,10,
2017,100765807,10,
2017,99389851,10,
2017,99921614,1,
2017,99925453,10,
2017,99921409,10,
2017,100747074,10,
2017,99391373,10,
2017,99911567,10,
2017,99391332,6,
2017,101774172,9,
2017,101349029,10,
2017,101350103,10,
2017,101757572,10,
2017,101328975,10,
2017,101343604,1,
2017,101275089,9,
2017,105337176,10,
2017,101349898,1,
2017,101277874,6,
2017,101335631,10,
2017,101351480,9,
2017,101767922,10,
2017,101752612,10,
2017,101758887,10,
2017,101766371,1,
2017,101328186,10,
2017,101764630,9,
2017,101349009,10,
2017,101771108,1,
2017,101771949,10,
2017,101352599,9,
2017,101758881,10,
2017,101772383,1,
2017,105325646,10,
2017,101354813,1,
2017,101727086,9,
2017,101352593,10,
2017,101772661,1,
2017,101773237,10,
2017,101775413,10,
2017,97800493,1,
2017,98516259,10,
2017,99369791,6,
2017,98514879,1,
2017,98829951,9,
2017,98849078,10,
2017,98855837,10,
2017,97797404,1,
2017,97803563,1,
2017,98860787,1,
2017,98865787,1,
2017,99376049,6,
2017,98498390,1,
2017,98512500,10,
2017,98513504,10,
2017,97801826,10,
2017,97794052,10,
2017,99366353,1,
2017,99366353,9,
2017,99374071,10,
2017,98257447,10,
2017,105336676,10,
2017,109353991,6,
2017,111287353,1,
2017,105333846,10,
2017,111287367,9,
2017,99386580,10,
2017,99386587,10,
2017,99390926,10,
2017,100745810,10,
2017,99387898,10,
2017,100765559,10,
2017,100765562,10,
2017,99918890,10,
2017,99929841,10,
2017,99878201,1,
2017,99926789,10,
2017,99385580,10,
2017,99391747,10,
2017,99914013,10,
2017,105331918,10,
2017,99908865,10,
2017,99922808,10,
2017,99875792,10,
2017,99928406,10,
