"DATA_YEAR","VICTIM_ID","OFFENDER_ID","RELATIONSHIP_ID","NIBRS_VICTIM_OFFENDER_ID"
2017,99370645,102492297,18,29955211
2017,99370645,102492293,18,29955203
2017,99370645,102492295,18,29955207
2017,99370870,102492557,9,29955351
2017,99371260,102492942,3,29955567
2017,99372004,102493681,24,29955967
2017,99372004,102493682,24,29955969
2017,99372011,102493681,24,29955972
2017,99372011,102493686,24,29955976
2017,99372011,102493682,24,29955975
2017,99372004,102493686,24,29955971
2017,99372068,102493759,18,29956008
2017,99372733,102494462,24,29956263
2017,99372785,102494506,3,29956292
2017,99372877,102494583,18,29956342
2017,99376026,102497616,18,29957331
2017,99376985,102498552,1,29957625
2017,99379385,102500929,3,29958415
2017,99382523,102503972,18,29959463
2017,99382574,102504029,3,29959491
2017,99384419,102505920,1,29960086
2017,99385535,102507053,18,29960438
2017,99385913,102507434,18,29960547
2017,99386970,102508539,18,29960941
2017,99387304,102508879,18,29961055
2017,99387765,102509360,18,29961221
2017,99387896,102509490,3,29961277
2017,99388060,102509666,24,29961319
2017,99388126,102509708,18,29961338
2017,99388126,102509700,18,29961335
2017,99388267,102509866,1,29961385
2017,99388525,102510106,18,29961459
2017,99388796,102510391,18,29961582
2017,100688589,103832162,7,30361886
2017,100688583,103832152,3,30361882
2017,100689050,103832647,1,30362035
2017,100689265,103832830,15,30362112
2017,100689275,103832863,25,30362119
2017,100689263,103832863,16,30362109
2017,100689275,103832851,16,30362116
2017,100689263,103832851,25,30362105
2017,100689390,103833022,9,30362177
2017,100689495,103833140,16,30362214
2017,100689612,103833273,5,30362262
2017,100689766,103833409,25,30362311
2017,100689766,103833413,21,30362314
2017,100689775,103833413,25,30362317
2017,100689775,103833409,21,30362316
2017,100690076,103833728,1,30362416
2017,100690826,103834550,17,30362647
2017,100691087,103834830,3,30362763
2017,100691201,103834947,1,30362808
2017,100691201,103834944,1,30362807
2017,100691206,103834947,1,30362811
2017,100691206,103834944,1,30362810
2017,100694438,103838426,3,30363779
2017,100694854,103838841,3,30363928
2017,100695496,103839488,18,30364084
2017,100696135,103840102,9,30364225
2017,100696744,103840715,18,30364342
2017,100697404,103841380,3,30364495
2017,100698146,103842136,9,30364646
2017,100698521,103842490,18,30364766
2017,100698650,103842615,3,30364797
2017,100699877,103843881,1,30365155
2017,100700711,103844761,14,30365405
2017,100700741,103844789,21,30365416
2017,100700999,103845093,18,30365489
2017,100701073,103845158,3,30365502
2017,100701641,103845765,15,30365651
2017,100706128,103850394,25,30366982
2017,100706108,103850394,3,30366970
2017,100706108,103850393,25,30366969
2017,100706128,103850393,3,30366980
2017,100708090,103852429,21,30367635
2017,100743240,103887323,18,30377287
2017,100743245,103887330,18,30377288
2017,100743355,103887439,18,30377319
2017,100743357,103887439,18,30377322
2017,100743351,103887439,18,30377315
2017,100743353,103887439,18,30377317
2017,100743498,103887624,18,30377387
2017,100743496,103887624,18,30377385
2017,100743494,103887624,18,30377384
2017,100743493,103887624,18,30377383
2017,100743523,103887645,18,30377408
2017,100743523,103887646,18,30377409
2017,100747697,103891779,18,30378777
2017,100748560,103892614,18,30379032
2017,100748554,103892613,18,30379027
2017,100748554,103892614,18,30379028
2017,100748560,103892613,18,30379031
2017,100749219,103893261,1,30379252
2017,100749217,103893261,3,30379251
2017,100749331,103893385,18,30379273
2017,100749331,103893386,18,30379276
2017,100749593,103893610,18,30379398
2017,100749593,103893613,18,30379403
2017,100749593,103893612,18,30379399
2017,100749873,103893908,18,30379497
2017,100751159,103895148,14,30379896
2017,100751159,103895147,14,30379895
2017,100752431,103896439,18,30380329
2017,100752728,103896754,18,30380409
2017,100752786,103896820,18,30380421
2017,100752789,103896820,18,30380423
2017,100753116,103897143,16,30380520
2017,100753690,103897713,18,30380684
2017,100753687,103897716,1,30380682
2017,100753687,103897713,1,30380681
2017,100753690,103897716,18,30380685
2017,100753794,103897814,3,30380715
2017,100754061,103898068,3,30380769
2017,100754437,103898450,3,30380869
2017,100754992,103898997,3,30381058
2017,100755235,103899213,18,30381127
2017,100755260,103899210,18,30381140
2017,100755250,103899213,18,30381137
2017,100755267,103899214,18,30381145
2017,100755242,103899214,18,30381133
2017,100755235,103899214,18,30381128
2017,100755267,103899210,18,30381143
2017,100755267,103899213,18,30381144
2017,100755235,103899210,18,30381125
2017,100755260,103899213,18,30381141
2017,100755242,103899213,18,30381132
2017,100755260,103899214,18,30381142
2017,100755242,103899210,18,30381130
2017,100755250,103899214,18,30381138
2017,100755250,103899210,18,30381136
2017,100758133,103902013,3,30382007
2017,100758583,103902457,21,30382114
2017,100758600,103902472,3,30382134
2017,100758682,103902556,3,30382168
2017,100758687,103902558,3,30382169
2017,100758687,103902559,3,30382172
2017,100758688,103902567,18,30382176
2017,100758812,103902692,1,30382208
2017,100759198,103903075,16,30382313
2017,100759258,103903131,18,30382326
2017,100759352,103903228,18,30382371
2017,100759352,103903227,18,30382370
2017,100759359,103903242,24,30382373
2017,100759359,103903239,1,30382372
2017,100759602,103903501,16,30382450
2017,100759935,103903815,18,30382576
