"DATA_YEAR","NIBRS_MONTH_ID","AGENCY_ID","MONTH_NUM","DATA_YEAR","REPORTED_STATUS","REPORT_DATE","UPDATE_FLAG","ORIG_FORMAT","DATA_HOME","DDOCNAME","DID","MONTH_PUB_STATUS"
2017,7606189,9964,5,2017,"I",01-MAY-05,"Y","F","C","2017_05_MO0920500_NIBRS",21462279,0
2017,7606190,9964,6,2017,"I",01-JUN-06,"Y","F","C","2017_06_MO0920500_NIBRS",20709160,0
2017,7631827,9964,7,2017,"I",01-JUL-07,"Y","F","C","2017_07_MO0920500_NIBRS",20709865,0
2017,7659605,9964,8,2017,"I",01-AUG-08,"Y","F","C","2017_08_MO0920500_NIBRS",17918892,0
2017,7688104,9964,9,2017,"I",01-SEP-09,"Y","F","C","2017_09_MO0920500_NIBRS",28102211,0
2017,7714633,9964,10,2017,"I",01-OCT-10,"Y","F","C","2017_10_MO0920500_NIBRS",18845630,0
2017,7740513,9964,11,2017,"I",01-NOV-11,"Y","F","C","2017_11_MO0920500_NIBRS",24764723,0
2017,7830722,9964,12,2017,"I",01-DEC-12,"Y","F","C","2017_12_MO0920500_NIBRS",20052788,0
2017,7493428,9739,1,2017,"I",01-JAN-01,"Y","F","C","2017_01_MO0490700_NIBRS",28090868,0
2017,7523174,9739,2,2017,"I",01-FEB-02,"Y","F","C","2017_02_MO0490700_NIBRS",20703613,0
2017,7553615,9739,3,2017,"I",01-MAR-03,"Y","F","C","2017_03_MO0490700_NIBRS",28094495,0
2017,7575017,9739,4,2017,"I",01-APR-04,"Y","F","C","2017_04_MO0490700_NIBRS",26958964,0
2017,7589230,9739,5,2017,"I",01-MAY-05,"Y","F","C","2017_05_MO0490700_NIBRS",26963002,0
2017,7606192,9739,6,2017,"I",01-JUN-06,"Y","F","C","2017_06_MO0490700_NIBRS",28097689,0
2017,7631825,9739,7,2017,"I",01-JUL-07,"Y","F","C","2017_07_MO0490700_NIBRS",28090965,0
2017,7659554,9739,8,2017,"I",01-AUG-08,"Y","F","C","2017_08_MO0490700_NIBRS",28094610,0
2017,7688086,9739,9,2017,"I",01-SEP-09,"Y","F","C","2017_09_MO0490700_NIBRS",28091016,0
2017,7714632,9739,10,2017,"I",01-OCT-10,"Y","F","C","2017_10_MO0490700_NIBRS",28094821,0
2017,7740510,9739,11,2017,"I",01-NOV-11,"Y","F","C","2017_11_MO0490700_NIBRS",24763954,0
2017,7830718,9739,12,2017,"I",01-DEC-12,"Y","F","C","2017_12_MO0490700_NIBRS",26958895,0
2017,7523160,9714,2,2017,"I",01-FEB-02,"Y","F","C","2017_02_MO0480000_NIBRS",3443018,0
2017,7553589,9714,3,2017,"I",01-MAR-03,"Y","F","C","2017_03_MO0480000_NIBRS",5614157,0
2017,7574971,9714,4,2017,"I",01-APR-04,"Y","F","C","2017_04_MO0480000_NIBRS",6162293,0
2017,7589207,9714,5,2017,"I",01-MAY-05,"Y","F","C","2017_05_MO0480000_NIBRS",8511011,0
2017,7605980,9714,6,2017,"I",01-JUN-06,"Y","F","C","2017_06_MO0480000_NIBRS",8510967,0
2017,7631721,9714,7,2017,"I",01-JUL-07,"Y","F","C","2017_07_MO0480000_NIBRS",8510880,0
2017,7659158,9714,8,2017,"I",01-AUG-08,"Y","F","C","2017_08_MO0480000_NIBRS",10638982,0
2017,7687768,9714,9,2017,"I",01-SEP-09,"Y","F","C","2017_09_MO0480000_NIBRS",15441090,0
2017,7687775,9714,10,2017,"I",01-OCT-10,"Y","F","C","2017_10_MO0480000_NIBRS",20026046,0
2017,7740492,9714,11,2017,"I",01-NOV-11,"Y","F","C","2017_11_MO0480000_NIBRS",19397826,0
2017,7830692,9714,12,2017,"I",01-DEC-12,"Y","F","C","2017_12_MO0480000_NIBRS",21455628,0
2017,7553606,9768,1,2017,"I",01-JAN-01,"Y","F","C","2017_01_MO0530000_NIBRS",5615403,0
