"DATA_YEAR","SUSPECTED_DRUG_TYPE_ID","PROPERTY_ID","EST_DRUG_QTY","DRUG_MEASURE_TYPE_ID","NIBRS_SUSPECTED_DRUG_ID"
2017,17,101809723,,,8771512
2017,17,97647868,,,8154222
2017,5,97576882,0.34,3,8141288
2017,12,106870117,0.05,1,9743068
2017,5,106865678,1.076,3,9734838
2017,4,106858467,,,9739767
2017,2,97521394,0.2,1,8132997
2017,12,97521394,0.4,1,8132994
2017,5,97521394,0.38,3,8132996
2017,5,97529436,0.6,1,8134114
2017,5,97530784,0.46,1,8134317
2017,5,101845476,0.427,3,8777813
2017,5,97547949,123,3,8136598
2017,5,97564234,0.32,3,8139237
2017,8,101844817,0.61,1,8777657
2017,15,97494936,1,9,8129344
2017,5,97519352,0.096,3,8132822
2017,12,97504040,0.01,1,8130858
2017,5,97505509,15.75,3,8131051
2017,16,97657671,0.506,1,8155553
2017,8,97657671,6.07,1,8155551
2017,5,97657671,8.287,1,8155549
2017,5,97543869,0.85,1,8136050
2017,12,97545028,0.53,1,8136159
2017,5,97564604,0.12,3,8139285
2017,5,97654849,1.17,3,8155135
2017,5,97645888,0.03,1,8153982
2017,5,97522036,0.02,3,8133137
2017,1,97529439,0.8,1,8134115
2017,12,97543923,0.32,1,8136058
2017,12,97545340,1.87,1,8136202
2017,5,97597982,2.765,3,8144860
2017,5,97715467,2,1,8162898
2017,8,97722819,33.43,1,8164079
2017,5,97731468,0.1,3,8165652
2017,5,97619520,2.3,1,8148798
2017,11,97575117,60,9,8140992
2017,5,97575117,1.09,3,8140991
2017,11,97575117,20.8,1,8140993
2017,12,97631155,2,1,8151185
2017,12,97637543,14.1,1,8152606
2017,17,97638049,168.5,9,8152776
2017,5,97640202,1,1,8153366
2017,2,97642625,2.7,1,8153661
2017,5,97648669,2.277,1,8154311
2017,12,97650879,0.62,1,8154628
2017,12,97652130,0.205,1,8154776
2017,12,97654262,1,1,8155044
2017,1,97654262,1.4,1,8155046
2017,4,97661647,0.1,1,8155980
2017,2,97661647,0.4,1,8155979
2017,5,97663831,0.32,3,8156183
2017,12,97664724,3.5,1,8156263
2017,5,97664724,10.5,1,8156264
2017,1,97644870,0.3,1,8153877
2017,5,97650896,0.12,3,8154632
2017,5,97653179,3.19,7,8154903
2017,5,97657099,0.8,3,8155468
2017,16,97671197,1,9,8156977
2017,18,97671197,,,8156978
2017,12,97671197,2.44,1,8156976
2017,5,97691205,0.015,3,8159268
2017,16,97692410,0.55,1,8159431
2017,4,97692410,0.27,1,8159432
2017,12,97588993,0.315,3,8143318
2017,16,97594217,2,9,8144104
2017,5,97600063,0.35,3,8145313
2017,5,97605248,0.05,3,8146208
2017,5,97612449,1,1,8147419
2017,5,97575580,2.19,4,8141092
2017,12,97575580,0.01,1,8141093
2017,5,97660183,0.07,3,8155860
2017,5,97673798,1.763,1,8157283
2017,8,97686086,24.76,1,8158494
2017,5,97687032,0.041,3,8158656
2017,5,97487578,0.3,3,8128113
2017,5,97490369,0.001,3,8128507
2017,5,97547325,0.9,3,8136548
2017,16,97548176,2,9,8136626
2017,17,97552525,,,8137368
2017,16,97624646,2,9,8149982
2017,5,97626253,6.7,1,8150330
2017,5,97630714,16.6,1,8151086
2017,5,97633253,1,3,8151601
2017,12,97643071,1.6,1,8153702
2017,5,97648043,0.015,3,8154239
2017,5,97658439,0.14,3,8155646
2017,5,97713224,0.85,1,8162506
2017,5,97719682,1.5,1,8163596
2017,5,97730512,0.02,3,8165345
2017,5,97588832,0.14,3,8143262
2017,4,97597954,2.85,1,8144856
2017,5,97709229,28.9,1,8161676
2017,1,97711156,0.1,1,8162053
2017,8,97711156,1.7,1,8162054
2017,15,97711156,2.2,1,8162055
2017,17,97554372,,,8137778
2017,5,97670505,0.5,3,8156916
2017,4,97676148,0.1,1,8157563
2017,5,97677594,0.03,3,8157776
2017,16,97684953,0.77,1,8158290
2017,2,97689088,0.15,1,8158971
2017,17,97720226,15.9,1,8163667
2017,5,97720292,0.18,3,8163679
2017,5,97725783,8.69,1,8164586
2017,1,97611914,0.11,1,8147319
2017,16,97709248,1.3,1,8161686
2017,12,97702069,0.29,1,8160865
2017,2,97702069,0.37,1,8160864
2017,5,97712294,68.61,1,8162288
2017,5,97497403,0.08,3,8129773
2017,18,97513348,,,8132106
2017,15,97513348,46,1,8132103
2017,17,97513348,52,1,8132105
2017,5,97533493,2.75,1,8134802
2017,12,97482638,3.63,3,8127377
2017,5,97482638,0.2,3,8127378
2017,5,97484904,1.7,1,8127812
2017,5,97512748,0.06,3,8132017
2017,5,97518053,0.053,3,8132683
2017,17,97552119,,,8137265
2017,12,97557742,0.4,1,8138527
2017,18,101761745,,,8764627
2017,8,101761745,2,9,8764625
2017,7,101761745,2,9,8764626
2017,5,97493248,0.95,3,8129069
2017,5,97499665,1.3,1,8130166
2017,5,97506152,0.8,3,8131141
2017,12,97511648,1.5,1,8131882
2017,5,97490213,0.8,1,8128452
2017,5,97483852,1,3,8127656
2017,5,97489103,8.98,3,8128269
2017,16,97489103,68.4,1,8128266
2017,18,97489103,,,8128270
2017,5,97490194,7.8,1,8128447
2017,12,97541536,0.77,5,8135795
2017,5,97548119,1.4,1,8136622
2017,5,97566241,0.059,3,8139626
2017,5,97587727,0.425,3,8143081
2017,12,97564666,1,1,8139298
2017,5,97494800,0.04,3,8129308
2017,1,97539984,0.05,1,8135635
2017,12,97547543,28.5,1,8136559
2017,12,97592437,1.838,1,8143800
2017,2,97658341,0.18,1,8155642
2017,5,97665301,41.68,1,8156337
2017,5,97700168,6.8,1,8160630
2017,12,97700168,1.1,1,8160631
2017,16,97700168,17,9,8160632
2017,16,97704371,0.14,1,8161130
2017,12,97704371,1.4,1,8161129
2017,12,97713490,1.7,1,8162571
2017,5,97521701,0.505,3,8133070
2017,5,97522539,0.225,3,8133233
2017,5,97545467,5.18,1,8136220
2017,15,97549208,0.9,1,8136759
2017,12,97549629,,,8136887
2017,16,97549629,,,8136888
2017,17,97553125,,,8137505
2017,8,97565217,1.6,1,8139432
2017,5,97565217,0.63,3,8139433
2017,12,97579432,0.26,1,8141648
2017,13,97590267,1.4,1,8143560
2017,5,97716855,0.01,1,8163270
2017,8,97722447,1.1,1,8163976
2017,12,97697685,0.71,1,8160275
