"DATA_YEAR","VICTIM_ID","OFFENDER_ID","RELATIONSHIP_ID","NIBRS_VICTIM_OFFENDER_ID"
2017,100655699,103798944,19,30352780
2017,100655876,103799117,1,30352817
2017,100656343,103799592,3,30352910
2017,100656469,103799711,13,30352937
2017,100656585,103799814,18,30352961
2017,100656616,103799848,3,30352973
2017,100656693,103799929,18,30352986
2017,100657182,103800406,1,30353075
2017,100657337,103800556,9,30353105
2017,100657792,103801029,3,30353201
2017,100657811,103801055,1,30353205
2017,100658027,103801279,22,30353262
2017,100658313,103801564,21,30353348
2017,100658393,103801639,17,30353376
2017,100658463,103801710,18,30353391
2017,100658579,103801827,3,30353440
2017,100658701,103801949,3,30353465
2017,100659026,103802251,3,30353558
2017,100660619,103803872,3,30353970
2017,100660785,103804055,19,30354002
2017,100660862,103804136,3,30354017
2017,100661023,103804278,18,30354053
2017,100661023,103804282,18,30354055
2017,100661017,103804278,18,30354049
2017,100661017,103804282,18,30354050
2017,100661230,103804492,3,30354093
2017,100661336,103804596,17,30354115
2017,100661382,103804653,18,30354121
2017,100661414,103804690,22,30354131
2017,100661409,103804690,21,30354130
2017,100661454,103804733,21,30354143
2017,100661473,103804751,21,30354148
2017,100661647,103804915,21,30354188
2017,100662002,103805281,3,30354258
2017,100662044,103805308,21,30354265
2017,100662187,103805446,15,30354281
2017,100662207,103805476,18,30354287
2017,100662236,103805499,3,30354292
2017,100662454,103805699,3,30354339
2017,100662742,103806002,1,30354400
2017,100663046,103806309,24,30354463
2017,100663076,103806336,15,30354471
2017,100663107,103806370,3,30354475
2017,100663645,103806909,21,30354576
2017,100663844,103807112,3,30354607
2017,100663914,103807184,19,30354616
2017,100664232,103807507,3,30354675
2017,100664538,103807809,3,30354720
2017,100664706,103807984,18,30354753
2017,100664862,103808143,17,30354790
2017,100664969,103808254,21,30354813
2017,100665411,103808702,3,30354895
2017,100665707,103808995,26,30354944
2017,100665772,103809051,16,30354966
2017,100665774,103809063,18,30354967
2017,100665775,103809063,18,30354968
2017,100665777,103809063,18,30354970
2017,100665786,103809072,16,30354972
2017,100665859,103809141,3,30354998
2017,100665859,103809140,16,30354997
2017,100665857,103809141,16,30354996
2017,100665857,103809140,3,30354995
2017,100665973,103809261,16,30355038
2017,100665973,103809265,16,30355039
2017,100665998,103809283,19,30355046
2017,100666067,103809364,16,30355066
2017,100666126,103809429,21,30355080
2017,100666176,103809480,3,30355102
2017,100666214,103809522,6,30355122
2017,100666228,103809538,1,30355132
2017,100666298,103809611,18,30355159
2017,100666402,103809710,18,30355196
2017,100666417,103809724,5,30355200
2017,100666417,103809722,5,30355199
2017,100666435,103809746,1,30355204
2017,100666435,103809752,1,30355205
2017,100666470,103809786,24,30355216
2017,100666700,103810041,17,30355245
2017,100667177,103810591,26,30355389
2017,100667241,103810652,19,30355399
2017,100668113,103811608,21,30355614
2017,100668160,103811655,24,30355635
2017,100668199,103811698,19,30355648
2017,100624561,103767055,5,30344175
2017,100624753,103767249,18,30344212
2017,100624835,103767337,1,30344230
2017,100624872,103767381,3,30344245
2017,100624999,103767505,1,30344265
2017,100624999,103767503,1,30344264
2017,100625099,103767610,6,30344295
2017,100625366,103767895,18,30344375
2017,100625369,103767895,18,30344376
2017,100625480,103768005,17,30344397
2017,100625484,103768005,17,30344399
2017,100625526,103768054,17,30344417
2017,100625557,103768079,18,30344428
2017,100625608,103768135,3,30344441
2017,100625668,103768187,3,30344470
2017,100625763,103768278,3,30344509
2017,100625890,103768405,19,30344551
2017,100626197,103768710,6,30344678
2017,100626323,103768832,6,30344725
2017,100626631,103769148,21,30344800
2017,100626712,103769236,3,30344816
2017,100627573,103770153,3,30344967
2017,100627817,103770378,9,30345033
2017,100627880,103770449,1,30345051
2017,100627880,103770451,1,30345052
2017,100627880,103770453,1,30345054
2017,100628101,103770693,26,30345130
2017,100628222,103770817,1,30345165
2017,100628247,103770844,21,30345173
2017,100628291,103770894,18,30345207
2017,100628515,103771128,6,30345277
2017,100628589,103771210,6,30345313
2017,100629138,103771798,26,30345482
2017,100629284,103771953,24,30345529
2017,100629360,103772039,22,30345557
2017,100629533,103772223,16,30345621
2017,100629876,103772602,3,30345739
2017,100629876,103772603,25,30345740
2017,100629873,103772602,25,30345737
2017,100629873,103772603,3,30345738
2017,100630162,103772912,24,30345846
2017,100630197,103772940,16,30345860
2017,100630333,103773080,1,30345901
2017,100630330,103773080,1,30345899
