"DATA_YEAR","NIBRS_MONTH_ID","AGENCY_ID","MONTH_NUM","DATA_YEAR","REPORTED_STATUS","REPORT_DATE","UPDATE_FLAG","ORIG_FORMAT","DATA_HOME","DDOCNAME","DID","MONTH_PUB_STATUS"
2017,7945950,19474,10,2017,"I",01-OCT-10,"Y","F","C","2017_10_TX1520200_NIBRS",29599643,0
2017,7945951,19474,11,2017,"I",01-NOV-11,"Y","F","C","2017_11_TX1520200_NIBRS",29599735,0
2017,7945952,19474,12,2017,"I",01-DEC-12,"Y","F","C","2017_12_TX1520200_NIBRS",29588293,0
2017,7681477,18858,1,2017,"I",01-JAN-01,"Y","F","C","2017_01_TX0201000_NIBRS",29633343,0
2017,7681478,18858,2,2017,"I",01-FEB-02,"Y","F","C","2017_02_TX0201000_NIBRS",29630732,7
2017,7681479,18858,3,2017,"I",01-MAR-03,"Y","F","C","2017_03_TX0201000_NIBRS",29630735,0
2017,7681480,18858,4,2017,"I",01-APR-04,"Y","F","C","2017_04_TX0201000_NIBRS",29633211,0
2017,7681481,18858,5,2017,"I",01-MAY-05,"Y","F","C","2017_05_TX0201000_NIBRS",29637910,0
2017,7681482,18858,6,2017,"I",01-JUN-06,"Y","F","C","2017_06_TX0201000_NIBRS",26891478,0
2017,7681483,18858,7,2017,"I",01-JUL-07,"Y","F","C","2017_07_TX0201000_NIBRS",29633414,0
2017,7681484,18858,8,2017,"I",01-AUG-08,"Y","F","C","2017_08_TX0201000_NIBRS",29637877,0
2017,7681485,18858,9,2017,"I",01-SEP-09,"Y","F","C","2017_09_TX0201000_NIBRS",29630492,0
2017,7681486,18858,10,2017,"I",01-OCT-10,"Y","F","C","2017_10_TX0201000_NIBRS",29630524,0
2017,7948069,18858,11,2017,"I",01-NOV-11,"Y","F","C","2017_11_TX0201000_NIBRS",29630713,0
2017,7948070,18858,12,2017,"I",01-DEC-12,"Y","F","C","2017_12_TX0201000_NIBRS",29630693,0
2017,7680758,19541,1,2017,"I",01-JAN-01,"Y","F","C","2017_01_TX1700100_NIBRS",29525300,0
2017,7680759,19541,2,2017,"I",01-FEB-02,"Y","F","C","2017_02_TX1700100_NIBRS",25875762,0
2017,7680760,19541,3,2017,"I",01-MAR-03,"Y","F","C","2017_03_TX1700100_NIBRS",25872401,0
2017,7680761,19541,4,2017,"I",01-APR-04,"Y","F","C","2017_04_TX1700100_NIBRS",19811271,0
2017,7680762,19541,5,2017,"I",01-MAY-05,"Y","F","C","2017_05_TX1700100_NIBRS",27650100,0
