"DATA_YEAR","CRIMINAL_ACT_ID","OFFENSE_ID"
2017,9,110281009
2017,6,110283971
2017,9,110285840
2017,6,110285972
2017,6,110285973
2017,8,110287641
2017,8,110288022
2017,6,110301460
2017,6,110301458
2017,6,110301563
2017,3,110301622
2017,6,110301834
2017,9,110302196
2017,6,110302220
2017,8,110302660
2017,9,110303126
2017,6,110303401
2017,6,110303435
2017,6,110304092
2017,9,110304511
2017,9,110304667
2017,6,110304779
2017,9,110305283
2017,6,110305529
2017,9,110305589
2017,9,110305745
2017,9,110306329
2017,6,110308482
2017,6,110310230
2017,6,110312921
2017,6,110313077
2017,6,110314061
2017,6,110314406
2017,6,110314510
2017,9,110314870
2017,9,110315069
2017,6,110318012
2017,6,110322041
2017,9,110322037
2017,9,110322234
2017,9,110322313
2017,9,110325508
2017,9,110325843
2017,8,110326081
2017,9,110326084
2017,9,110326127
2017,8,110333269
2017,6,110333269
2017,8,110333275
2017,6,110333275
2017,6,110333501
2017,3,110333767
2017,1,110337993
2017,1,110338105
2017,1,110338255
2017,6,110338584
2017,6,110338582
2017,6,110340409
2017,6,110340630
2017,3,110341321
2017,3,110341544
2017,8,110342765
2017,6,110346047
2017,9,110346478
2017,9,110351921
2017,3,110352110
2017,6,110352338
2017,6,110352413
2017,6,110352415
2017,6,110352866
2017,9,110352993
2017,6,110353622
2017,6,110353617
2017,6,110354016
2017,8,110355054
2017,6,110355058
2017,6,110355521
2017,6,110355618
2017,6,110356136
2017,6,110356616
2017,6,110358350
2017,3,110358347
2017,5,110363504
2017,9,110364108
2017,9,110377085
2017,6,110377104
2017,6,110377187
2017,9,110377285
2017,9,110377286
2017,6,110377292
2017,9,110377523
2017,9,110377606
2017,9,110377824
2017,9,110377856
2017,9,110377951
2017,6,110377981
2017,9,110377994
2017,3,110378004
2017,9,110378025
2017,6,110378047
2017,9,110378086
2017,9,110378288
2017,9,110378489
2017,9,110378578
2017,9,110378654
2017,9,110379078
2017,9,110379119
2017,5,110379610
2017,6,110383022
2017,6,110383084
2017,6,110383071
2017,6,110383514
2017,8,110384436
2017,6,110384794
2017,6,110384791
2017,6,110385553
2017,9,110386004
2017,6,110386390
2017,3,110387960
2017,8,110389342
2017,8,110389361
2017,8,110389356
2017,6,110389704
2017,7,110389704
2017,1,110389704
2017,6,110391918
2017,6,110391931
2017,9,110392093
2017,9,110392236
2017,6,110392260
2017,9,110392385
