"DATA_YEAR","WEAPON_ID","OFFENSE_ID","NIBRS_WEAPON_ID"
2017,12,116428857,20694921
2017,3,116431657,20695663
2017,2,116431973,20695768
2017,3,116432928,20696046
2017,12,116434139,20696359
2017,9,116435280,20696686
2017,19,116435769,20696809
2017,12,116437259,20697214
2017,18,116441345,20698019
2017,3,116441548,20698024
2017,4,116846614,20787848
2017,18,116847012,20787919
2017,12,116847405,20788010
2017,12,116847748,20788074
2017,20,116848866,20788279
2017,12,116848975,20788300
2017,12,116849548,20788389
2017,3,116850519,20788530
2017,3,116854979,20789274
2017,12,116850511,20788529
2017,12,116850775,20788577
2017,4,116851179,20788635
2017,18,116851179,20788636
2017,12,116851225,20788647
2017,3,116851453,20788677
2017,22,116851894,20788742
2017,12,116852019,20788760
2017,20,116852014,20788758
2017,20,116852729,20788895
2017,20,116853163,20788972
2017,12,116853213,20788980
2017,20,116853223,20788981
2017,20,116853625,20789044
2017,3,116854005,20789091
2017,12,116854202,20789131
2017,12,116854280,20789153
2017,18,116854304,20789159
2017,12,116854557,20789205
2017,12,116856257,20789515
2017,12,116856877,20789617
2017,20,116454338,20701280
2017,20,116454428,20701304
2017,12,116454530,20701326
2017,9,116458909,20702420
2017,2,116460954,20702983
2017,18,116462215,20703320
2017,12,116464070,20703799
2017,3,116465318,20704062
2017,18,116465466,20704101
2017,12,116465466,20704099
2017,12,116465487,20704108
2017,3,116465523,20704123
2017,12,116465825,20704203
2017,12,116465920,20704226
2017,12,116466278,20704330
2017,12,116466589,20704392
2017,12,116467308,20704561
2017,12,116467413,20704590
2017,12,116467548,20704629
2017,12,116467727,20704676
2017,3,116468765,20704959
2017,12,116469497,20705148
2017,12,116469715,20705197
2017,12,116469865,20705231
2017,12,116471089,20705561
2017,12,116471607,20705717
2017,12,116471972,20705827
2017,9,116471999,20705833
2017,20,116472010,20705835
2017,12,116472705,20705977
2017,12,116473018,20706051
2017,12,116473459,20706150
2017,12,116474180,20706310
2017,12,116474241,20706320
2017,18,116474366,20706351
2017,12,116475830,20706698
2017,18,116476366,20706810
2017,3,116476862,20706965
2017,10,116476948,20706985
2017,12,116476948,20706984
2017,12,116482189,20708324
2017,12,116482554,20708398
2017,22,116483802,20708698
2017,3,116484161,20708800
2017,12,116484196,20708804
2017,12,116484252,20708820
2017,12,116484297,20708832
2017,12,116484821,20708979
2017,3,116485322,20709095
2017,12,116485595,20709171
2017,12,116485910,20709230
2017,12,116486127,20709294
2017,12,116487644,20709686
2017,12,116488019,20709778
2017,12,116488056,20709786
2017,12,116488043,20709783
2017,12,113763086,20115600
2017,12,113763089,20115602
2017,12,113763242,20115654
2017,12,113763406,20115699
2017,12,113764187,20115872
2017,9,113764269,20115891
2017,12,113765819,20116227
2017,12,113766730,20116466
2017,12,113766842,20116500
2017,21,113773798,20117970
2017,12,113773833,20117974
2017,12,113775411,20118352
2017,9,113775408,20118351
2017,19,113775494,20118372
2017,2,113775546,20118384
2017,12,113775794,20118448
2017,12,113777075,20118738
2017,4,113778267,20118942
2017,12,113778293,20118945
2017,2,113779313,20119117
2017,12,113779578,20119225
2017,22,113779579,20119226
2017,12,113779996,20119361
2017,12,113779998,20119363
2017,12,113780076,20119392
2017,12,113780854,20119604
2017,12,113780875,20119612
2017,18,114445987,20257153
2017,12,114447089,20257355
2017,12,114448481,20257599
2017,12,114448493,20257602
2017,12,114448855,20257663
2017,18,114450045,20257869
2017,12,114451737,20258185
2017,2,114453852,20258578
2017,20,114454055,20258605
2017,11,114454989,20258740
2017,9,114456056,20258898
2017,4,114456612,20258982
2017,12,114456827,20259018
2017,12,114457887,20259187
2017,12,114457976,20259197
2017,12,114459543,20259448
2017,12,114459908,20259492
2017,2,114460285,20259557
2017,2,114460280,20259555
2017,3,114460834,20259663
2017,12,114461177,20259741
2017,12,114461251,20259756
2017,12,114461409,20259792
2017,20,114462599,20260052
2017,12,114462658,20260078
2017,12,115822324,20562147
2017,12,115823091,20562317
2017,12,115823381,20562373
2017,12,115823419,20562383
2017,12,115823623,20562438
2017,12,115823871,20562484
2017,12,115825702,20562868
2017,12,115825880,20562919
2017,3,115827227,20563209
2017,12,115828672,20563534
2017,18,115829020,20563586
2017,12,115829807,20563735
2017,12,115831097,20564026
2017,12,115839515,20565930
2017,19,115839985,20566018
2017,12,115840775,20566172
2017,12,115842129,20566438
2017,12,115842238,20566453
2017,12,115842896,20566586
2017,19,115843758,20566762
2017,12,115845093,20567034
2017,20,115845256,20567086
2017,12,115845747,20567214
2017,12,115847137,20567596
2017,12,115847513,20567720
2017,12,115847652,20567762
2017,12,115847756,20567789
2017,19,115848342,20567935
2017,12,115849705,20568247
2017,3,115851500,20568658
2017,12,115852133,20568779
2017,20,115852234,20568804
2017,12,115852508,20568888
2017,12,115852556,20568901
2017,12,115853768,20569164
2017,12,115855371,20569522
2017,3,115855707,20569595
2017,12,115856420,20569798
2017,12,115856507,20569824
2017,12,115856588,20569848
2017,3,115857490,20570042
2017,11,115857914,20570143
2017,12,115857959,20570155
