"YEARLY_AGENCY_ID","AGENCY_ID","DATA_YEAR","ORI","LEGACY_ORI","COVERED_BY_LEGACY_ORI","DIRECT_CONTRIBUTOR_FLAG","DORMANT_FLAG","DORMANT_YEAR","REPORTING_TYPE","UCR_AGENCY_NAME","NCIC_AGENCY_NAME","PUB_AGENCY_NAME","PUB_AGENCY_UNIT","AGENCY_STATUS","STATE_ID","STATE_NAME","STATE_ABBR","STATE_POSTAL_ABBR","DIVISION_CODE","DIVISION_NAME","REGION_CODE","REGION_NAME","REGION_DESC","AGENCY_TYPE_NAME","POPULATION","SUBMITTING_AGENCY_ID","SAI","SUBMITTING_AGENCY_NAME","SUBURBAN_AREA_FLAG","POPULATION_GROUP_ID","POPULATION_GROUP_CODE","POPULATION_GROUP_DESC","PARENT_POP_GROUP_CODE","PARENT_POP_GROUP_DESC","MIP_FLAG","POP_SORT_ORDER","SUMMARY_RAPE_DEF","PE_REPORTED_FLAG","MALE_OFFICER","MALE_CIVILIAN","PED.MALE_OFFICER+PED.MALE_CIVILIAN","FEMALE_OFFICER","FEMALE_CIVILIAN","PED.FEMALE_CIVILIAN+PED.FEMALE_OFFICER","0","0","NIBRS_CERT_DATE","NIBRS_START_DATE","NIBRS_LEOKA_START_DATE","NIBRS_CT_START_DATE","NIBRS_MULTI_BIAS_START_DATE","NIBRS_OFF_ETH_START_DATE","COVERED_FLAG","COUNTY_NAME","MSA_NAME","PUBLISHABLE_FLAG","PARTICIPATED","NIBRS_PARTICIPATED"
200422017,20042,2017,"VA0010000","VA0010000","","N","N",,"I","ACCOMACK","ACCOMACK CO SO ACCOMAC","Accomack","","A",51,"Virginia","VA","VA","5","South Atlantic","3","South","Region III","County",26234,23396,"VAUCR0001","Virginia State Police Criminal Justice Information Services Division","N",14,"8B","Non-MSA counties from 25,000 thru 99,999","8","Non-MSA Counties","N",3,"R","Y",48,2,50,9,9,18,0,0,01-JAN-94,01-JUN-97,01-DEC-10,01-AUG-12,,,"N","ACCOMACK","Non-MSA","Y","Y","Y"
200432017,20043,2017,"VA0010100","VA0010100","","N","N",,"I","CHINCOTEAGUE","CHINCOTEAGUE PD","Chincoteague","","A",51,"Virginia","VA","VA","5","South Atlantic","3","South","Region III","City",2916,23396,"VAUCR0001","Virginia State Police Criminal Justice Information Services Division","N",10,"6","Cities from 2,500 thru 9,999","6","Cities from 2,500 thru 9,999","N",2,"R","Y",10,1,11,0,3,3,0,0,01-JAN-94,01-OCT-96,01-DEC-10,01-JUN-12,,,"N","ACCOMACK","Non-MSA","Y","Y","Y"
200442017,20044,2017,"VA0010200","VA0010200","","N","N",,"I","ONANCOCK","ONANCOCK PD","Onancock","","A",51,"Virginia","VA","VA","5","South Atlantic","3","South","Region III","City",1266,23396,"VAUCR0001","Virginia State Police Criminal Justice Information Services Division","N",11,"7","Cities under 2,500","7","Cities under 2,500","N",2,"R","Y",4,0,4,1,0,1,0,0,01-JAN-94,01-JAN-99,01-DEC-10,01-JUN-12,,,"N","ACCOMACK","Non-MSA","Y","Y","Y"
200452017,20045,2017,"VA0010300","VA0010300","","N","N",,"I","PARKSLEY","PARKSLEY PD","Parksley","","A",51,"Virginia","VA","VA","5","South Atlantic","3","South","Region III","City",841,23396,"VAUCR0001","Virginia State Police Criminal Justice Information Services Division","N",11,"7","Cities under 2,500","7","Cities under 2,500","N",2,"R","Y",2,0,2,1,0,1,0,0,01-JAN-94,01-AUG-07,01-DEC-10,01-SEP-12,,,"N","ACCOMACK","Non-MSA","Y","Y","Y"
200462017,20046,2017,"VA0010500","VA0010500","","N","N",,"I","ONLEY","ONLEY PD","Onley","","A",51,"Virginia","VA","VA","5","South Atlantic","3","South","Region III","City",513,23396,"VAUCR0001","Virginia State Police Criminal Justice Information Services Division","N",11,"7","Cities under 2,500","7","Cities under 2,500","N",2,"R","Y",5,0,5,0,0,0,0,0,01-JAN-94,01-AUG-98,01-FEB-12,01-JUN-12,,,"N","ACCOMACK","Non-MSA","Y","Y","Y"
200482017,20048,2017,"VA001SP00","VA001SP00","","N","N",,"I","SP: ACCOMACK COUNTY","SP: ACCOMACK COUNTY","State Police:","Accomack County","A",51,"Virginia","VA","VA","5","South Atlantic","3","South","Region III","State Police",0,23396,"VAUCR0001","Virginia State Police Criminal Justice Information Services Division","N",16,"8D","Non-MSA counties under 10,000","8","Non-MSA Counties","N",3,"R","N",,,,,,,0,0,01-JAN-94,01-JAN-94,01-DEC-10,01-JUN-12,,,"N","ACCOMACK","Non-MSA","Y","Y","Y"
200502017,20050,2017,"VA0020100","VA0020100","","N","N",,"I","UNIVERSITY OF VIRGINIA","UNIV VA PD CHARLOTTESVILLE","University of Virginia","","A",51,"Virginia","VA","VA","5","South Atlantic","3","South","Region III","University or College",0,23396,"VAUCR0001","Virginia State Police Criminal Justice Information Services Division","Y",11,"7","Cities under 2,500","7","Cities under 2,500","N",2,"R","Y",38,47,85,10,21,31,0,0,01-JAN-94,01-MAY-97,01-DEC-10,01-JUN-12,,,"N","ALBEMARLE","Charlottesville, VA","Y","Y","Y"
200512017,20051,2017,"VA0020300","VA0020300","","N","N",,"I","ALBEMARLE COUNTY POL DEP","ALBEMARLE PD","Albemarle County Police Department","","A",51,"Virginia","VA","VA","5","South Atlantic","3","South","Region III","County",108074,23396,"VAUCR0001","Virginia State Police Criminal Justice Information Services Division","Y",19,"9A","MSA counties 100,000 or over","9","MSA Counties","Y",3,"R","Y",128,13,141,16,24,40,0,0,01-JAN-94,01-MAY-97,01-DEC-10,01-JUN-12,,,"N","ALBEMARLE","Charlottesville, VA","Y","Y","Y"
200522017,20052,2017,"VA002SP00","VA002SP00","","N","N",,"I","SP: ALBEMARLE COUNTY","SP: ALBEMARLE COUNTY","State Police:","Albemarle County","A",51,"Virginia","VA","VA","5","South Atlantic","3","South","Region III","State Police",0,23396,"VAUCR0001","Virginia State Police Criminal Justice Information Services Division","Y",22,"9D","MSA counties under 10,000","9","MSA Counties","N",3,"R","N",,,,,,,0,0,01-JAN-94,01-JAN-94,01-JAN-11,01-JUN-12,,,"N","ALBEMARLE","Charlottesville, VA","Y","Y","Y"
200532017,20053,2017,"VA0030000","VA0030000","","N","N",,"I","ALLEGHANY","ALLEGHANY CO SO COVINGTON","Alleghany","","A",51,"Virginia","VA","VA","5","South Atlantic","3","South","Region III","County",11787,23396,"VAUCR0001","Virginia State Police Criminal Justice Information Services Division","N",15,"8C","Non-MSA counties from 10,000 thru 24,999","8","Non-MSA Counties","N",3,"R","Y",38,2,40,8,18,26,0,0,01-JAN-94,01-JAN-97,01-DEC-10,01-JUN-12,,,"N","ALLEGHANY","Non-MSA","Y","Y","Y"
