"id","date","text","tag"
19753,2018-03-30,"молочку в последнее время очень мало кстати стала есть. а так до этого все в стекле покупала. оно и по качеству лучше и по цене не сильно отличается ( ну по крайней мере здесь в чехии - в азбуке вкуса в москве очень дорого бы было например. хотя уверена что и там найдется вариант в стекле) а про йогурты кстати делала давно еще пост как я их делаю в йогуртнице из закваски","упоминание"
19754,2018-03-30,"Новый супермаркет АВ ждёт всех 30 марта!
 Теперь, гуляя по любимому Арбату, можно заглянуть в супермаркет «Азбука Вкуса» за чем-нибудь вкусным 🙂
 Потому что 30 марта в 15:00 мы открываемся по адресу ул. Арбат 54/2, стр. 4 и приглашаем вас в гости!
 Вас ждут:
 💚 дегустации
 💚 рыбный базар
 💚 мастер-класс по разделке рыбы и дегустация закусок
 А 7 апреля в 12:00 мы приглашаем вас на праздник, посвященный открытию, на котором вас будет ждать еще больше приятных сюрпризов!
 http://i.av.ru/nOlK
 #азбукавкуса #azbukavkusa #открытие","управление компанией"
19755,2018-03-30,"А в ""Азбуке Вкуса"" вот что есть:) Всем доброе утро!","ассортимент"
19756,2018-03-30,"Дарим стильные доски c первым с заказом на av.ru!
 Забрать доску
 http://doska.av.ru/?utm_source=fb&utm_medium=cpc&utm_campaign=AB_retargeting_msk_doska","акции"
19757,2018-03-29,"Азбука вкуса, Оникс торты на планерной. Недорого, вкусно и все таки заводские","ассортимент"
19758,2018-03-30,"В Азбуке вкуса очень хорош","качество продукции"
19759,2018-03-31,"и что тут такого, человек просто решил поддержать разговор может скучно ему. В стране печаль везде, увидел баба простая не накрашенная, не в телефоне селфиться, решил поговорить пофлиртовать. Сейчас не самые умные бабы побегут в вкуссвил или азбуку вкуса ну где полухарнее и будут ждать пока к ним мужик подойдет)","упоминание"
19760,2018-03-31,"Оп, поделили рынок) девки , налетайте. Ещё перекрестки остались, пятерки, азбуки вкуса и прочее)","упоминание"
19761,2018-03-31,"я бы поржал над Азбукой Вкуса напротив Villa Market","конкуренты"
19762,2018-03-30,"590 рублей сейчас активно распродается в Азбуке вкуса. Так же без кислоты и горечи очень легко идет на каждый день.","цена"
19763,2018-03-30,"Азбука вкуса жжет","упоминание"
19764,2018-03-30,"Сочники в Азбуке Вкуса👍🏼🤤","ассортимент"
19765,2018-03-30,"Хотел в азбуку вкуса Сказали что ток граждан рф берут","персонал"
19766,2018-03-30,"Любителям Совиньон блан посвящается! В Азбуке Вкуса, прекрасный из Новой Зеландии.","ассортимент"
19767,2018-03-30,"Ой, закажи в Азбуке, только вчера смотрела репортаж о том, как дома эти выпечки и торты делают, что не соблюдаются и нереально же проконтролировать качество всех продуктов( я не утверждаю, что в пекарнях все ок, но все же), так вот… девочка заказала торт малышке, а в нем обнаружили золотистый стафилококк","упоминание"
19768,2018-03-30,"Посмотрела, выбору них очень маленький и внешне мне ни один не понравился (","ассортимент"
19769,2018-03-30,"Ну да, 15 всего, я тут у тортильяно пару сотен пересмотрела)","конкуренты"
19770,2018-03-31,"Да в азбуке сделают по любому дизайну, я маме заказывала, приносила картинку и делали мне. У них на сайте написано, что любое желание воплотят в жизнь.","сервис"
19771,2018-03-30,"В азбуке буду заказывать, домашним кондитерам не доверяю","сервис"
19772,2018-03-29,"В Азбуке вкуса очень хорошие","качество продукции"
19773,2018-03-30,"Интересно😀 То есть, если взгляды на жизнь этого чувака не нравятся руководству ""Азбуки вкуса"", ""Меги"", фитнесс-клуба, куда он там еще ходил, то они его могут больше не впускать и не обслуживать. Так можно сговориться и никуда не пускать журналистов Радио ""Свобода"", например😂😂","упоминание"
19774,2018-03-30,"Интересно😀 То есть, если взгляды на жизнь этого чувака не нравятся руководству ""Азбуки вкуса"", ""Меги"", фитнесс-клуба, куда он там еще ходил, то они его могут больше не впускать и не обслуживать. Так можно сговориться и никуда не пускать журналистов Радио ""Свобода"", например😂😂","упоминание"
19775,2018-03-30,"Интересно😀 То есть, если взгляды на жизнь этого чувака не нравятся руководству ""Азбуки вкуса"", ""Меги"", фитнесс-клуба, куда он там еще ходил, то они его могут больше не впускать и не обслуживать. Так можно сговориться и никуда не пускать журналистов Радио ""Свобода"", например😂😂","упоминание"
19776,2018-03-30,"Интересно😀 То есть, если взгляды на жизнь этого чувака не нравятся руководству ""Азбуки вкуса"", ""Меги"", фитнесс-клуба, куда он там еще ходил, то они его могут больше не впускать и не обслуживать. Так можно сговориться и никуда не пускать журналистов Радио ""Свобода"", например😂😂","упоминание"
19777,2018-03-30,"Интересно😀 То есть, если взгляды на жизнь этого чувака не нравятся руководству ""Азбуки вкуса"", ""Меги"", фитнесс-клуба, куда он там еще ходил, то они его могут больше не впускать и не обслуживать. Так можно сговориться и никуда не пускать журналистов Радио ""Свобода"", например😂😂","упоминание"
19778,2018-03-30,"Интересно😀 То есть, если взгляды на жизнь этого чувака не нравятся руководству ""Азбуки вкуса"", ""Меги"", фитнесс-клуба, куда он там еще ходил, то они его могут больше не впускать и не обслуживать. Так можно сговориться и никуда не пускать журналистов Радио ""Свобода"", например😂😂","упоминание"
19779,2018-03-30,"Интересно😀 То есть, если взгляды на жизнь этого чувака не нравятся руководству ""Азбуки вкуса"", ""Меги"", фитнесс-клуба, куда он там еще ходил, то они его могут больше не впускать и не обслуживать. Так можно сговориться и никуда не пускать журналистов Радио ""Свобода"", например😂😂","упоминание"
19780,2018-03-30,"Интересно😀 То есть, если взгляды на жизнь этого чувака не нравятся руководству ""Азбуки вкуса"", ""Меги"", фитнесс-клуба, куда он там еще ходил, то они его могут больше не впускать и не обслуживать. Так можно сговориться и никуда не пускать журналистов Радио ""Свобода"", например😂😂","упоминание"
19781,2018-03-31,"чувисы из азбуки вкуса -любовь","качество продукции"
19782,2018-03-31,"блины из азбуки вкуса тащат. особенно погретые в микроволновке. особенно если купил их со скидкой с утра.","скидки"
19783,2018-03-31,"В азбуке вкуса теперь продают поки к слову дешево ! в некоторых аниме магазинах они гораздо дороже","Цена"
19784,2018-03-30,"обожаю эту рубрику:гастро-фавориты от Кати ,хочется сразу же бежать в азбуку вкуса","упоминание"
19785,2018-03-30,"日本フェア？一本の値段だとすると高くないかしらん。 (@ Азбука вкуса in Москва) https://www.swarmapp.com/c/hvcehBztjNS","чекин"
19786,2018-03-30,"Почему нет моей любимой Азбуки вкуса?","упоминание"
19787,2018-03-30,"Потому что она дорогая","необоснованная цена"
19788,2018-03-30,"Я думал она дорогая только в наших ебенях","необоснованная цена"
19789,2018-03-30,"когда ждешь @Lipton_choi на обед, после которого вас уже третий день ждет захватывающий квест по азбуке вкуса под названием ""интересно, а сколько в *вставить название продукта* белка?""","упоминание"
19790,2018-03-30,"Тупо лухари гёрл выхожу из Азбуки Вкуса","упоминание"
19791,2018-03-30,"(Там запеканка по акции сейчас оч вкусная)","акции"
19792,2018-03-30,"Откуда у вас пакет из Азбуки Вкуса?","упоминание"
19793,2018-03-30,"окей пора смотреть где люди пьют кофе в каких местах, а то засели в азбуке вкуса даже в даблби не ходим чо за🤔","упоминание"
19794,2018-03-30,"что за Форд? цена как в ""Азбуке вкуса"". по-любому можно дешевле найти","Цена"
19795,2018-03-31,"и че ты хочешь требовать?тебе и так дают медицинскую страховку,детские деньги,мат капитал,с чего тебе больше то должны?😂 а что такое азбука вкуса я и знать не знаю","упоминание"
19796,2018-03-31,"это 90% россиян) ты так на улице всех называй - кто ходит в пятерочку/ашан , а то ты у нас богатая дохуя) в азбуке вкуса закупаешься😂 Просто у людей кто говорит на государство что-то,есть чувство собственного достоинства,с этих пидоров надо требовать, потому что мы им налоги платим, а молчать,хавать говно и терпеть деградацию нашей страны и власти - это занятие твое и твоих родаков которые воспитали тебя как раба, без сочувствия к людям.","упоминание"
19797,2018-03-31,"Что мне #простуда ,что мне #зной ,что мне #насморк проливной, #когда #подруга на фестивале #всегда со мной 😁, да #бокал в руке) А в нем, #чудо чудное, #диво дивное #красное из Тосканы самой! А Лука стоит довольный, улыбается! Говорит бери бери, понравится!) / #крыша едет не спеша, вызывайте мне врача!) 🙈 Фестиваль новинок 22.03.18 /#работа #вино #азбукавкуса #хорека #рестораны #москва #moscow #restaurant #horeca #azbukavkusa #job #festival #tasting #wine #sangervasio","спам"
19798,2018-03-31,"да! Иногда даже в крем добавляю. И ещё масло авокадо! Но оно либо в Азбуке вкуса либо в Метро","ассортимент"
19799,2018-03-31,"Батл!! Сырник из Азбуки Вкуса и из Вкусной Лавки в Куркино. По мнению профессионального критика - моей дочки! По вкусу выиграл сырник из Азбуки! #азбукавкуса #химки #завтрак#еда#сырник#куркино","конкуренты"
