rowname,title,body_text,categories
2,концерт Depeche Mode,"Свыше 120 миллионов проданных альбомов; грандиозные концертные шоу; огромное количество трибьют-проектов; коллективы с мировым именем, от Linkin Park до A-Ha, называющие британское трио своими главными идейными вдохновителями — послужного списка Depeche Mode хватит на целую книгу. Уникальный симбиоз рока и электроники, выведенный музыкантами без малого четыре декады тому назад, остаётся актуальным и сегодня, обеспечивая команде солд-ауты на стадионах и в крупнейших концертных залах по всему миру. Очередной визит в город на Неве британских звёзд посвящён выходу 14-го студийного альбома Spirit. В июле зрители Петербургского СКК увидят новое космическое шоу кумиров, которые напрочь отказываются почивать на лаврах, пока мир, затаив дыхание, ожидает от них новых музыкальных откровений. Телефон +7(812)703-40-40.",concert
20,акция: билеты на спектакль «Новое время» со скидкой 50%,"«Новое время» — спектакль о рождении новых истин, тщетных попытках удержаться за старый уклад жизни и судьбоносных переменах. А главное — о человеке, который «заставил» Землю двигаться, знаменитом астрономе Галилео Галилее. Постановка по пьесе Татьяны Рахмановой — работа Марата Гацалова. Оригинальная драматургия и смелые режиссерские решения в этом спектакле сочетаются с фантастической хореографией от Татьяны Гордеевой и масштабными декорациями из нескольких тонн металла. В постановке задействованы старожилы Александринки и молодые артисты труппы. Сервис «ГорБилет» проводит очередную акцию: её участники могут приобрести билеты на уникальный спектакль со скидкой в 50%, за 300-400 рублей вместо 600-800. Чтобы воспользоваться предложением, нужно:  Сделать репост записи. Отправить администратору группы заявку-сообщение, в ней указать название постановки, количество билетов, свой номер телефона, а также имя и фамилию.  Подробнее о спектакле, сроках проведения и организаторе можно узнать в официальной группе в «ВКонтакте».",stock
30,Ретродворик «Зазеркалья»: концерты open-air,"Концерты во дворике театра «Зазеркалье» стали уже доброй традицией, и в этом году ценителей шлягеров из недалёкого прошлого и музыки под открытым небом ждёт немало сюрпризов. Молодые артисты «Зазеркалья» пригласят публику в путешествия во времени и пространстве, перенеся в Одессу с её богатой музыкальной традицией и неповторимым чувством юмора, в чувственную Италию, во времена расцвета советской песни. Ретродворик «Зазеркалья» наполнится незабываемыми ретромелодиями от артистов, над которыми не властно время: легенд итальянской песни Робертино Лоретти и Адриано Челентано, советских классиков Муслима Магомаева, Марка Бернеса, Леонида Утёсова и многих других. 17 июня — Итальянский дворик 23 июня — Одесский дворик 30 июня — Испанский дворик 1 июля — Советский дворик",concert
65,гала-концерт «Шедевры мировой классики» в Театре «Санктъ-Петербургъ Опера»,"Камерный музыкальный театр «Санктъ-Петрбургъ Опера» представит публике поистине праздничное ассорти из знаменитых оперных постановок XIX и XX века. Дворец-особняк барона фон Дервиза своим роскошным убранством предоставляет не менее праздничный антураж для концерта. В исполнении солистов театра, лауреатов всероссийских и международных конкурсов, прозвучат арии из наиболее известных опер Чайковского, Римского-Корсакова, Рахманинова, Мусоргского, Верди, Бизе, Доницетти, Гуно, Пуччини, Россини. Помимо выпускников Санкт-Петербургской консерватории им. Н. А. Римского-Корсакова, в составе труппы выступают яркие таланты, собранные художественным руководителем театра, обладателем Высших театральных наград «Золотая маска» и «Золотой софит», Юрием Александровым cо всей страны. Нажмите на кнопку, чтобы купить билет.",concert
67,выставка «Виктор Борисов-Мусатов и мастера общества „Голубая роза“»,"«Автопортрет с сестрой», «Гобелен», «Встреча у колонны», «Девушка на солнце», «Прогулка на закате», «Весна», «Водоём», «Призраки» — на картинах Виктора Борисова-Мусатова запечатлены дворянские усадьбы и их обитатели. Выполненные в пастельных тонах полотна-сны рассказывают о явлении, уходившем в прошлое прямо на глазах у художника. Помимо произведений Борисова-Мусатова, в Михайловском замке представлены работы Павла Кузнецова, Сергея Судейкина, Петра Уткина, Николая Крымова, Петра Бромирского и других живописцев, входивших в объединение «Голубая роза». Союз сложился после одноимённой выставки, прошедшей в Москве в 1907 году. Название группы подчёркивало связь её участников с «Алой розой» и выражало их поэтическую мечту о чём-то несбыточном и прекрасном. На выставке уделяется внимание и художникам, чьи имена не так хорошо известны широкой публике, — Ивану Кнабе, Николаю Феофилактову и другим. Более 80 живописных и графических работ демонстрируют многообразие путей воплощения идей символистов в художественной форме. Вернисаж — 2 марта в 16:00. Дополнительную информацию можно узнать на официальном сайте Русского музея.",exhibition
78,выставка «Климт — Ожившие полотна»,"Картины Густава Климта завораживают, манят и интригуют, заставляют размышлять о человеческой красоте и силе страстей. Основоположник модерна в австрийской живописи, художник соединил реализм и декоративность, заговорил со зрителем на совершенно новом языке, показал миру истинную чувственность, раскрыл человеческую суть. Его произведения мгновенно узнаются благодаря золотой палитре, многочисленным орнаментам, волнующим женским образам.С головой окунуться в удивительную вселенную Климта и ощутить себя внутри его картин можно в проекционном музее «Люмьер-холл», занимающем пространство старинного газгольдера. 30 проекторов транслируют изображения в высоком разрешении на огромные экраны, благодаря чему у зрителей есть возможность тщательно рассмотреть каждую деталь. Шоу сопровождается объёмным звуком.Посетителям выставки предстоит не только увидеть более 100 полотен живописца, но и познакомиться с его биографией и историей создания некоторых произведений.Дополнительную информацию узнавайте на официальном сайте площадки или по телефону +7 (812) 407-17-31.",exhibition
81,выставка произведений Пьера Матисса,"В «Ленинград Центре» демонстрируются около 40 произведений Пьера Матисса, среди которых — работы для шоу «Прекрасная М» и масштабная инсталляция, посвящённая главной теме в творчестве художника — Love is in the Air («Любовь в воздухе»).Живописец родился в Париже и вырос в богемной среде. На формирование его почерка и эстетики оказали влияние друзья семьи — Пабло Пикассо и Сальвадор Дали. Его полотна словно иллюстрируют сны, мечты и воспоминания. Для картин Матисса характерны детская непосредственность, яркость красок, свобода. Свой стиль мастер называет e-motion, указывая на стремление к эмоциональности и движению.Матисс приглашает на выставку людей любого возраста, но при одном условии: его зритель должен быть влюблён, чтобы увидеть произведения в нужном свете. Влюблённым можно быть в человека, город, природу, искусство или саму жизнь. Только при таком раскладе, по мнению автора, экспозиция захлестнёт пришедшего волной романтики, обаяния, счастья, светлых чувств и радости бытия.«Американский Матисс» (так его называют из-за долгих лет жизни и работы в США) с большой ответственностью относится к показу в Петербурге, ощущая свою тесную связь со страной, открывшей всему миру живопись его деда. К тому же, художник убеждён, что незнакомая культурная среда подарит ему массу новых идей.Дополнительную информацию можно узнать на официальном сайте площадки или по телефону +7 (812) 242-99-99.",exhibition
82,выставка «Василий Верещагин. К 175-летию со дня рождения»,"В 2017 году исполняется 175 лет со дня рождения Василия Верещагина — яркого русского художника, автора таких полотен, как «Апофеоз войны», «Побеждённые. Панихида», «Нападают врасплох», «У дверей мечети», «После неудачи». Вся жизнь мастера прошла в путешествиях, что, конечно, нашло отражение в его живописи. Особенно известна его «Туркестанская серия», созданная под впечатлением от пребывания в Средней Азии. Тема и выбранная техника оказались чем-то новым для русского искусства, и цикл Верещагина не сразу получил признание. Со временем же картины о военных событиях периода присоединения к России среднеазиатских ханств и особенностях местной культуры стали восприниматься публикой как блестящие исторические и этнографические заметки. В Корпусе Бенуа экспонируются более 220 произведений из коллекций ведущих отечественных музеев. Помимо прославленных полотен, здесь можно увидеть менее известные пейзажные зарисовки и портреты кисти художника. С биографией Верещагина посетителей выставки знакомят документальные материалы. Вернисаж состоится 20 апреля в 16:00. Дополнительную информацию можно узнать на официальном сайте Русского музея или по телефону +7 (812) 595–42–48.",exhibition
83,акция «Сделай селфи в „Русских самоцветах“ и выиграй iPhone 7»,"Новый смартфон станет ярким акцентом в вашем новом весенне-летнем образе! Хотите получить его бесплатно? Примите участие в акции «Сделай селфи в „Русских самоцветах“ и выиграй iPhone 7», которая пройдёт с 20 апреля по 20 июня.Каждый желающий может побороться за шикарный приз, для этого вам нужно лишь выполнить несколько несложных действий:прийти в любой ювелирный салон «Русские самоцветы», найти витрину с украшениями, которые участвуют в акции, сделать оригинальное селфи с тремя любыми предметами;загрузить полученный снимок в альбом «Восхищай СЕЛФИ» и рассказать в комментариях о том, почему вы любите «Русские самоцветы»;стать подписчиком официальной группы в «ВКонтакте», сделать репост конкурсной записи и набрать заслуженные лайки.Уже 21 июня организаторы подведут итоги конкурса и объявят имя победителя. В выборе им поможет генератор случайных чисел. Кроме смартфона, будет разыграны фотосессия для рекламной компании «Русские самоцветы», которая сделает вас лицом бренда!Подробности акции, её сроки и способы получения приза уточняйте у организаторов по телефону +7 (812) 528-10-91 или на сайте.  Адреса ювелирных салонов «Русские самоцветы»: Ювелирный центр, площадь Карла Фаберже, дом 8; Улица 1-я Красноармейская, дом 1; ТК «Сенная», улица Ефимова, дом 3; Гражданский проспект, дом 117; ТК «Озерки», проспект Энгельса, дом 120; Проспект Ветеранов, дом 87;  Ленинский проспект, дом 118;  Улица Звёздная, дом 8;  Комендантский проспект, дом 16/1; ГМ «Окей», улица Партизана Германа, дом 2, литера А; ГМ «Окей», проспект Большевиков, дом 10; Невский проспект, дом 64; ТРК «Балканский 6», Балканская площадь, дом 5о ; ТРЦ «Галерея», Лиговский проспект, дом 30А.",stock
85,выставка «Фотоманипуляции»,"«Мир вовсе не таков, каким кажется», — сказал однажды художник Фернандо Кастро под впечатлением от работ Чемы Мадоза, и эта фраза могла бы стать творческим девизом испанского фотографа-сюрреалиста. Мастер создаёт необычные почти психоделические произведения, обращаясь за вдохновением к самым простым предметам. Так, к примеру, грушу он может превратить в лампочку, годичные кольца дерева — в пламя, а невесомое перо — в острый серп. Мадоз наполняет вещи новым смыслом, ищет в обыденности абсурд и парадокс. Художник фотографирует не столько сами объекты, сколько идею. Важно отметить, что Мадоз принципиально не обрабатывает снимки, считая, что цифровое редактирование — это наигранная иррациональность. Все необычные предметы, встречающиеся в его композициях, мастер сделал сам специально для того или иного кадра. В его доме даже собрана небольшая коллекция таких вещиц. Чема Мадоз (настоящее имя — Хосе Мария Родригез Мадоз) родился в Мадриде в 1958 году и живёт там по сей день. Фотографией он начал заниматься в 1980-е годы во время учёбы в местном университете на факультете истории искусств. В 1990 году он нашёл свою тему, с которой работает и сейчас. В экспозицию «Фотоманипуляции» входят 119 чёрно-белых снимков, созданных с 2008 по 2014 год. Дополнительную информацию можно узнать на официальном сайте Эрарты или по телефону +7 (812) 324-08-09.",exhibition
