id,from_id,owner_id,date,post_type,text,comments.count,likes.count,reposts.count
12995,-94119361,-94119361,1444160645,post,NA,15,424,16
39652,-94119361,-94119361,1488824627,post,"#шаверма_площадьМужества
#шаверма_площадь_Мужества
#шаверма_Мужества

АДРЕС: строение слева от выхода из метро на углу Непокоренных 2
ОЦЕНКА: 4 из 10

Уже достаточно давно в этом месте появилось это строение с шавермой, но руки не доходили отведать ее. Сегодня все же решили зайти сюда. 

Помещение и персонал:
-Небольшое помещение на 6 сидячих мест, но 6 людям там будет очень тесно
-В помещении очень жарко, слишком сильно работает обогрев
-Деньги и заказ принимает кассирша, которая также за ширмой режет овощи и, видимо, замешивает соус
-Повар работает в перчатках 

Меню и цены видно на фото, все по стандарту

Шаверма:
-Когда мы пришли, человек, который сидел за одним из столиков, уже ждал свой заказ. В итоге шаверму ему готовили только при нас минут 6, а сколько он сидел до нашего прихода в ожидании нам неизвестно. Нашу шаверму делали около 8 минут, ибо повар работал совершенно не спеша
-Размер неплохой, соотношение мяса к овощам 70/30
-Прожарка хорошая, достаточно хрустящий лаваш, но он не крошится 
-Ингредиенты распределены совершенно неравномерно. Сначала может идти одно мясо, потом одни овощи
-Об овощах - были одни помидоры, немного капусты и всего один (!) маленький кусочек огурца. 
-Мясо было слегка пересушено,а соуса было мало, к тому же он не особо ощущался 
-В конце шаверма решила сыграть с нами в Титаник - треснула по центру и часть жира/соуса вытекла в пакет 

В общем, не советую данное заведение, ибо шаверма там ниже среднего. 

P.S. За этим ларьком есть клевая выпечка со вкусными пирожками и хычинами, лучше там перекусить. Также в области метро есть как минимум 3 точки с шавермой, но был в них давно и не могу сказать, на сколько там шаверма сейчас.",4,0,0
39619,-94119361,-94119361,1488724238,post,"#шаверма_Академическая
АДРЕС: проспект Науки, 14Б
ОЦЕНКА: 7,5 из 10.

В принципе этот храм Богини приметил я давно. Да и наслышан о нем был предостаточно от знакомого, рядом там живущего. Ходил он в этот храм с момента открытия, и нареканий от него я не слышал. 

Зашел я туда на прошлой неделе аж дважды. Но так как у меня есть опыт только в приготовлении и употреблении пищи, а не фотографировании, то фото прикладываю лишь одно. И шеф-повар, и женщина-кассир оба раза были одни и те же. Уж не знаю, работают ли они по 7 дней в неделю, или все-таки есть у них сменщики, но к данной паре претензий никаких. Все дружелюбно, аккуратно, без косяков. В пите шаверма стоит 120, в лаваше - 140. В обоих случаях брал вторую ибо больше люблю лаваш, да и наслышан был про ее длину. Пиво разливное стоит 100 рублей, обычное свежее пиво, вполне нормальное за свои деньги в таких местах. Еще в наличии там есть различные мини-пиццы, хот-доги, гамбургеры, но на них я особо внимания не обращал, т.к. пришел за иным. 

Теперь о самой амброзии. 
Лаваш хороший, вкусный. Первый раз был для меня идеально прожарен, во второй шеф чуть перестарался (на фото видно). Ну по справедливости, шаверма от этого менее добротной не стала, да и не смотря на вид лаваш не горчил, как бывает при сильной пережарке. К мясу претензий нет, ни одной жилки не попалось, хорошо прожаренное, свежее. Также никаких претензий к огурцам и помидорам. Шеф спрашивает, надо ли вам добавлять морковку, капусту и лук. Я хоть и фанат классики, но решил проэксперементировать и не прогадал. Сочетание получается вполне добротное, сочетание мяса и овощей остается примерно 50/50, при этом огурцов и помидоров все равно больше, чем капусты. В общем не придерешься. Распределено все это по лавашу довольно равномерно. Соус классический, без кислинки, не особо жирный, не течет. Вообще стоит отметить, что оба раза шаверма не протекла от слова совсем. Я бы, пожалуй, даже чуть увеличил кол-во соуса в блюде. Несмотря на длину, разламываться пополам словно Титаник наша царица тоже не собиралась. В плане сытности тоже получилось все хорошо, взрослому здоровому мужику хватает, хотя если вы ну очень голодны, то может вы пожалеете об отсутствии двойной. 

Подводя итог, ставлю 7,5. В моем понимании 9 это идеал, 8,5 это отлично. Пол бала снимаю за кол-во соуса, можно было и побольше, еще пол бала за пережарку лаваша во второй раз. Но единственное я знаю точно - заходить в этот небольшой храм я планирую и дальше, так как по соотношению всех параметров оценки в районе Академки шавермы лучше я давно не ел.",25,63,2
39583,-94119361,-94119361,1488649051,post,"Шаверма по 80-90 рублей - возвращаем 2007 год!
В группе, кстати, розыгрыш китайских дошиков. ;)",24,63,5
39574,-94119361,-94119361,1488640556,post,"#шаверма_Петергоф 

ОЦЕНКА: 7,5/10
АДРЕС: Петергоф, ул. Разводная 29

Заведение сразу привлекло очень приятным и чистым убранством, а также работой 24ч. 
Заказал двойную в лаваше - 180₽ (150₽ обычная). Шаурмэн приготовил блюдо быстро, при готовке надел шапочку и перчатки. 

По самой шаверме:
Лаваша очень, ОЧЕНЬ много, он хрустящий, но не крошится и не режет дёсны. 
Само по себе блюдо не разваливается в руках, начинки как раз на двойную шаверму. Курица очень нежная, не пережаренная, светлая. Из овощей присутствовали мелко нарезанные огурцы и ЖЁЛТЫЕ (!) помидорки - лично мне показались вкуснее обычных. Соуса было несколько маловато. Хотя, возможно, из-за количества лаваша так показалось. 
Как итог: очень даже советую это заведение.",4,14,1
39558,-94119361,-94119361,1488555068,post,"#шаверма_Международная

АДРЕС: Малая Бухарестская 12
ОЦЕНКА: 6,5 из 10

Итак, проезжая как-то по этой малой улочке Малая Бухарестская, мною было запримечено наличие шавермочной. Находится данная шавермочная примерно посередине этой недлинной улочки, у дома 12. Заведение ""прилипает"" к ларьку. 
Атмосферка так себе, скажу честно. Немного испугал шавермейстер и его кореш, который, видимо, тоже там работает. Его крикливый ломаный вопрос с чем мне и что, а также неприятный вид, мягко скажем, даже для специфики профессии, вид, взбудоражил. Внутри посидеть лишь пара мест. судя по шторе, там он может и жить. Мясо было пережарено дико, что сразу было мной подмечено... На этом минусы кончились. 

по вкусу шаверма была очень неплохая, чуть выше среднего размера, были свежие овощи, отличная аджика, сделавшая шаверму настоящей мужской и острой, она не разваливалась, съел я ее с удовольствием, даже позабыв про пережаренное мясо (имхо, оно почти везде такое) 

Цена нормальная: 
пита - 120
лаваш- 140
двойная в лаваше - 160 (ее и брал) 
на тарелке - 170 

п.с. Поведали работающие там, что круглосуточная она.",3,4,1
39522,-94119361,-94119361,1488467040,post,"#шаверма_Дыбенко 
#шаверма_Кудрово
#шаверма_ЛО

АДРЕС: Ленинградская, 7
ОЦЕНКА: 7 из 10

Петербург растёт по многим направлениям и одно из них - Кудрово. Новостройки там растут как на дрожжах, и для обслуживания потребностей жителей появляются всё новые и новые заведения общественного питания. Среди классических представителей цеха производителей шавермы нашлось место и нестандартным заведениям. К таким можно отнести Wrap&Roll, находящийся во дворике жилого дома.

Кафе предлагает шаверму, приготавливаемую в различных вариациях по национально-географическому признаку: по-британски, по-грузински, по-армянски и так далее. Цены представлены на фото. Есть роллы с различными видами мяса. Так, в шаверму по-британски, одну из тех, что мы взяли, кладут говядину, в некоторые другие виды - свинину.

За стойкой находились две девушки, одна из которых приняла заказ и деньги, а другая начала готовить. Мы с товарищем взяли классику и шаверму по-британски. Приготовили оба блюда быстро, минут за 8 оба. Приготовление осуществлялось в перчатках. Шаверму подают на деревянном подносе, разрезанную надвое. По размеру ролл соответствует среднему (280 граммов обычная и 370 двойная), хотя в последнее время в городе и наметился тренд к увеличению размеров шавермы.

Состав всех видов шавермы можно увидеть на фотографиях. Вообще в меню много интересных вариаций, большой выбор не может не порадовать любителей чего-то нового. 
В обе шавермы идут огурцы и помидоры, которые изначально замешаны в неклассическом соусе на основе творога, из-за чего помидоры казались ""кисловатыми"". Но это привкус именно творожного соуса, сами по себе помидоры свежие и сочные. 
Прожарено блюдо в меру, на ростере, соотношение мяса к овощам 40 на 60.
Почти во все шавермы-роллы добавляется салат ""Айсберг"", который придаёт им свежести. 
В шаверму по-британски, помимо говядины и означенных овощей, идет соус из черной смородины (грозель) и печеный перец. Должен признаться, это отличное сочетание, собираюсь сделать такой соус в домашних условиях. 
Для многих подписчиков данного сообщества основным фактором является цена. Да, цены тут выше среднего, хотя порции неплохие. Но если сравнить граммовку и цены на обычную/двойную шаверму, то выгоднее взять две обычных, чем двойную. 
Также у стойки обслуживания можно увидеть различного рода акции для компаний из пары человек. Недавно, например, у них появился мексиканский бизнес-ланч из фасолевого супа, мини шавермы и напитка за 240 рублей. Некоторые соусы также можно приобрести отдельно. Часть же из них не продаётся: производственная тайна.

Ретрограды могут в очередной раз воскричать проклятья в адрес новомодных заведений, уничтожающих мифический канон, однако нельзя не признать, что у такой шавермы есть своя аудитория и свои ценители. Это действительно интересные места, где можно попробовать нестандартные и оригинальные продукты стритфуда. Причём эта оригинальность совсем другого рода, нежели в питас: на смену формуле ""новый вкус + радикальные сочетания + нарочитый снобизм = оригинальность"" пришло планирование и поиск оптимальных вкусовых решений и добродушная атмосфера. И речь сейчас не конкретно о рассматриваемом заведении, а о тренде в целом. Общий минус таких заведений - относительно высокая цена (хотя классическая шаверма в Wrap&Rolls стоит дешевле, чем во ""Вкусной"" и чуть выше среднего по городу) и относительно небольшой размер. Что касается рассматриваемого заведения, то по совокупности признаков оно вполне заслуживает 7 оригинальных соусов из 10.",29,10,2
39502,-94119361,-94119361,1488388201,post,"#Шаверма_Чернышевская 

АДРЕС: Кирочная 30
ОЦЕНКА: 6,5 из 10

Искали с товарищами заведение недалеко от метро. 
Заглянули в заведение на Кирочной 30. 
Очень приятное заведение по интерьеру: 4 столика, интересный дизайн, кухня на виду, приятный повар, спросил класть ли лук. 

Сделали 3 шавермы довольно быстро , готовили в перчатках. 
В шаверме вкусное мясо, но попалась одна жилка. 
Из овощей: солёные огурцы, помидоры, капустка, взяли без лука. 
Солоноватый соус  подпортил впечатление.
Лаваш хороший, но под конец снизу развалился.
Шаверма не особо яркая по вкусу, но довольно сытная. Остались довольны.

6,5/10 заслуживает",7,7,1
39448,-94119361,-94119361,1488300004,post,"#шаверма_Пионерская

ОЦЕНКА: 7,5 из 10.
АДРЕС: Богатырский пр., д. 7, к. 8.

Репутация Мастер-кебаба на Пионерской падает день ото дня. Низшей точкой стала атака шавермейстера на посетителя, о которой много говорили городские СМИ. Будучи заброшенным сюда стечением обстоятельств, я твёрдо решил попытать счастья в другой шаверме и обнаружил чуть поодаль от станции, пройдя неприятные пёстрые киоски с тревожной аудиторией, тихое заведение на первом этаже жилого дома.

Несмотря на название (""Шавермания""), может сходу показалось, что я попал в филиал ""Вкусной шавермы"" - всё та же технология с 8 поддонами, стандартный набор овощей (помидоры, огурцы свежие и солёные, капуста, лук, морковь по-корейски, зелень), стандартная технология укладки и закручивания. Однако надо иметь в виду, что организация питания во Вкусной шаверме, как бы сильно не упало её качество в последний год, стало для многих примером и образцом. Частенько можно встретить заведения, пользующиеся сходной организацией.

Само заведение невелико по площади, стойка рассчитана на 4-5 посадочных мест. Полагаю, в скором времени появятся ещё, если уже не появились. Цены чуть выше средних, но ниже, чем в той же Вкусной. Шаверма в лаваше или в пите стоит 160 рублей. Повар, приняв деньги, готовит в перчатках. Язык не повернётся назвать это минусом, но замечу: акустика помещения ли тому причиной, излишняя старательность повара ли, но удары ножей друг о друга звучат излишне громко, словно дрель соседа в 6 утра в воскресенье. А вот отсутствие туалета действительно можно назвать минусом - нет возможности помыть руки. Однако у шавермейстера, как оказалось, можно взять влажные салфетки, и это действительно хорошее подспорье к трапезе: приступать к шаверме с чистыми руками куда приятнее даже психологически.

Я выбрал шаверму в пите по старой памяти - когда-то во Вкусной шаверме она была очень хороша. Не обманулись ожидания и в этот раз. Сочетание ТСС и питы давало неуловимый, но такой приятный вкус. Начинка была распределена равномерно, мясо не осталось по краям и внизу, как это зачастую бывает. Уголки питы были подрезаны для облегчения накладывания и укрепления конструкции. Соуса было много, и он был довольно густой, не размачивал питу. Мясо в целом приятное, нежирное.
Состав овощей я уже озвучил, все они свежие, особенно меня порадовало большое количество зелени, буквально комьями заброшенной в питу. Разумеется, если вы не поклонник этого, вполне можно попросить не класть зелень. 

В общем и целом нежирное мясо и жирноватый соус компенсируют друг друга, за счёт удачного решения с подрезанными уголками и густоты соуса пита не размокает и не разваливается раньше времени. Хорошо перемешанные ингредиенты и старая добрая система восьми поддонов напомнили о Вкусной шаверме времён расцвета. Можно считать Шаверманию достойным преемником. Размер также соответствует, лично я сдался на последних укусах. В общем и целом 7,5 из 10 для данного заведения вполне адекватная оценка.",41,20,1
39423,-94119361,-94119361,1488212139,post,"#шаверма_Гражданский_проспект
#шаверма_Гражданский
#шаверма_Гражданка

АДРЕС: угол Тимуровской и Брянцева напротив автобусной остановки
ОЦЕНКА: 4.5

Больше года назад постил тут про шаверму на перекрёстке Тимуровской и Брянцева, которая полное Дно. Далее история про то, как на этом углу возникла вторая, не менее беспонтовая, точка по производству ада в лаваше.

Новогодние каникулы подходили к концу, а недавно открытая Грузинская пекарня всё не открывалась, а пирожки с лавашиком всё не покупались. И внезапно она взяла и мощно АПнулась до гордой ДИОДНОЙ вывески ""Шаверма"". Поставили вывеску и начали ребрендинг уже внутри. Всё логично пока😁
Торжественный день открытия спровоцировал давку, в ларьке кипела работа, деньги принимал, судя по всему, сам хозяин, работали простые смертные. Проникнувшись к обильному ассортименту разных ""Перошков"" и ""Пица"", я, словно опомнившись, вспомнил, зачем я сюда пришёл. Взяв на пробу двойную в лаваше, я потопал домой (ввиду отсутствия помещения для употребления). Готовила, кстати, женщина, что уже насторожило и не внушало доверия. Идти до дому полторы минуты. После употребления она не застряла в памяти, ввиду страшной беспонтовости, и благополучно забылась.

Сегодня , по дороге домой в конце рабочей недели, мне стали приходить в голову мысли о пивке и шаверме. Добравшись до дома, я вспомнил про свои мысли и решил дать второй шанс этой недошаверме. Взял на этот раз Топовую ""по Египетски"". Аж за 170 рубасов. Про египетские особенности решил не спрашивать, а решил просто понаблюдать, т.к сквозь окно всё прекрасно видно. Деньги взяла женщина и крикнула в помещение ""Игипицки сделай"". Молодой и тощий парень принялся крутить неуверенными руками. За минуту до моего заказа он срезал последнее мясо с вертела и разложил горкой, убрав при этом вертел.

Заказ был выдан довольно быстро.
О шаверме:
Лаваш был плохо прожарен и резинил во рту, хотя повар клал его под гриль (мне сперва показалось что он выключен). Хрустело в этом шаво-изделии абсолютно всё. Курица засохла и хрустела. Изобилие обычной 😳 пресной капусты, так же издавало хруст. Огурцы и помидоры хрустели. Жопки от соленых огурцов хрустели. Не хрустела лишь только картошка фри, которую я обнаружил на дне (видимо это и отличало её от обычной православной шавы). Соус настолько никакой и настолько жидкий, что обнаружен он был на самом дне. В целом шава приличная в размерах, хотя сильно не наелся. Но сухая и бесконечно пресная, приходилось всё время подсаливать.

 Эпилог:
На этом перекрёстке стало на одну невкусную Шаверму больше. Остальной выпечки там много, но сильно завышен ценник. Брал там чебуреки и эчпочмак - гадость страшная. Мясо кислое. Может исправились уже, но проверять не хочу. Зато фирменное пиво есть и лимонады ""Натахтари""
В общем - советовать не буду. У меня всё.",24,11,1
